Sample,Median Index,Mean Index,Number of reads,Number of correctly classified reads,Number of reads classified at a lower level by Kraken,Number of reads classified at a higher level by Kraken,Number of reads classified wrong by Kraken,Unclassified reads,Median Index of reads classified at a higher level by Kraken,Mean Index of reads classified at a higher level by Kraken,Median Index of reads classified wrong by Kraken,Mean Index of reads classified wrong by Kraken
marine_sample_1-0.45,0.0,1.0136440503363775,19730065,12161099,6038792,7473749,78558,13571197,1.0,2.632228617792757,3.0,2.2494971867919245
marine_sample_1-0.50,0.0,1.0959508997434544,17667036,10589790,5275179,6992509,68090,15634226,2.0,2.7247957778817304,3.0,2.3384050521368778
marine_sample_1-0.55,0.0,1.2018376297582651,15147012,8766808,4382872,6307581,56220,18154250,2.0,2.8409336320849468,3.0,2.440466026325151
marine_sample_1-0.60,0.0,1.3146180185254923,12639880,7052003,3537755,5526554,45589,20661382,2.0,2.960177716530048,3.0,2.531882691000022
marine_sample_1-0.65,0.0,1.4393291930983387,10221481,5478148,2757029,4692463,36413,23079781,2.0,3.087240325602993,3.0,2.6145058083651445
marine_sample_1-0.70,0.0,1.5876330935604952,7944881,4067805,2054172,3836085,27687,25356381,2.0,3.237561732860456,3.0,2.6820529490374545
marine_sample_1-0.75,1.0,1.7259394688151393,6148368,3023455,1530291,3092159,20794,27152894,2.0,3.378628977358538,3.0,2.7321823602962394
marine_sample_1-0.80,1.0,1.8455900984495544,4191182,1986265,1007136,2182011,13945,29110080,2.0,3.4902734220863234,3.0,2.778056651129437
marine_sample_1-0.85,1.0,1.9159159071812952,2750437,1265069,642879,1470168,9106,30550825,2.0,3.5295564860614568,3.0,2.824401493520756
marine_sample_1-0.90,1.0,2.0854086228726985,1791236,775852,396077,1005085,5887,31510026,3.0,3.6602227672286425,3.0,2.873449974520129
marine_sample_1-0.95,1.0,2.5099157636895693,1069610,405713,208091,656872,3202,32231652,4.0,4.020360131045318,3.0,2.923797626483448
marine_sample_1-1.00,3.0,3.6510242249108784,592448,159849,82610,427286,1277,32708814,6.0,4.968423959596149,3.0,2.9600626468285043
marine_sample_2-0.05,0.0,0.34740636783957,32099521,25782604,11559027,5551126,760723,1199311,1.0,1.6905436842903585,1.0,2.2630379257627284
marine_sample_2-0.10,0.0,0.40977673814432347,31503411,24575265,10770540,6418542,502714,1795421,1.0,1.8447871806400893,1.0,2.0021543064247265
marine_sample_2-0.15,0.0,0.4852987228704476,30646147,23161383,10028669,7099564,376063,2652685,1.0,1.9823038428838728,1.0,1.9060902029713107
marine_sample_2-0.20,0.0,0.5693229415411293,29466717,21531765,9246590,7627073,296318,3832115,1.0,2.1120083680856343,2.0,1.9019668059314656
marine_sample_2-0.25,0.0,0.6417961605091212,28224315,20043913,8569545,7917282,250065,5074517,1.0,2.2116654427617957,2.0,1.9450262931637772
marine_sample_2-0.30,0.0,0.7284380228385283,26450566,18181593,7758615,8041310,212917,6848266,1.0,2.3262054317020486,2.0,2.01555066058605
marine_sample_2-0.35,0.0,0.8151922531053282,24417629,16264169,6941167,7950912,186444,8881203,1.0,2.436014510033566,2.0,2.100303576409002
marine_sample_2-0.40,0.0,0.9043172690989332,22185205,14310961,6112473,7694114,163355,11113627,1.0,2.541422183242931,2.0,2.1884668360319552
marine_sample_2-0.45,0.0,0.9979440722204908,19804684,12359992,5285726,7285645,141896,13494148,2.0,2.6472868222374277,2.0,2.2721993572757517
marine_sample_2-0.50,0.0,1.0798775155028988,17742327,10760959,4607834,6838698,125538,15556505,2.0,2.7362204033574806,3.0,2.335284933645589
marine_sample_2-0.55,0.0,1.1849823642270172,15221051,8905751,3819317,6192003,106667,18077781,2.0,2.8473133814696148,3.0,2.404061237308633
marine_sample_2-0.60,0.0,1.2973264188636409,12710929,7159815,3075104,5446859,88571,20587903,2.0,2.9615088255451445,3.0,2.462961917557666
marine_sample_2-0.65,0.0,1.4219737181198997,10286707,5557826,2390860,4643375,70947,23012125,2.0,3.0835245914878726,3.0,2.515046443119512
marine_sample_2-0.70,0.0,1.567794059714804,8001232,4123706,1777636,3809918,54357,25297600,2.0,3.2246990617645843,3.0,2.560590172378902
marine_sample_2-0.75,1.0,1.7036155976558909,6192033,3060991,1322098,3077799,41544,27106799,2.0,3.3581760862226546,3.0,2.5939245137685347
marine_sample_2-0.80,1.0,1.8218161769453776,4227881,2011209,868966,2180180,27721,29070951,2.0,3.4633186250676546,3.0,2.6270697305292017
marine_sample_2-0.85,1.0,1.891172261526112,2775524,1279088,553978,1472257,18173,30523308,2.0,3.495753798419705,3.0,2.657348814174875
marine_sample_2-0.90,1.0,2.0584557594699953,1807076,782769,340641,1008436,11548,31491756,3.0,3.619219266269748,3.0,2.6955316937997917
marine_sample_2-0.95,1.0,2.469003857709856,1078360,408065,179213,659983,6503,32220472,4.0,3.95519733084034,3.0,2.741965246809165
marine_sample_2-1.00,3.0,3.5741244090294773,597111,160670,71411,429896,2821,32701721,6.0,4.8681355490630285,3.0,2.7795108117688763
marine_sample_3-0.05,0.0,0.3712488716767249,32075249,25518252,11038695,5809697,737923,1211639,1.0,1.7028275312808911,2.0,2.616255354555963
marine_sample_3-0.10,0.0,0.4319811365646325,31417395,24273059,10253436,6666810,464733,1869493,1.0,1.860100107847681,2.0,2.2715214972898417
marine_sample_3-0.15,0.0,0.5081499885736186,30517098,22836695,9519335,7327121,336223,2769790,1.0,1.9985540023155068,2.0,2.1119465354838898
marine_sample_3-0.20,0.0,0.5929414227080713,29306954,21198168,8755709,7828459,258990,3979934,1.0,2.1269067130580868,2.0,2.0652225954670063
marine_sample_3-0.25,0.0,0.6667233545962984,28048299,19711516,8100789,8096255,215879,5238589,1.0,2.226647382030334,2.0,2.0896428091662456
marine_sample_3-0.30,0.0,0.7544207611599787,26261654,17861029,7320683,8191297,181779,7025234,1.0,2.3408246581707393,2.0,2.1454953542488404
marine_sample_3-0.35,0.0,0.8421770810599599,24220614,15963269,6541028,8068831,158582,9066274,1.0,2.4509666889788617,2.0,2.2210717483699285
marine_sample_3-0.40,0.0,0.933164853586785,21984047,14031963,5754128,7781523,139129,11302841,1.0,2.5587421639697014,2.0,2.3067872262432707
marine_sample_3-0.45,0.0,1.0272209672187236,19602867,12108163,4971710,7340799,121650,13684021,1.0,2.663885498022763,2.0,2.3932018084669133
marine_sample_3-0.50,0.0,1.1101575725686843,17545757,10533834,4330139,6871940,107941,15741131,2.0,2.7539400809669465,3.0,2.457509194837921
marine_sample_3-0.55,0.0,1.2166177891210188,15035875,8709939,3586200,6202064,92189,18251013,2.0,2.865935436977109,3.0,2.527969714391088
marine_sample_3-0.60,0.0,1.3296385632459509,12543135,6996862,2886710,5438503,77595,20743753,2.0,2.9797413001335116,3.0,2.5894580836394097
marine_sample_3-0.65,0.0,1.4563508559114968,10139775,5425238,2242789,4623785,62897,23147113,2.0,3.103487727046132,3.0,2.6474235655118687
marine_sample_3-0.70,0.0,1.605326966552954,7879231,4023220,1666556,3781707,49016,25407657,2.0,3.249611352756837,3.0,2.6944671127795004
marine_sample_3-0.75,1.0,1.7414908518498995,6090357,2986072,1239057,3044715,37469,27196531,2.0,3.3846222060192828,3.0,2.7271077424003844
marine_sample_3-0.80,1.0,1.861665534867329,4151207,1958900,813907,2150046,25574,29135681,2.0,3.491788547779908,3.0,2.7555329631657157
marine_sample_3-0.85,1.0,1.9311413243863782,2723012,1245110,519435,1449873,16877,30563876,2.0,3.5252625574791723,3.0,2.7830775611779344
marine_sample_3-0.90,1.0,2.1009390956793697,1771385,762145,320263,989952,10945,31515503,3.0,3.6523003135505565,3.0,2.821653723161261
marine_sample_3-0.95,1.0,2.5261815726651444,1056029,397293,168439,645405,6391,32230859,4.0,4.008134427220118,3.0,2.8776404318572992
marine_sample_3-1.00,3.0,3.671530174220559,584489,156466,67347,418158,2918,32702399,6.0,4.962076535663553,3.0,2.9177518848526387
marine_sample_4-0.05,0.0,0.4303922743890817,32124631,24697002,8853859,6731217,685586,1173263,1.0,1.7355054814010602,2.0,2.9853220456660434
marine_sample_4-0.10,0.0,0.4943755986724211,31456059,23374590,7969671,7662248,402617,1841835,1.0,1.8786679835995912,2.0,2.500768720645179
marine_sample_4-0.15,0.0,0.5758455716212524,30553089,21886324,7233526,8366768,276108,2744805,1.0,2.004140786502028,2.0,2.211739609138453
marine_sample_4-0.20,0.0,0.6676012114104543,29342986,20213387,6524272,8893379,205070,3954908,1.0,2.122926280326072,2.0,2.0923343248646797
marine_sample_4-0.25,0.0,0.747044528128027,28085955,18722602,5953922,9158483,168247,5211939,1.0,2.2167399338951657,2.0,2.0795437660106866
marine_sample_4-0.30,0.0,0.8412028323748343,26301886,16897521,5321141,9222152,140252,6996008,1.0,2.32602791626076,2.0,2.1146864215840058
marine_sample_4-0.35,0.0,0.9343058704907392,24262929,15053491,4721256,9041606,121155,9034965,1.0,2.4315708957014937,2.0,2.175708802773307
marine_sample_4-0.40,0.0,1.0284433177364751,22026017,13198567,4130176,8672730,105567,11271877,2.0,2.533456939164485,2.0,2.2558659429556585
marine_sample_4-0.45,0.0,1.127208686125008,19648163,11361981,3552701,8143699,91793,13649731,2.0,2.6372563622501275,2.0,2.3351235933023213
marine_sample_4-0.50,0.0,1.2133257791991292,17593898,9869790,3085872,7591871,80912,15703996,2.0,2.725467015970108,3.0,2.3953307296816293
marine_sample_4-0.55,0.0,1.3218686962533999,15079326,8146577,2548886,6813202,68756,18218568,2.0,2.8336272724630795,3.0,2.468075513409739
marine_sample_4-0.60,0.0,1.4362720750924662,12583526,6536885,2048602,5941026,57111,20714368,2.0,2.9443587690072386,3.0,2.526991297648439
marine_sample_4-0.65,1.0,1.5623488636591476,10174588,5066299,1589308,5017261,46200,23123306,2.0,3.0641387801033266,3.0,2.5805194805194804
marine_sample_4-0.70,1.0,1.7104901828426904,7910844,3757037,1180054,4077082,35822,25387050,2.0,3.205529346723956,3.0,2.6265423482775954
marine_sample_4-0.75,1.0,1.8496749667630703,6120451,2786243,876263,3270699,27362,27177443,2.0,3.3395852079326165,3.0,2.658577589357503
marine_sample_4-0.80,1.0,1.9680580211938983,4175164,1828286,575954,2301296,18257,29122730,2.0,3.4423624774909443,3.0,2.691844224133209
marine_sample_4-0.85,1.0,2.0390482631785383,2738278,1161203,366491,1546479,12021,30559616,2.0,3.481147820306645,3.0,2.7272273521337658
marine_sample_4-0.90,1.0,2.211089911704095,1779924,707934,224507,1050629,7674,31517970,3.0,3.608426951854556,3.0,2.771826948136565
marine_sample_4-0.95,1.0,2.6327100621136728,1061924,368813,117436,677222,4354,32235970,4.0,3.956779313135132,3.0,2.8261368856224163
marine_sample_4-1.00,4.0,3.7641915230300658,587710,144577,46248,429014,1895,32710184,6.0,4.88752814593463,3.0,2.8596306068601582
marine_sample_5-0.05,0.0,0.3556799448203576,32293069,26007815,10694866,5541704,734429,1005383,1.0,1.6840592712999467,2.0,2.82035431607412
marine_sample_5-0.10,0.0,0.4111301263425968,31628446,24694267,9858467,6471515,448590,1670006,1.0,1.8245165158390269,2.0,2.383813727457144
marine_sample_5-0.15,0.0,0.4828767804714902,30707105,23181683,9070307,7190768,314051,2591347,1.0,1.943039324867664,2.0,2.134608710050278
marine_sample_5-0.20,0.0,0.5644458848822471,29466350,21459846,8267838,7743161,236586,3832102,1.0,2.0545024183276053,2.0,2.041557826752217
marine_sample_5-0.25,0.0,0.6354312688162687,28180069,19911194,7595492,8043028,194441,5118383,1.0,2.1419655632182306,2.0,2.036370929999332
marine_sample_5-0.30,0.0,0.7198618643209584,26355537,18000576,6817980,8157514,160849,6942915,1.0,2.244415516786119,2.0,2.0771841913844655
marine_sample_5-0.35,0.0,0.8039884275780371,24282903,16062464,6062037,8042272,137610,9015549,1.0,2.3455590658958068,2.0,2.140367705835332
marine_sample_5-0.40,0.0,0.8901151554533889,22014155,14107147,5311225,7745379,118891,11284297,1.0,2.4462149624957017,2.0,2.2174008125089366
marine_sample_5-0.45,0.0,0.9812408367912362,19609670,12165812,4574268,7296735,102911,13688782,1.0,2.55012865343198,2.0,2.296042211231064
marine_sample_5-0.50,0.0,1.061955174723871,17536356,10580948,3976668,6820121,90414,15762096,2.0,2.6401241268300084,2.0,2.355840909593647
marine_sample_5-0.55,0.0,1.1649886395318974,15010385,8748319,3288843,6141903,76257,18288067,2.0,2.752725824553074,3.0,2.4233709692224976
marine_sample_5-0.60,0.0,1.2756044712177288,12510149,7031239,2645566,5373698,62960,20788303,2.0,2.869802880623362,3.0,2.4822109275730617
marine_sample_5-0.65,0.0,1.4003040968643834,10102702,5459475,2057358,4553244,50561,23195750,2.0,3.0008798122832863,3.0,2.5379047091631888
marine_sample_5-0.70,0.0,1.5467039014377906,7841058,4054554,1530748,3711878,38836,25457394,2.0,3.15345385812788,3.0,2.5864919147183025
marine_sample_5-0.75,1.0,1.6842014675033037,6059816,3012895,1140151,2985040,29852,27238636,2.0,3.296190000804009,3.0,2.627328152217607
marine_sample_5-0.80,1.0,1.8038287954935623,4128139,1978258,750197,2105357,20337,29170313,2.0,3.407821096374629,3.0,2.6598318336037763
marine_sample_5-0.85,1.0,1.8727893760837842,2708681,1261675,479755,1417212,13474,30589771,2.0,3.450150718452849,3.0,2.6951165207065455
marine_sample_5-0.90,1.0,2.0487644061824235,1762351,773769,296151,967723,8673,31536101,2.0,3.5932307075475114,3.0,2.7344632768361583
marine_sample_5-0.95,1.0,2.4879195206295077,1049710,404980,156504,629651,4980,32248742,4.0,3.9812816941448523,3.0,2.788152610441767
marine_sample_5-1.00,3.0,3.6977867570251233,581093,159139,62385,408972,2174,32717359,6.0,5.001105210136635,3.0,2.8399264029438824
marine_sample_6-0.05,0.0,0.4180220759741027,32161933,25054211,10539851,6188475,911350,1131467,1.0,1.7678384416193005,2.0,2.6697767048883523
marine_sample_6-0.10,0.0,0.4764929254714298,31468952,23744711,9752921,7159536,552412,1824448,1.0,1.9026022077408369,2.0,2.2851549206027384
marine_sample_6-0.15,0.0,0.5517663693649167,30531270,22249787,9011958,7880680,382913,2762130,1.0,2.015801808980951,2.0,2.0872339147534817
marine_sample_6-0.20,0.0,0.6367445536561741,29284095,20563467,8248205,8412673,284237,4009305,1.0,2.1227817841012007,2.0,2.0221047928313345
marine_sample_6-0.25,0.0,0.7100927198771116,27999390,19057045,7602301,8684234,230193,5294010,1.0,2.2066546111032936,2.0,2.032190379377305
marine_sample_6-0.30,0.0,0.797158230026792,26182837,17208486,6845857,8753939,188447,7110563,1.0,2.3066534962146754,2.0,2.079497153045684
marine_sample_6-0.35,0.0,0.8827116116570803,24119796,15340977,6102770,8583222,159751,9173604,2.0,2.403043752101484,2.0,2.1430350983718407
marine_sample_6-0.40,0.0,0.9709881406547408,21865541,13457319,5357604,8233214,136816,11427859,2.0,2.500074940357435,2.0,2.220507835340896
marine_sample_6-0.45,0.0,1.0627735916747156,19475419,11593710,4623694,7724714,117397,13817981,2.0,2.5983865551527217,2.0,2.2980655383016604
marine_sample_6-0.50,0.0,1.1431303846866094,17420466,10081392,4027613,7196766,102560,15872934,2.0,2.6837694875726124,2.0,2.356386505460218
marine_sample_6-0.55,0.0,1.2459530208851708,14916373,8332843,3337514,6457873,86476,18377027,2.0,2.7908528086569686,3.0,2.422614366991998
marine_sample_6-0.60,0.0,1.3568943443615784,12432531,6690796,2687741,5632755,71496,20860869,2.0,2.9035005073006017,3.0,2.4836074745440304
marine_sample_6-0.65,0.0,1.4806103971596207,10043166,5190871,2092555,4760004,57242,23250234,2.0,3.0271518679396068,3.0,2.538695363544251
marine_sample_6-0.70,1.0,1.6249750406307113,7797673,3854582,1558982,3866350,44673,25495727,2.0,3.1726791418262703,3.0,2.590468515658228
marine_sample_6-0.75,1.0,1.7602486063435303,6026234,2862997,1161834,3100434,34405,27267166,2.0,3.3097843721233864,3.0,2.6251998256067437
marine_sample_6-0.80,1.0,1.876651075794532,4106035,1879645,765161,2181671,23116,29187365,2.0,3.4147146842947453,3.0,2.655476726077176
marine_sample_6-0.85,1.0,1.94791218763762,2693106,1195860,488555,1467297,15196,30600294,2.0,3.4569027265781913,3.0,2.688470650171097
marine_sample_6-0.90,1.0,2.1115465539491782,1750453,732535,301255,997281,9878,31542947,2.0,3.582099729163596,3.0,2.7305122494432066
marine_sample_6-0.95,1.0,2.540536324248482,1044853,382990,159392,647185,5615,32248547,4.0,3.9513462147608487,3.0,2.7903829029385574
marine_sample_6-1.00,3.0,3.719649157379605,578493,150050,63058,416158,2536,32714907,6.0,4.942483383714839,3.0,2.8375394321766563
marine_sample_7-0.05,0.0,0.3942022110850308,32047976,25350720,11187692,5908878,781882,1243326,1.0,1.7273132056542717,2.0,3.029147620740725
marine_sample_7-0.10,0.0,0.4490294880358505,31347527,24003217,10355850,6868545,465820,1943775,1.0,1.8644554268771625,2.0,2.533946588811129
marine_sample_7-0.15,0.0,0.5233499727971886,30419650,22475148,9576948,7602606,327619,2871652,1.0,1.9796988032787703,2.0,2.2610410263141025
marine_sample_7-0.20,0.0,0.6085470525195791,29194579,20759945,8774761,8164364,251863,4096723,1.0,2.088747390488714,2.0,2.173078221096389
marine_sample_7-0.25,0.0,0.6829536295346627,27930192,19228597,8094593,8467840,212101,5361110,1.0,2.175081366676744,2.0,2.1777313638313824
marine_sample_7-0.30,0.0,0.7712159321561194,26138835,17352830,7295790,8579430,181992,7152467,1.0,2.276619891997487,2.0,2.227229768341465
marine_sample_7-0.35,0.0,0.8586824315730684,24098589,15456849,6506753,8454059,160242,9192713,1.0,2.3750403208683544,2.0,2.292488860598345
marine_sample_7-0.40,0.0,0.9487307028966108,21867142,13549031,5715415,8146497,142282,11424160,1.0,2.4728535467453066,2.0,2.368163225144432
marine_sample_7-0.45,0.0,1.0424187444680584,19499257,11664617,4931879,7678983,125519,13792045,2.0,2.5717642557614724,3.0,2.442777587456879
marine_sample_7-0.50,0.0,1.1246029380606866,17453826,10130916,4293523,7180977,111921,15837476,2.0,2.6568851285834785,3.0,2.497163177598485
marine_sample_7-0.55,0.0,1.2296967522772728,14957804,8361110,3554137,6470892,96072,18333498,2.0,2.7631476464141267,3.0,2.5601944375052046
marine_sample_7-0.60,0.0,1.3404822836980277,12479128,6707520,2860193,5662331,80655,20812174,2.0,2.8715152823104124,3.0,2.6158576653648256
marine_sample_7-0.65,0.0,1.4640242793432805,10089235,5199087,2224099,4797965,65348,23202067,2.0,2.991956798350968,3.0,2.6636775417763356
marine_sample_7-0.70,1.0,1.607728179547306,7841588,3853566,1653964,3912976,50890,25449714,2.0,3.1311500504986487,3.0,2.704323049715072
marine_sample_7-0.75,1.0,1.7422760740605452,6066604,2859065,1230946,3146855,39154,27224698,2.0,3.2632402827585003,3.0,2.7324155897226348
marine_sample_7-0.80,1.0,1.8595126461358369,4138102,1875877,810143,2219115,26553,29153200,2.0,3.3673590598053726,3.0,2.7598764734681582
marine_sample_7-0.85,1.0,1.9269466120125185,2714768,1191809,516371,1494537,17500,30576534,2.0,3.4018562270455672,3.0,2.783714285714286
marine_sample_7-0.90,1.0,2.09316846478666,1766660,728644,318417,1018629,11313,31524642,2.0,3.5277456267198364,3.0,2.809776363475648
marine_sample_7-0.95,1.0,2.507175848850413,1054161,380067,168161,660926,6374,32237141,4.0,3.87900006959932,3.0,2.8379353624097896
marine_sample_7-1.00,3.0,3.634265898409859,583659,149295,67184,424418,2788,32707643,6.0,4.827208082597816,3.0,2.8680057388809184
marine_sample_8-0.05,0.0,0.3508219104973577,31984687,26015288,12257375,5149399,811319,1319607,1.0,1.7406248768060115,2.0,2.6865240429473487
marine_sample_8-0.10,0.0,0.39990512356697056,31303875,24776469,11438417,6008207,506007,2000419,1.0,1.87297691307906,2.0,2.2660141065242185
marine_sample_8-0.15,0.0,0.4673729488797884,30397292,23335810,10655687,6678046,364764,2907002,1.0,1.9893455361044237,2.0,2.0667691987147854
marine_sample_8-0.20,0.0,0.5448093259244277,29188656,21680326,9830047,7203543,280760,4115638,1.0,2.0989982290658915,2.0,2.015190910386095
marine_sample_8-0.25,0.0,0.613076598616531,27935139,20173742,9110465,7498879,234125,5369155,1.0,2.1862381030551368,2.0,2.0352717565403102
marine_sample_8-0.30,0.0,0.6954196630355018,26157355,18290773,8247298,7638028,195800,7146939,1.0,2.2894633274452514,2.0,2.086659856996936
marine_sample_8-0.35,0.0,0.7770207051032826,24123473,16354785,7378205,7563919,168786,9180821,1.0,2.3871084552862083,2.0,2.1607005320346477
marine_sample_8-0.40,0.0,0.8614102305965277,21897511,14387917,6496838,7325657,145685,11406783,2.0,2.483373436676055,2.0,2.2385969729210284
marine_sample_8-0.45,0.0,0.9504081518456232,19533049,12427711,5618622,6940562,125581,13771245,2.0,2.5819577722956732,2.0,2.3202236007039283
marine_sample_8-0.50,0.0,1.0292403358638391,17488992,10819452,4897797,6520413,109736,15815302,2.0,2.666168078617106,2.0,2.381533863089597
marine_sample_8-0.55,0.0,1.1303017831522195,14994177,8956877,4060687,5905979,92457,18310117,2.0,2.7720638695125737,3.0,2.4489005699947004
marine_sample_8-0.60,0.0,1.2383163827599843,12509803,7201786,3269492,5194458,76164,20794491,2.0,2.8806154559339974,3.0,2.5117246993330182
marine_sample_8-0.65,0.0,1.35754272102451,10118086,5595240,2544399,4427095,61119,23186208,2.0,2.996799029611969,3.0,2.5676467219686185
marine_sample_8-0.70,0.0,1.5001519689416416,7866739,4155891,1893195,3632483,46878,25437555,2.0,3.1369754517777513,3.0,2.6219335295874395
marine_sample_8-0.75,0.0,1.6342361957847065,6085460,3088545,1409288,2933299,35574,27218834,2.0,3.2721492081100494,3.0,2.6566874683757797
marine_sample_8-0.80,1.0,1.749612048698583,4149361,2027695,926541,2076223,24199,29154933,2.0,3.3731463335104177,3.0,2.693169139220629
marine_sample_8-0.85,1.0,1.8177864121009744,2724012,1290717,591083,1402942,16054,30580282,2.0,3.4065841638499665,3.0,2.7246169179020803
marine_sample_8-0.90,1.0,1.9807758371226032,1772769,790219,363504,961547,10392,31531525,2.0,3.522653598836042,3.0,2.767705927636644
