Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score,Mean Precision,Mean Recall
mouse_sample_24-kraken2_standard_0521-0.50,0.2239047511251428,0.930936328341236,0.21561338289962825,0.20844060332873096,0.2885572139303483,0.34061586564802954,0.2468085106382979,26851868.0,138.41708892992938,13.537896311679818,0.6593841343519704,0.6471194806253772,0.8235557918203117,3.5918794034854877,297.5,0.420067736835524,0.4450097444730901,0.021068824855805336,269.0,0.2937121881431637,0.5732748556204321,0.2484989086295396
mouse_sample_24-kraken2_standard_0521-0.55,0.18993954376844946,0.9382809094282332,0.2256809338521401,0.1782162515019803,0.2885572139303483,0.29953843571774325,0.2532751091703057,27733049.0,135.82559011482832,14.349064247942774,0.7004615642822567,0.6477498716850882,0.8205692494691056,3.5630671640801133,287.0,0.4236098299693338,0.44507048040853897,0.02168552810566117,257.0,0.27640677244402445,0.5819809216401867,0.23338673271616428
mouse_sample_24-kraken2_standard_0521-0.60,0.15709543683695198,0.9453049789324016,0.23265306122448975,0.1485027683322744,0.2835820895522388,0.2566820479024733,0.2556053811659193,28617536.0,133.28286956608977,12.57743073460722,0.7433179520975267,0.6483570553683672,0.8178563522072108,3.5345782506867343,254.16666666666663,0.42680282826928384,0.44534956462067604,0.02240886631250837,245.0,0.25614371453419627,0.5889790200784457,0.21604242894225661
mouse_sample_24-kraken2_standard_0521-0.65,0.1259999424151945,0.9515546635613308,0.25,0.11989556616016595,0.2835820895522388,0.21295844072885547,0.2657342657342657,29486586.0,130.12101670376634,14.117047943690915,0.7870415592711445,0.6491544907459661,0.8157137589048242,3.5105783400828345,246.33333333333331,0.4293089790695853,0.4481843015457155,0.023799741566249342,228.0,0.23934635323156056,0.6007773317806654,0.20173882785620237
mouse_sample_24-kraken2_standard_0521-0.70,0.09722178559421718,0.95864416902537,0.2579185520361991,0.09320089057889433,0.2835820895522388,0.16988526872017334,0.27014218009478674,30305470.0,126.8525261236784,15.971064512148345,0.8301147312798267,0.6499187154464627,0.8140490606292556,3.4895858353541036,225.5,0.4312496201958958,0.4480777473449527,0.02433376724602853,221.0,0.22001372440748004,0.6082813605307845,0.18839149006556655
mouse_sample_24-kraken2_standard_0521-0.75,0.07476022510489541,0.9643087439778216,0.2740384615384616,0.07209177843483885,0.2835820895522388,0.13415418230742032,0.2787286063569682,30962830.0,123.13261723946236,17.84988066549034,0.8658458176925796,0.6507031949260145,0.8128485395613707,3.4726516108787364,214.11111111111111,0.43264605937588624,0.45096796260838,0.02568877793646096,208.0,0.20644139433219427,0.6191736027581416,0.17783693399353884
mouse_sample_24-kraken2_standard_0521-0.80,0.05059618607057216,0.972213345055154,0.2923076923076923,0.04919017790539643,0.2835820895522388,0.0936424171842428,0.28787878787878785,31682826.0,118.62045977219759,20.730732978110154,0.9063575828157572,0.6515677650629307,0.8113170819953752,3.4525804260337267,202.85714285714286,0.4344265328657945,0.4538491538606491,0.027178958129529404,195.0,0.19076060253151533,0.6322605186814232,0.1663861337288176
mouse_sample_24-kraken2_standard_0521-0.85,0.033206837107672714,0.9741175512272826,0.3114754098360656,0.03234729090540785,0.2835820895522388,0.06261532939162165,0.29687499999999994,32225054.0,113.68764210958963,23.905766984447,0.9373846706083784,0.6523895033695126,0.8102804765752945,3.4360888804366847,189.0,0.4356398070354965,0.45718814672902097,0.02880294434476398,183.0,0.1797451646958108,0.6427964805316742,0.1579646902288233
mouse_sample_24-kraken2_standard_0521-0.90,0.02176964118234469,0.975937896053478,0.3433734939759036,0.021245770561727103,0.2835820895522388,0.041586225920501284,0.3106267029972752,32583264.0,108.0847070622218,27.22383405317064,0.9584137740794988,0.6539489381956277,0.8102550734247933,3.4247762224110456,169.46153846153842,0.4356964564118774,0.4643739541044825,0.03174839240381205,166.0,0.17610646445888822,0.6596556950146908,0.15241393005698295
mouse_sample_24-kraken2_standard_0521-0.95,0.013100783688328432,0.9768087947180304,0.3825503355704698,0.012796932263468534,0.2835820895522388,0.025262901455704027,0.3257142857142857,32857060.0,101.9156055852458,31.16530706724525,0.9747370985442959,0.6544279332028905,0.8105979671120147,3.4134680140542155,154.0,0.4353512527004619,0.4728339564839096,0.03543472735555255,149.0,0.17548859358499486,0.6796795651442501,0.14818951090785365
mouse_sample_24-kraken2_standard_0521-1.00,0.007360065466350066,0.7521979345744398,0.4296875,0.0055362137293171534,0.2736318407960199,0.010991529263600358,0.3343465045592705,33149219.0,95.05788891238824,34.67573598316866,0.9890084707363996,0.7472535671215551,0.8337241938290141,3.5860680259037054,137.16666666666666,0.40798088448190817,0.5122954322719578,0.046985187923047525,128.0,0.17266901691143544,0.5909427172872199,0.13958402726266853
mouse_sample_25-kraken2_standard_0521-0.00,0.5191543865367718,0.5330238674630539,0.00826226012793177,0.2767195903544369,0.31155778894472363,0.3643083369912419,0.016097624302219917,32115570.0,228.7550988691988,7.128746912996732,0.6356916630087581,0.6574431503873891,0.9191541836967724,5.5879517999180015,8249.524861878455,0.2844576078640743,0.4340681290164981,0.0016483507276134884,7504.0,0.19020298064673088,0.2706430637954928,0.29413868964958023
mouse_sample_25-kraken2_standard_0521-0.05,0.4678666342711397,0.6302228360786017,0.014828988280315716,0.2948580116876205,0.31155778894472363,0.4017513773309248,0.028310502283105023,29203546.0,189.4547330637649,6.9222419005993725,0.5982486226690752,0.65691940685471,0.8892044352449316,4.581064597154417,4653.154963680388,0.3329491245300138,0.38081501347923896,0.0021587256751334142,4181.0,0.2150309398070149,0.32252591217945875,0.30320790031617206
mouse_sample_25-kraken2_standard_0521-0.10,0.4403301156315835,0.6591942705309015,0.05183946488294314,0.2902608985944166,0.31155778894472363,0.4030486694571585,0.08888888888888888,28593564.0,165.10094357309382,7.190595638344034,0.5969513305428416,0.6567185476229397,0.8773216216817561,4.312206595683487,1387.060606060606,0.3502833188460759,0.42177287652114015,0.006815548206618662,1196.0,0.24596877917302368,0.3555168677069223,0.3009093437695701
mouse_sample_25-kraken2_standard_0521-0.15,0.4179585285133761,0.6821762268633265,0.09393939393939392,0.2851192200017855,0.31155778894472363,0.4021554207401448,0.14435389988358555,28191565.0,157.07036125820096,7.634802872643185,0.5978445792598552,0.6567020772178621,0.8700133948340599,4.204197037321288,753.9473684210526,0.3605536463006849,0.44886316540838905,0.011656212678354684,660.0,0.2732546603118652,0.38805781040136017,0.2983385044732546
mouse_sample_25-kraken2_standard_0521-0.20,0.39488092538945296,0.7064833943927853,0.12627291242362526,0.27897471096156223,0.31155778894472363,0.3999987410504912,0.17971014492753626,27832787.0,151.83059735734957,8.133063892900296,0.6000012589495088,0.6565379182013736,0.8633072522234632,4.119433696090795,544.04,0.3697336193676243,0.4608084561177626,0.01489954595930654,491.0,0.28985444298901375,0.4163781534082053,0.29526624995314293
mouse_sample_25-kraken2_standard_0521-0.25,0.3738295061105461,0.723518677547464,0.14691943127962084,0.27047058848646605,0.31155778894472363,0.3937477580176048,0.1996779388083736,27698333.0,148.6604852268016,8.590039556546419,0.6062522419823951,0.6562297749161548,0.8579974592526642,4.067438379062948,467.8823529411765,0.3768450064669428,0.4663905651170451,0.01668750596978285,422.0,0.29671284841298917,0.4352190544135424,0.2910141887155948
mouse_sample_25-kraken2_standard_0521-0.30,0.3461042374191189,0.7507207484054395,0.17032967032967036,0.2598256710822579,0.31155778894472363,0.3860416869295391,0.2202486678507993,27484324.0,145.49328715297003,9.355368582831524,0.6139583130704608,0.6558358716079938,0.8528006830033665,4.021081295069507,391.6,0.3836777322057154,0.4726349735888308,0.018663488413574486,364.0,0.3031451773901692,0.4605252093675549,0.2856917300134908
