Sample,Median Index,Mean Index,Number of reads,Number of correctly classified reads,Number of reads classified at a lower level by Kraken,Number of reads classified at a higher level by Kraken,Number of reads classified wrong by Kraken,Unclassified reads,Median Index of reads classified at a higher level by Kraken,Mean Index of reads classified at a higher level by Kraken,Median Index of reads classified wrong by Kraken,Mean Index of reads classified wrong by Kraken
marine_sample_2-0.45,2,4.240728293,33298832,12359992,5285726,7285645,141896,13494148,2,2.647286822,2,2.272199357
marine_sample_2-0.50,6,4.779990031,33298832,10760959,4607834,6838698,125538,15556505,2,2.736220403,3,2.335284934
marine_sample_2-0.55,9,5.427719086,33298832,8905751,3819317,6192003,106667,18077781,2,2.847313381,3,2.404061237
marine_sample_2-0.60,9,6.059712575,33298832,7159815,3075104,5446859,88571,20587903,2,2.961508826,3,2.462961918
marine_sample_2-0.65,9,6.65898888,33298832,5557826,2390860,4643375,70947,23012125,2,3.083524591,3,2.515046443
marine_sample_2-0.70,9,7.214147451,33298832,4123706,1777636,3809918,54357,25297600,2,3.224699062,3,2.560590172
marine_sample_2-0.75,9,7.64321208,33298832,3060991,1322098,3077799,41544,27106799,2,3.358176086,3,2.593924514
marine_sample_2-0.80,9,8.088601456,33298832,2011209,868966,2180180,27721,29070951,2,3.463318625,3,2.627069731
marine_sample_2-0.85,9,8.407465043,33298832,1279088,553978,1472257,18173,30523308,2,3.495753798,3,2.657348814
marine_sample_2-0.90,9,8.623293153,33298832,782769,340641,1008436,11548,31491756,3,3.619219266,3,2.695531694
marine_sample_2-0.95,9,8.788498137,33298832,408065,179213,659983,6503,32220472,4,3.955197331,3,2.741965247
marine_sample_2-1.00,9,8.902703795,33298832,160670,71411,429896,2821,32701721,6,4.868135549,3,2.779510812
marine_sample_3-0.05,0,0.685334448,33286888,25518252,11038695,5809697,737923,1211639,1,1.702827531,2,2.616255355
marine_sample_3-0.10,0,0.913187168,33286888,24273059,10253436,6666810,464733,1869493,1,1.860100108,2,2.271521497
marine_sample_3-0.15,0,1.214753779,33286888,22836695,9519335,7327121,336223,2769790,1,1.998554002,2,2.111946535
marine_sample_3-0.20,0,1.598128158,33286888,21198168,8755709,7828459,258990,3979934,1,2.126906713,2,2.065222595
marine_sample_3-0.25,0,1.978189039,33286888,19711516,8100789,8096255,215879,5238589,1,2.226647382,2,2.089642809
marine_sample_3-0.30,0,2.494659248,33286888,17861029,7320683,8191297,181779,7025234,1,2.340824658,2,2.145495354
marine_sample_3-0.35,1,3.064104761,33286888,15963269,6541028,8068831,158582,9066274,1,2.450966689,2,2.221071748
marine_sample_3-0.40,1,3.672326142,33286888,14031963,5754128,7781523,139129,11302841,1,2.558742164,2,2.306787226
marine_sample_3-0.45,2,4.304778056,33286888,12108163,4971710,7340799,121650,13684021,1,2.663885498,2,2.393201808
marine_sample_3-0.50,7,4.841207565,33286888,10533834,4330139,6871940,107941,15741131,2,2.753940081,3,2.457509195
marine_sample_3-0.55,9,5.484202368,33286888,8709939,3586200,6202064,92189,18251013,2,2.865935437,3,2.527969714
marine_sample_3-0.60,9,6.109661348,33286888,6996862,2886710,5438503,77595,20743753,2,2.9797413,3,2.589458084
marine_sample_3-0.65,9,6.702071008,33286888,5425238,2242789,4623785,62897,23147113,2,3.103487727,3,2.647423566
marine_sample_3-0.70,9,7.249630996,33286888,4023220,1666556,3781707,49016,25407657,2,3.249611353,3,2.694467113
marine_sample_3-0.75,9,7.671942177,33286888,2986072,1239057,3044715,37469,27196531,2,3.384622206,3,2.727107742
marine_sample_3-0.80,9,8.109778481,33286888,1958900,813907,2150046,25574,29135681,2,3.491788548,3,2.755532963
marine_sample_3-0.85,9,8.421736661,33286888,1245110,519435,1449873,16877,30563876,2,3.525262557,3,2.783077561
marine_sample_3-0.90,9,8.632861654,33286888,762145,320263,989952,10945,31515503,3,3.652300314,3,2.821653723
marine_sample_3-0.95,9,8.794617628,33286888,397293,168439,645405,6391,32230859,4,4.008134427,3,2.877640432
marine_sample_3-1.00,9,8.906436673,33286888,156466,67347,418158,2918,32702399,6,4.962076536,3,2.917751885
marine_sample_4-0.05,0,0.732345415,33297894,24697002,8853859,6731217,685586,1173263,1,1.735505481,2,2.985322046
marine_sample_4-0.10,0,0.964854504,33297894,23374590,7969671,7662248,402617,1841835,1,1.878667984,2,2.500768721
marine_sample_4-0.15,0,1.270263699,33297894,21886324,7233526,8366768,276108,2744805,1,2.004140787,2,2.211739609
marine_sample_4-0.20,0,1.657269526,33297894,20213387,6524272,8893379,205070,3954908,1,2.12292628,2,2.092334325
marine_sample_4-0.25,0,2.038834949,33297894,18722602,5953922,9158483,168247,5211939,1,2.216739934,2,2.079543766
marine_sample_4-0.30,0,2.555395636,33297894,16897521,5321141,9222152,140252,6996008,1,2.326027916,2,2.114686422
marine_sample_4-0.35,1,3.122830591,33297894,15053491,4721256,9041606,121155,9034965,1,2.431570896,2,2.175708803
marine_sample_4-0.40,1,3.726944503,33297894,13198567,4130176,8672730,105567,11271877,2,2.533456939,2,2.255865943
marine_sample_4-0.45,2,4.354484371,33297894,11361981,3552701,8143699,91793,13649731,2,2.637256362,2,2.335123593
marine_sample_4-0.50,7,4.885687185,33297894,9869790,3085872,7591871,80912,15703996,2,2.725467016,3,2.39533073
marine_sample_4-0.55,9,5.522871837,33297894,8146577,2548886,6813202,68756,18218568,2,2.833627272,3,2.468075513
marine_sample_4-0.60,9,6.141610007,33297894,6536885,2048602,5941026,57111,20714368,2,2.944358769,3,2.526991298
marine_sample_4-0.65,9,6.727332666,33297894,5066299,1589308,5017261,46200,23123306,2,3.06413878,3,2.580519481
marine_sample_4-0.70,9,7.268173507,33297894,3757037,1180054,4077082,35822,25387050,2,3.205529347,3,2.626542348
marine_sample_4-0.75,9,7.685706249,33297894,2786243,876263,3270699,27362,27177443,2,3.339585208,3,2.658577589
marine_sample_4-0.80,9,8.11827724,33297894,1828286,575954,2301296,18257,29122730,2,3.442362477,3,2.691844224
marine_sample_4-0.85,9,8.427560764,33297894,1161203,366491,1546479,12021,30559616,2,3.48114782,3,2.727227352
marine_sample_4-0.90,9,8.637101854,33297894,707934,224507,1050629,7674,31517970,3,3.608426952,3,2.771826948
marine_sample_4-0.95,9,8.796936767,33297894,368813,117436,677222,4354,32235970,4,3.956779313,3,2.826136886
marine_sample_4-1.00,9,8.907587639,33297894,144577,46248,429014,1895,32710184,6,4.887528146,3,2.859630607
marine_sample_5-0.05,0,0.616678637,33298452,26007815,10694866,5541704,734429,1005383,1,1.684059271,2,2.820354316
marine_sample_5-0.10,0,0.841884812,33298452,24694267,9858467,6471515,448590,1670006,1,1.824516516,2,2.383813727
marine_sample_5-0.15,0,1.145695031,33298452,23181683,9070307,7190768,314051,2591347,1,1.943039325,2,2.13460871
marine_sample_5-0.20,0,1.535238875,33298452,21459846,8267838,7743161,236586,3832102,1,2.054502418,2,2.041557827
marine_sample_5-0.25,0,1.921168708,33298452,19911194,7595492,8043028,194441,5118383,1,2.141965563,2,2.03637093
marine_sample_5-0.30,0,2.446317354,33298452,18000576,6817980,8157514,160849,6942915,1,2.244415517,2,2.077184191
marine_sample_5-0.35,1,3.023056868,33298452,16062464,6062037,8042272,137610,9015549,1,2.345559066,2,2.140367706
marine_sample_5-0.40,1,3.63842157,33298452,14107147,5311225,7745379,118891,11284297,1,2.446214962,2,2.217400813
marine_sample_5-0.45,2,4.277701768,33298452,12165812,4574268,7296735,102911,13688782,1,2.550128653,2,2.296042211
marine_sample_5-0.50,7,4.819493951,33298452,10580948,3976668,6820121,90414,15762096,2,2.640124127,2,2.35584091
marine_sample_5-0.55,9,5.468107977,33298452,8748319,3288843,6141903,76257,18288067,2,2.752725825,3,2.423370969
marine_sample_5-0.60,9,6.097963022,33298452,7031239,2645566,5373698,62960,20788303,2,2.869802881,3,2.482210928
marine_sample_5-0.65,9,6.694263295,33298452,5459475,2057358,4553244,50561,23195750,2,3.000879812,3,2.537904709
marine_sample_5-0.70,9,7.244911595,33298452,4054554,1530748,3711878,38836,25457394,2,3.153453858,3,2.586491915
marine_sample_5-0.75,9,7.668635016,33298452,3012895,1140151,2985040,29852,27238636,2,3.296190001,3,2.627328152
marine_sample_5-0.80,9,8.107862582,33298452,1978258,750197,2105357,20337,29170313,2,3.407821096,3,2.659831834
marine_sample_5-0.85,9,8.420233109,33298452,1261675,479755,1417212,13474,30589771,2,3.450150718,3,2.695116521
marine_sample_5-0.90,9,8.632099504,33298452,773769,296151,967723,8673,31536101,2,3.593230708,3,2.734463277
marine_sample_5-0.95,9,8.794711298,33298452,404980,156504,629651,4980,32248742,4,3.981281694,3,2.78815261
marine_sample_5-1.00,9,8.907470804,33298452,159139,62385,408972,2174,32717359,6,5.00110521,3,2.839926403
marine_sample_6-0.05,0,0.709678225,33293400,25054211,10539851,6188475,911350,1131467,1,1.767838442,2,2.669776705
marine_sample_6-0.10,0,0.943573351,33293400,23744711,9752921,7159536,552412,1824448,1,1.902602208,2,2.285154921
marine_sample_6-0.15,0,1.252659626,33293400,22249787,9011958,7880680,382913,2762130,1,2.015801809,2,2.087233915
marine_sample_6-0.20,0,1.643876354,33293400,20563467,8248205,8412673,284237,4009305,1,2.122781784,2,2.022104793
marine_sample_6-0.25,0,2.028277466,33293400,19057045,7602301,8684234,230193,5294010,1,2.206654611,2,2.032190379
marine_sample_6-0.30,0,2.549061706,33293400,17208486,6845857,8753939,188447,7110563,1,2.306653496,2,2.079497153
marine_sample_6-0.35,1,3.119334763,33293400,15340977,6102770,8583222,159751,9173604,2,2.403043752,2,2.143035098
marine_sample_6-0.40,1,3.726922213,33293400,13457319,5357604,8233214,136816,11427859,2,2.50007494,2,2.220507835
marine_sample_6-0.45,2,4.357013402,33293400,11593710,4623694,7724714,117397,13817981,2,2.598386555,2,2.298065538
marine_sample_6-0.50,7,4.88896508,33293400,10081392,4027613,7196766,102560,15872934,2,2.683769488,2,2.356386505
marine_sample_6-0.55,9,5.525970403,33293400,8332843,3337514,6457873,86476,18377027,2,2.790852809,3,2.422614367
marine_sample_6-0.60,9,6.145886332,33293400,6690796,2687741,5632755,71496,20860869,2,2.903500507,3,2.483607475
marine_sample_6-0.65,9,6.73172827,33293400,5190871,2092555,4760004,57242,23250234,2,3.027151868,3,2.538695364
marine_sample_6-0.70,9,7.272689692,33293400,3854582,1558982,3866350,44673,25495727,2,3.172679142,3,2.590468516
marine_sample_6-0.75,9,7.689577033,33293400,2862997,1161834,3100434,34405,27267166,2,3.309784372,3,2.625199826
marine_sample_6-0.80,9,8.12148594,33293400,1879645,765161,2181671,23116,29187365,2,3.414714684,3,2.655476726
marine_sample_6-0.85,9,8.429556008,33293400,1195860,488555,1467297,15196,30600294,2,3.456902727,3,2.68847065
marine_sample_6-0.90,9,8.637828699,33293400,732535,301255,997281,9878,31542947,2,3.582099729,3,2.730512249
marine_sample_6-0.95,9,8.797281443,33293400,382990,159392,647185,5615,32248547,4,3.951346215,3,2.790382903
marine_sample_6-1.00,9,8.908250704,33293400,150050,63058,416158,2536,32714907,6,4.942483384,3,2.837539432
marine_sample_7-0.05,0,0.715601841,33291302,25350720,11187692,5908878,781882,1243326,1,1.727313206,2,3.029147621
marine_sample_7-0.10,0,0.948293912,33291302,24003217,10355850,6868545,465820,1943775,1,1.864455427,2,2.533946589
marine_sample_7-0.15,0,1.254531619,33291302,22475148,9576948,7602606,327619,2871652,1,1.979698803,2,2.261041026
marine_sample_7-0.20,0,1.641172881,33291302,20759945,8774761,8164364,251863,4096723,1,2.08874739,2,2.173078221
marine_sample_7-0.25,0,2.02230048,33291302,19228597,8094593,8467840,212101,5361110,1,2.175081367,2,2.177731364
marine_sample_7-0.30,0,2.539128359,33291302,17352830,7295790,8579430,181992,7152467,1,2.276619892,2,2.227229768
marine_sample_7-0.35,1,3.106740974,33291302,15456849,6506753,8454059,160242,9192713,1,2.375040321,2,2.292488861
marine_sample_7-0.40,1,3.711584155,33291302,13549031,5715415,8146497,142282,11424160,1,2.472853547,2,2.368163225
marine_sample_7-0.45,2,4.339115244,33291302,11664617,4931879,7678983,125519,13792045,2,2.571764256,3,2.442777587
marine_sample_7-0.50,7,4.871119429,33291302,10130916,4293523,7180977,111921,15837476,2,2.656885129,3,2.497163178
marine_sample_7-0.55,9,5.508797613,33291302,8361110,3554137,6470892,96072,18333498,2,2.763147646,3,2.560194438
marine_sample_7-0.60,9,6.1288566,33291302,6707520,2860193,5662331,80655,20812174,2,2.871515282,3,2.615857665
marine_sample_7-0.65,9,6.716153306,33291302,5199087,2224099,4797965,65348,23202067,2,2.991956798,3,2.663677542
marine_sample_7-0.70,9,7.258789939,33291302,3853566,1653964,3912976,50890,25449714,2,3.13115005,3,2.70432305
marine_sample_7-0.75,9,7.677440221,33291302,2859065,1230946,3146855,39154,27224698,2,3.263240283,3,2.73241559
marine_sample_7-0.80,9,8.112438889,33291302,1875877,810143,2219115,26553,29153200,2,3.36735906,3,2.759876473
marine_sample_7-0.85,9,8.423221747,33291302,1191809,516371,1494537,17500,30576534,2,3.401856227,3,2.783714286
marine_sample_7-0.90,9,8.633477147,33291302,728644,318417,1018629,11313,31524642,2,3.527745627,3,2.809776363
marine_sample_7-0.95,9,8.794406299,33291302,380067,168161,660926,6374,32237141,4,3.87900007,3,2.837935362
marine_sample_7-1.00,9,8.905928612,33291302,149295,67184,424418,2788,32707643,6,4.827208083,3,2.868005739
marine_sample_8-0.05,0,0.693525946,33304294,26015288,12257375,5149399,811319,1319607,1,1.740624877,2,2.686524043
marine_sample_8-0.10,0,0.916468939,33304294,24776469,11438417,6008207,506007,2000419,1,1.872976913,2,2.266014107
marine_sample_8-0.15,0,1.212152703,33304294,23335810,10655687,6678046,364764,2907002,1,1.989345536,2,2.066769199
marine_sample_8-0.20,0,1.589674713,33304294,21680326,9830047,7203543,280760,4115638,1,2.098998229,2,2.01519091
marine_sample_8-0.25,0,1.965175271,33304294,20173742,9110465,7498879,234125,5369155,1,2.186238103,2,2.035271757
marine_sample_8-0.30,0,2.477542085,33304294,18290773,8247298,7638028,195800,7146939,1,2.289463327,2,2.086659857
marine_sample_8-0.35,1,3.043806513,33304294,16354785,7378205,7563919,168786,9180821,1,2.387108455,2,2.160700532
marine_sample_8-0.40,1,3.648892452,33304294,14387917,6496838,7325657,145685,11406783,2,2.483373437,2,2.238596973
marine_sample_8-0.45,2,4.278894908,33304294,12427711,5618622,6940562,125581,13771245,2,2.581957772,2,2.320223601
marine_sample_8-0.50,6,4.814336974,33304294,10819452,4897797,6520413,109736,15815302,2,2.666168079,2,2.381533863
marine_sample_8-0.55,9,5.456923903,33304294,8956877,4060687,5905979,92457,18310117,2,2.77206387,3,2.44890057
marine_sample_8-0.60,9,6.084546125,33304294,7201786,3269492,5194458,76164,20794491,2,2.880615456,3,2.511724699
marine_sample_8-0.65,9,6.678166065,33304294,5595240,2544399,4427095,61119,23186208,2,2.99679903,3,2.567646722
marine_sample_8-0.70,9,7.228476274,33304294,4155891,1893195,3632483,46878,25437555,2,3.136975452,3,2.62193353
marine_sample_8-0.75,9,7.654105654,33304294,3088545,1409288,2933299,35574,27218834,2,3.272149208,3,2.656687468
marine_sample_8-0.80,9,8.096678735,33304294,2027695,926541,2076223,24199,29154933,2,3.373146334,3,2.693169139
marine_sample_8-0.85,9,8.41255515,33304294,1290717,591083,1402942,16054,30580282,2,3.406584164,3,2.724616918
marine_sample_8-0.90,9,8.626370612,33304294,790219,363504,961547,10392,31531525,2,3.522653599,3,2.767705928
marine_sample_8-0.95,9,8.790043981,33304294,413677,191413,629697,5694,32246101,4,3.864037783,3,2.81032666
marine_sample_8-1.00,9,8.903666656,33304294,163489,76604,411598,2426,32717262,6,4.816199301,3,2.870981039
marine_sample_9-0.05,0,0.703280712,33299844,25329069,11315160,5973606,755355,1233015,1,1.648369009,2,3.172157462
marine_sample_9-0.10,0,0.935393541,33299844,23954749,10387063,6943009,423988,1964190,1,1.765265607,2,2.569228374
marine_sample_9-0.15,0,1.239385686,33299844,22414797,9552956,7677825,280770,2906913,1,1.864747634,2,2.194237276
marine_sample_9-0.20,0,1.624281663,33299844,20690795,8713261,8239257,203641,4140495,1,1.963224961,2,2.049940827
marine_sample_9-0.25,0,2.0046881,33299844,19155475,8012542,8539847,163414,5410664,1,2.043782049,2,2.033136696
marine_sample_9-0.30,0,2.521130159,33299844,17282910,7207163,8641882,133417,7205890,1,2.1408935,2,2.077523854
marine_sample_9-0.35,1,3.088919456,33299844,15397764,6421869,8499012,113538,9250084,1,2.236779875,2,2.152116472
marine_sample_9-0.40,1,3.694704275,33299844,13501809,5638614,8172685,97649,11485903,1,2.332756004,2,2.241569294
marine_sample_9-0.45,2,4.32409284,33299844,11629919,4866226,7683955,84137,13858562,1,2.430931077,2,2.328999132
marine_sample_9-0.50,7,4.857819394,33299844,10106292,4237247,7171652,73968,15904205,1,2.517678632,3,2.397320463
marine_sample_9-0.55,9,5.497432631,33299844,8348637,3509792,6446062,62533,18399519,1,2.625735061,3,2.470535557
marine_sample_9-0.60,9,6.119416415,33299844,6704188,2827040,5629664,51586,20873363,2,2.738230381,3,2.532489435
marine_sample_9-0.65,9,6.708777765,33299844,5202179,2201047,4760489,41394,23257573,2,2.863616322,3,2.584939846
marine_sample_9-0.70,9,7.253730348,33299844,3859599,1638572,3873845,31987,25499297,2,3.008411023,3,2.634007566
marine_sample_9-0.75,9,7.673834718,33299844,2866387,1220075,3111191,24318,27266539,2,3.147110222,3,2.660827371
marine_sample_9-0.80,9,8.110308114,33299844,1881942,803067,2191545,16319,29186261,2,3.256950234,3,2.690115816
marine_sample_9-0.85,9,8.421596239,33299844,1198131,513674,1474993,10842,30599823,2,3.298601417,3,2.723206051
marine_sample_9-0.90,9,8.632733114,33299844,733301,316507,1003488,6840,31544521,2,3.431894552,3,2.758187135
marine_sample_9-0.95,9,8.7944321,33299844,383550,167021,649186,3822,32253246,3,3.809293484,3,2.8003663
marine_sample_9-1.00,9,8.906447249,33299844,150358,66322,417171,1636,32720044,6,4.800278543,3,2.84596577
mouse_sample_0-0.05,1,1.193049027,33170320,8338695,5454117,16487866,7363188,980571,1,1.388313988,1,1.067247502
mouse_sample_0-0.10,1,1.377141945,33170320,8019533,4676386,17538253,6087709,1524825,1,1.467814839,1,1.020729802
mouse_sample_0-0.20,1,1.953250768,33170320,7188489,3327679,18244955,4305820,3431056,1,1.621605096,1,1.004300458
mouse_sample_0-0.25,1,2.285561369,33170320,6758871,2840315,18093913,3691244,4626292,1,1.684326215,1,1.002405151
mouse_sample_0-0.30,1,2.741736076,33170320,6208180,2381168,17439833,3171415,6350892,1,1.755195592,1,1.001419556
mouse_sample_0-0.40,1,3.800299665,33170320,5016381,1706036,15181449,2419546,10552944,1,1.887770331,1,1.000836934
mouse_sample_0-0.45,1,4.381392854,33170320,4391382,1428915,13773003,2080016,12925919,1,1.954360716,1,1.000721148
mouse_sample_0-0.50,6,4.879906977,33170320,3867130,1222833,12502325,1810439,14990426,1,2.011033868,1,1.000665032
mouse_sample_0-0.60,9,6.083897653,33170320,2645972,800941,9232072,1215444,20076832,1,2.155227667,1,1.000561935
mouse_sample_0-0.65,9,6.657069875,33170320,2083602,621370,7592807,951025,22542886,1,2.236277967,1,1.000538366
mouse_sample_0-0.70,9,7.193864425,33170320,1568578,462572,6017427,711751,24872564,1,2.336147991,1,1.000502985
mouse_sample_0-0.75,9,7.6161848,33170320,1176449,345041,4730494,532310,26731067,1,2.435078873,1,1.000465894
mouse_sample_0-0.85,9,8.387325657,33170320,503329,145769,2166183,225287,30275521,1,2.541428864,1,1.000443878
mouse_sample_0-0.90,9,8.604119978,33170320,312499,90096,1444542,139918,31273361,1,2.631409125,1,1.000464558
mouse_sample_0-0.95,9,8.771832409,33170320,163950,47740,904673,74123,32027574,1,2.920574616,1,1.000458697
mouse_sample_0-1.00,9,8.890595116,33170320,62228,19043,550285,29658,32528149,4,3.854135584,1,1.00043833
mouse_sample_1-0.05,0,1.226821664,33270054,23037603,12898297,5249358,2321315,2661778,1,2.516647941,1,1.57222738
mouse_sample_1-0.10,0,1.43425953,33270054,22362592,11463193,5641933,1841303,3424226,1,2.604128585,1,1.198900453
mouse_sample_1-0.15,0,1.695315583,33270054,21479633,10116893,5917850,1581245,4291326,1,2.70876467,1,1.107509589
mouse_sample_1-0.20,0,2.032888645,33270054,20356491,8778590,6106971,1368220,5438372,1,2.819219053,1,1.075907383
mouse_sample_1-0.25,0,2.372070812,33270054,19256731,7737434,6171452,1211419,6630452,1,2.909732912,1,1.062868421
mouse_sample_1-0.30,0,2.836227077,33270054,17790045,6693358,6096660,1064649,8318700,1,3.013509856,1,1.052725358
mouse_sample_1-0.35,1,3.350810071,33270054,16197325,5807490,5891107,941508,10240114,1,3.112301474,1,1.046942777
mouse_sample_1-0.40,1,3.906160687,33270054,14503429,4994076,5591020,824838,12350767,1,3.208944164,1,1.042632614
mouse_sample_1-0.45,3,4.488709667,33270054,12748690,4241292,5212926,711952,14596486,2,3.305587495,1,1.038631818
mouse_sample_1-0.50,8,4.987446909,33270054,11264550,3659663,4843497,620299,16541708,2,3.389003854,1,1.035993932
mouse_sample_1-0.55,9,5.589584766,33270054,9492548,3010395,4344377,515314,18917815,2,3.492515958,1,1.033633862
mouse_sample_1-0.60,9,6.181493033,33270054,7772350,2416131,3794121,416348,21287235,2,3.596122527,1,1.031271917
mouse_sample_1-0.65,9,6.746388449,33270054,6150244,1879339,3220056,324855,23574899,2,3.709352881,1,1.029052962
mouse_sample_1-0.70,9,7.273357356,33270054,4651905,1399753,2647509,243157,25727483,3,3.848120252,1,1.026957891
mouse_sample_1-0.75,9,7.684034658,33270054,3505275,1044658,2148657,181271,27434851,4,3.978648058,1,1.025199839
mouse_sample_1-0.80,9,8.114217218,33270054,2336076,690706,1520617,119747,29293614,4,4.07427051,1,1.023107051
