Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
strain_sample_21-kraken2_refseqV205_100GB-0.05,0.446346423,0.87928943,0.023989899,0.451639665,0.397042267,0.95,0.673521134,0.547060094,0.04679803,8650596,70.76328333,9.141175654,0.452939906,0.292761618,0.551696447,2.087086995,997.060241,0.669643896,0.216742102,0.002816454,792,0.296929062
strain_sample_21-kraken2_refseqV205_100GB-0.10,0.13385988,0.887967844,0.170454545,0.529211195,0.120248731,0.75,0.435124365,0.21181363,0.277777778,11774955,40.54170564,11.47383938,0.78818637,0.271279845,0.543209345,1.882838777,95,0.675895899,0.291486757,0.024877121,88,0.244795704
strain_sample_21-kraken2_refseqV205_100GB-0.15,0.026535673,0.991345166,0.545454545,0.768399856,0.026612632,0.6,0.313306316,0.051833788,0.571428571,12810412,28.82084458,15.46856872,0.948166212,0.229951779,0.461368103,1.378329956,22,0.733959093,0.30908198,0.084388885,22,0.31163118
strain_sample_21-kraken2_refseqV205_100GB-0.20,0.003715834,0.986534846,0.583333333,0.784934089,0.003708528,0.35,0.176854264,0.007389279,0.4375,13109382,25.26818733,13.82402689,0.992610721,0.196474343,0.592553718,1.673368365,12,0.63845718,0.466774301,0.204525939,12,0.222444639
strain_sample_21-kraken2_refseqV205_100GB-0.25,0.000582005,0.955079386,0.5,0.727539693,0.00056234,0.15,0.07528117,0.001124019,0.230769231,13150460,23.4001361,12.61263921,0.998875981,0.316755111,0.374992646,1.024849515,6,0.791084608,0.396465912,0.266663529,6,0.115946625
strain_sample_21-kraken2_refseqV205_100GB-0.30,4.19E-05,1,1,1,4.24E-05,0.05,0.025021205,8.48E-05,0.095238095,13156953,14.48203128,3.157838932,0.999915185,0.999002547,0,0,1,1,0,1,1,0.047661455
strain_sample_21-kraken2_refseqV205_100GB-0.35,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.40,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.45,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.50,0,0,0,0,0,0,0,0,0,13157511,13.09020338,0,1,0,0,0,0,0,0,0,0,0
