Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
strain_sample_13-kraken2_refseqV205-0.10,0.988531958,0.635957962,0.007767784,0.321862873,0.660697203,0.95,0.805348601,0.648091579,0.01540957,9086425,110.6105069,6.222924219,0.351908421,0.347533558,0.671124268,2.591745187,2995,0.573583475,0.230250279,0.001243116,2446,0.331750574
strain_sample_13-kraken2_refseqV205-0.15,0.973586988,0.636912397,0.013185288,0.325048843,0.651685125,0.95,0.800842563,0.644214083,0.026009582,9115776,91.93792385,7.185277425,0.355785917,0.353213563,0.650605405,2.402538826,1802.985816,0.591161793,0.228969038,0.001986186,1441,0.335111833
strain_sample_13-kraken2_refseqV205-0.20,0.949562557,0.661704811,0.021791768,0.341748289,0.660345494,0.9,0.780172747,0.661024454,0.042553191,8576683,74.16049005,7.822547797,0.338975546,0.339191836,0.625939648,2.182640467,1060.279412,0.611644664,0.225246741,0.00323652,826,0.351788823
strain_sample_13-kraken2_refseqV205-0.25,0.921611582,0.688598515,0.044334975,0.366466745,0.666956256,0.9,0.783478128,0.67760462,0.084507042,8037243,55.90749742,8.740596379,0.32239538,0.324133885,0.601521933,2.011165145,500.55,0.631272035,0.232093154,0.006181154,406,0.381055831
strain_sample_13-kraken2_refseqV205-0.30,0.878376171,0.72398126,0.118055556,0.421018408,0.668330399,0.85,0.7591652,0.695043644,0.207317073,7427012,39.66785376,7.54302623,0.304956356,0.303517748,0.559081338,1.701343331,145.6666667,0.664025187,0.23728886,0.015749944,144,0.451180359
strain_sample_13-kraken2_refseqV205-0.35,0.825012698,0.748309643,0.136,0.442154822,0.64882163,0.85,0.749410815,0.695023427,0.234482759,7210903,37.93002065,7.713844148,0.304976573,0.302328969,0.55716209,1.680778854,125.2,0.66546819,0.241290684,0.018065301,125,0.464753093
strain_sample_13-kraken2_refseqV205-0.40,0.762878198,0.779532856,0.161904762,0.470718809,0.624989863,0.85,0.737494931,0.693758992,0.272,6987551,36.57211883,8.179255345,0.306241008,0.302358408,0.555298649,1.66494871,106,0.666866149,0.247972569,0.021416192,105,0.482879496
strain_sample_13-kraken2_refseqV205-0.45,0.693404918,0.817817951,0.175824176,0.496821063,0.595973435,0.8,0.697986717,0.689490371,0.288288288,6797842,36.66232843,8.577963047,0.310509629,0.305761906,0.549120469,1.634728907,91,0.671482186,0.251195527,0.024372388,91,0.488889329
strain_sample_13-kraken2_refseqV205-0.50,0.630846875,0.85904001,0.213333333,0.536186671,0.56953536,0.8,0.68476768,0.684953236,0.336842105,6634865,36.30554385,8.82859559,0.315046764,0.309754053,0.545652115,1.624327604,75,0.674059266,0.26077619,0.029346089,75,0.510897671
strain_sample_13-kraken2_refseqV205-0.55,0.551511666,0.924722591,0.23880597,0.581764281,0.53598115,0.8,0.667990575,0.678623411,0.367816092,6428834,35.54383796,9.183672829,0.321376589,0.315652966,0.539047354,1.598624306,67,0.67894104,0.263534586,0.032379407,67,0.523219751
strain_sample_13-kraken2_refseqV205-0.60,0.470124411,0.991792022,0.271186441,0.631489231,0.49002333,0.8,0.645011665,0.655953832,0.405063291,6509648,34.61927065,9.546057092,0.344046168,0.324111489,0.530191664,1.568071015,59,0.685432014,0.266558926,0.036076739,59,0.530508562
strain_sample_13-kraken2_refseqV205-0.65,0.389032065,0.992278989,0.288461538,0.640370264,0.405697694,0.75,0.577848847,0.575925625,0.416666667,7566159,34.65413061,9.524803352,0.424074375,0.329649084,0.524039273,1.542391734,52,0.689905866,0.270574168,0.040404109,52,0.496296146
strain_sample_13-kraken2_refseqV205-0.70,0.310261504,0.992860568,0.326086957,0.659473762,0.32374234,0.75,0.53687117,0.48827327,0.454545455,8593537,33.51204928,10.22832723,0.51172673,0.341628435,0.511510569,1.504396272,46,0.698927806,0.272359808,0.044502765,46,0.471409362
strain_sample_13-kraken2_refseqV205-0.75,0.245566963,0.993904152,0.325581395,0.659742774,0.256506154,0.7,0.478253077,0.4077742,0.444444444,9435451,33.70420845,10.73517836,0.5922258,0.349697697,0.501872845,1.473243428,43,0.705790307,0.271502312,0.046686501,43,0.426109322
strain_sample_13-kraken2_refseqV205-0.80,0.17220884,0.994071437,0.361111111,0.677591274,0.179910446,0.65,0.414955223,0.304679039,0.464285714,10399116,33.56655067,12.19043632,0.695320961,0.36278739,0.486393778,1.421204995,36,0.7166742,0.274898571,0.054083803,36,0.384482376
strain_sample_13-kraken2_refseqV205-0.85,0.115953148,0.994497288,0.413793103,0.704145196,0.121190755,0.6,0.360595378,0.216053005,0.489795918,11137640,32.2736647,13.16813487,0.783946995,0.367583133,0.481101372,1.403781926,29,0.720359256,0.288964063,0.066453748,29,0.352924462
strain_sample_13-kraken2_refseqV205-0.90,0.077176922,0.994667822,0.5,0.747333911,0.080676838,0.6,0.340338419,0.14924825,0.545454545,11647689,29.98969767,14.69227139,0.85075175,0.376854086,0.470675226,1.369667217,24,0.727563386,0.298730299,0.078716638,24,0.347351398
strain_sample_13-kraken2_refseqV205-0.95,0.047259782,0.994624699,0.611111111,0.802867905,0.049400836,0.55,0.299700418,0.094126609,0.578947368,12041669,27.98801322,14.8299753,0.905873391,0.393580012,0.454756252,1.345284565,18,0.73842618,0.32261601,0.101891229,18,0.336536989
strain_sample_13-kraken2_refseqV205-1.00,0.026909061,0.997336215,0.692307692,0.844821954,0.02820483,0.45,0.239102415,0.054858259,0.545454545,12307666,25.15734529,13.35411753,0.945141741,0.480815691,0.333998976,0.997488673,13,0.816116203,0.269559498,0.115499938,13,0.300156402
strain_sample_14-kraken2_refseqV205-0.00,0.998700655,0.608558257,0.000715092,0.304636675,0.632822642,0.95,0.791411321,0.62045331,0.001429109,9896226,243.3500177,8.746371623,0.37954669,0.375750268,0.848011115,4.234668595,28975.06314,0.390638371,0.288121486,0.000247626,26570,0.310941209
strain_sample_14-kraken2_refseqV205-0.05,0.99610933,0.608770742,0.003059581,0.305915161,0.631401042,0.95,0.790700521,0.619879416,0.006099518,9898080,162.3943208,8.89189916,0.380120584,0.376561575,0.819965335,3.522983126,8770.109639,0.424503735,0.279593457,0.000894442,6210,0.312989467
strain_sample_14-kraken2_refseqV205-0.10,0.98756317,0.614374973,0.007271336,0.310823154,0.631746604,0.95,0.790873302,0.622939703,0.014432207,9775505,118.7248404,9.322920051,0.377060297,0.374371875,0.804503767,3.269308126,3296.437037,0.442237446,0.288006924,0.001957592,2613,0.318685955
strain_sample_14-kraken2_refseqV205-0.15,0.971391804,0.612746206,0.011882427,0.312314316,0.619754345,0.95,0.784877173,0.616230351,0.023471279,9866852,98.87889159,9.835639997,0.383769649,0.38267657,0.794405365,3.10275645,1984.324675,0.453481499,0.291531504,0.003041864,1599,0.319850815
strain_sample_14-kraken2_refseqV205-0.20,0.945831766,0.659056829,0.020856202,0.339956516,0.649054665,0.95,0.799527332,0.654017507,0.040816327,8777635,79.04350959,10.50079131,0.345982493,0.347180975,0.773375018,2.829967711,1127.901408,0.476085865,0.287852637,0.004843662,911,0.347416917
strain_sample_14-kraken2_refseqV205-0.25,0.916411714,0.699719757,0.044917258,0.372318507,0.667666035,0.95,0.808833017,0.6833172,0.085778781,7910299,58.37470692,11.50585575,0.3166828,0.319713171,0.763138394,2.708186835,498.1363636,0.486701138,0.310411202,0.009980791,423,0.384547991
strain_sample_14-kraken2_refseqV205-0.30,0.8714256,0.741528386,0.142857143,0.442192764,0.672825759,0.9,0.786412879,0.705508448,0.246575342,7179674,42.9355536,8.713709418,0.294491552,0.287101535,0.741436225,2.499512398,128.1428571,0.508497147,0.358235935,0.030694586,126,0.476041895
strain_sample_14-kraken2_refseqV205-0.35,0.81651892,0.757400549,0.18,0.468700275,0.643926626,0.9,0.771963313,0.696069253,0.3,7187702,41.62927269,9.12399818,0.303930747,0.281991908,0.740838016,2.49667927,100.75,0.509084184,0.375787675,0.038585906,100,0.498034627
strain_sample_14-kraken2_refseqV205-0.40,0.753052103,0.778973645,0.204545455,0.49175955,0.610790545,0.9,0.755395273,0.684705709,0.333333333,7190117,41.07304996,9.84060399,0.315294291,0.28446403,0.741889487,2.505447719,88,0.508050189,0.387874331,0.044026244,88,0.509019521
strain_sample_14-kraken2_refseqV205-0.45,0.682510761,0.803343804,0.233766234,0.518555019,0.570893984,0.9,0.735446992,0.667459662,0.371134021,7271203,40.21395215,10.22023205,0.332540338,0.291500429,0.737052094,2.470472845,77,0.512788754,0.394216849,0.049390061,77,0.519296841
strain_sample_14-kraken2_refseqV205-0.50,0.619489883,0.829160239,0.264705882,0.546933061,0.534831775,0.9,0.717415888,0.650240233,0.409090909,7354357,40.05415498,11.4064017,0.349759767,0.302438361,0.732307265,2.448394779,68,0.517394517,0.402202829,0.05493568,68,0.529665571
strain_sample_14-kraken2_refseqV205-0.55,0.539974174,0.873936725,0.315789474,0.5948631,0.491357392,0.9,0.695678696,0.629044342,0.467532468,7407467,39.16308888,11.76125415,0.370955658,0.311645702,0.725980843,2.412270214,57,0.523472471,0.413563467,0.064024208,57,0.548288405
strain_sample_14-kraken2_refseqV205-0.60,0.458635941,0.931599703,0.326923077,0.62926139,0.444879037,0.85,0.647439519,0.602187548,0.472222222,7513115,39.45207502,12.11350653,0.397812452,0.317672774,0.721914565,2.391033585,52,0.527342471,0.419447219,0.069154176,52,0.537204885
strain_sample_14-kraken2_refseqV205-0.65,0.378167645,0.932627994,0.346938776,0.639783385,0.367229306,0.85,0.608614653,0.526962969,0.492753623,8427211,39.20799254,12.64155712,0.473037031,0.328299195,0.71451049,2.352594669,49,0.53431728,0.419005565,0.07148481,49,0.509858296
strain_sample_14-kraken2_refseqV205-0.70,0.300314418,0.933873337,0.333333333,0.633603335,0.292017363,0.8,0.546008681,0.444912795,0.470588235,9313791,40.8073128,10.37718391,0.555087205,0.338682006,0.707097715,2.317922313,48,0.541210841,0.415029163,0.071127247,48,0.457750515
strain_sample_14-kraken2_refseqV205-0.75,0.236811086,0.93802501,0.372093023,0.655059017,0.231292187,0.8,0.515646093,0.371084692,0.507936508,10021012,39.65979579,11.25107503,0.628915308,0.346972741,0.696154808,2.257187479,43,0.551228891,0.415974447,0.076538364,43,0.4395106
strain_sample_14-kraken2_refseqV205-0.80,0.16559644,0.941272983,0.41025641,0.675764697,0.162297229,0.8,0.481148614,0.276857775,0.542372881,10837013,38.74236999,12.81688295,0.723142225,0.352180578,0.690388359,2.231567817,39,0.556437164,0.422213433,0.082816736,39,0.409615328
strain_sample_14-kraken2_refseqV205-0.85,0.111017883,0.945481642,0.466666667,0.706074154,0.109292549,0.7,0.404646275,0.195935964,0.56,11465646,38.63892907,9.658389591,0.804064036,0.354541303,0.689640804,2.216905248,30,0.557109845,0.451794309,0.107402435,30,0.377967982
