Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
mouse_sample_35-kraken2_refseqV208_nt-0.80,0.056243764,0.992311244,0.243243243,0.617777244,0.055810917,0.571428571,0.313619744,0.105678141,0.341232227,31352575,73.54345269,27.21191827,0.894321859,0.547335017,0.83310374,3.330533629,170.6666667,0.40856156,0.461967567,0.04048477,148,0.223455184
mouse_sample_35-kraken2_refseqV208_nt-0.85,0.036775081,0.99285503,0.268656716,0.630755873,0.036512062,0.571428571,0.303970317,0.070433928,0.365482234,31987484,71.21612383,29.34266827,0.929566072,0.552487239,0.83106309,3.313186544,141.0909091,0.411064147,0.468885469,0.044174399,134,0.217958081
mouse_sample_35-kraken2_refseqV208_nt-0.90,0.023919068,0.993530533,0.302521008,0.648025771,0.023764153,0.571428571,0.297596362,0.046418038,0.395604396,32407010,68.23875181,31.70488971,0.953581962,0.556093824,0.828912309,3.293886152,126.5833333,0.413688967,0.477733606,0.049117276,119,0.221011217
mouse_sample_35-kraken2_refseqV208_nt-0.95,0.014290977,0.99435195,0.330188679,0.662270315,0.014210159,0.555555556,0.284882857,0.028019889,0.414201183,32721656,66.21073354,32.51211845,0.971980111,0.55623906,0.828539192,3.27939249,115.5454545,0.414169947,0.48743033,0.0550211,106,0.221110536
mouse_sample_35-kraken2_refseqV208_nt-1.00,0.0080003,0.994309559,0.407407407,0.700858483,0.007954717,0.523809524,0.26588212,0.015783165,0.458333333,32928110,61.66898535,33.05744142,0.984216835,0.540579018,0.840366497,3.327660458,85.58333333,0.399662027,0.524879998,0.077337644,81,0.237058249
mouse_sample_36-kraken2_refseqV208_nt-0.00,0.574772944,0.447758435,0.00331785,0.225538143,0.257356943,0.518134715,0.387745829,0.326850742,0.006593479,35270861,433.3525682,47.48034346,0.673149258,0.705863264,0.97877425,8.129744606,42634.69264,0.145920563,0.546376137,0.001563125,30140,0.16672211
mouse_sample_36-kraken2_refseqV208_nt-0.05,0.403220345,0.62903255,0.014184397,0.321608474,0.253636267,0.497409326,0.375522797,0.361506977,0.027582244,29810489,216.0715988,45.07528654,0.638493023,0.701990551,0.955328132,5.629693358,7719.06192,0.211463865,0.442428954,0.003307543,6768,0.194544611
mouse_sample_36-kraken2_refseqV208_nt-0.10,0.354208786,0.691743877,0.055180871,0.373462374,0.245019388,0.466321244,0.355670316,0.361864449,0.098684211,28753171,167.0557696,38.87382771,0.638135551,0.705585778,0.947423508,5.121038968,1894.816327,0.229327361,0.479878111,0.0116615,1631,0.23027433
mouse_sample_36-kraken2_refseqV208_nt-0.15,0.330435866,0.718604747,0.094680851,0.406642799,0.237450484,0.461139896,0.34929519,0.356952275,0.157105031,28465865,156.9213241,38.64222972,0.643047725,0.709341864,0.944582482,4.991728913,1025.621951,0.235429363,0.505413896,0.019196634,940,0.257028653
mouse_sample_36-kraken2_refseqV208_nt-0.20,0.309453248,0.742576497,0.122733612,0.432655055,0.229790485,0.455958549,0.342874517,0.350972455,0.193406593,28277461,152.6549306,39.57967819,0.649027545,0.71198276,0.942869207,4.921486673,798.2222222,0.239037108,0.518825135,0.024412407,717,0.272189524
mouse_sample_36-kraken2_refseqV208_nt-0.25,0.291339854,0.765456707,0.137318255,0.451387481,0.223005887,0.440414508,0.331710198,0.345387581,0.209359606,28126269,150.2510253,37.74298366,0.654612419,0.714026774,0.941771134,4.875701118,697.5517241,0.241321967,0.525750332,0.027744124,619,0.277373593
mouse_sample_36-kraken2_refseqV208_nt-0.30,0.268234244,0.799298718,0.160680529,0.479989624,0.214397213,0.440414508,0.32740586,0.338104183,0.235457064,27930358,147.2846914,38.42172841,0.661895817,0.716108931,0.940682396,4.833368743,559,0.243566465,0.534243677,0.031868434,529,0.286780623
