Sample name	Shannon diversity
strain_sample_70-kraken2_refseqV205_500GB-0.50	1.6534276466902231
strain_sample_70-kraken2_refseqV205_500GB-0.65	1.5159660013912963
strain_sample_70-kraken2_refseqV205_500GB-0.90	nan
strain_sample_70-kraken2_refseqV205_500GB-0.95	nan
strain_sample_70-kraken2_refseqV205_500GB-1.00	nan
marine_sample_9-kraken2_refseqV205_500GB-0.40	6.528104472464747
marine_sample_9-kraken2_refseqV205_500GB-0.35	6.583211405545795
marine_sample_9-kraken2_refseqV205_500GB-0.30	6.643547189317849
marine_sample_9-kraken2_refseqV205_500GB-0.25	6.703323117394515
marine_sample_9-kraken2_refseqV205_500GB-0.20	6.726031492323976
marine_sample_9-kraken2_refseqV205_500GB-0.15	6.808750488593678
marine_sample_9-kraken2_refseqV205_500GB-0.10	6.9223776507167765
marine_sample_9-kraken2_refseqV205_500GB-0.05	7.107233557782999
marine_sample_9-kraken2_refseqV205_500GB-0.00	7.559901311327106
marine_sample_9-kraken2_refseqV205_500GB-0.70	5.236116283376741
marine_sample_9-kraken2_refseqV205_500GB-0.45	6.480324050905541
marine_sample_9-kraken2_refseqV205_500GB-0.60	6.224064351843411
marine_sample_9-kraken2_refseqV205_500GB-0.50	6.432594510224721
marine_sample_9-kraken2_refseqV205_500GB-0.55	6.348578162586506
marine_sample_9-kraken2_refseqV205_500GB-0.65	5.870254533079006
marine_sample_9-kraken2_refseqV205_500GB-0.75	4.1176865848317865
marine_sample_9-kraken2_refseqV205_500GB-0.85	nan
marine_sample_9-kraken2_refseqV205_500GB-0.95	nan
marine_sample_9-kraken2_refseqV205_500GB-0.90	nan
marine_sample_9-kraken2_refseqV205_500GB-1.00	nan
marine_sample_9-kraken2_refseqV205_500GB-0.80	2.103909910282364
strain_sample_94-kraken2_refseqV205_500GB-0.20	1.7386822635013146
strain_sample_94-kraken2_refseqV205_500GB-0.45	1.4572242017717427
strain_sample_94-kraken2_refseqV205_500GB-0.40	1.4683899698621583
strain_sample_94-kraken2_refseqV205_500GB-0.25	1.6319467190702786
strain_sample_94-kraken2_refseqV205_500GB-0.35	1.5240313560658703
strain_sample_94-kraken2_refseqV205_500GB-0.30	1.5703221190699737
strain_sample_94-kraken2_refseqV205_500GB-0.55	1.4457278590238944
strain_sample_94-kraken2_refseqV205_500GB-0.50	1.4813117047538291
strain_sample_94-kraken2_refseqV205_500GB-0.15	2.211003137991891
strain_sample_94-kraken2_refseqV205_500GB-0.10	2.4466950346863854
strain_sample_94-kraken2_refseqV205_500GB-0.05	2.6991975624471674
strain_sample_94-kraken2_refseqV205_500GB-0.00	3.609816878815374
strain_sample_94-kraken2_refseqV205_500GB-1.00	nan
strain_sample_94-kraken2_refseqV205_500GB-0.90	nan
strain_sample_94-kraken2_refseqV205_500GB-0.75	-0.0
strain_sample_94-kraken2_refseqV205_500GB-0.70	0.4415037378058682
strain_sample_94-kraken2_refseqV205_500GB-0.85	nan
strain_sample_94-kraken2_refseqV205_500GB-0.95	nan
strain_sample_94-kraken2_refseqV205_500GB-0.80	nan
strain_sample_94-kraken2_refseqV205_500GB-0.60	1.4293323082473584
strain_sample_55-kraken2_refseqV205_500GB-0.10	2.8778970919298086
strain_sample_55-kraken2_refseqV205_500GB-0.05	3.0890407715323085
strain_sample_94-kraken2_refseqV205_500GB-0.65	0.7945712754430738
strain_sample_55-kraken2_refseqV205_500GB-0.00	3.81958931314842
strain_sample_55-kraken2_refseqV205_500GB-0.65	1.0806068981113812
strain_sample_55-kraken2_refseqV205_500GB-0.50	1.9687655230198828
strain_sample_55-kraken2_refseqV205_500GB-0.45	1.97968414449738
