Sample name	Simpson's evenness
mouse_sample_31-kraken2_refseqV205_100GB-0.45	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.55	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.50	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.60	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.75	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.65	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.70	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.85	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.35	0.7874186550976138
strain_sample_34-kraken2_refseqV205_100GB-0.30	0.924295364546937
strain_sample_34-kraken2_refseqV205_100GB-0.35	nan
strain_sample_34-kraken2_refseqV205_100GB-0.20	0.25246452594273755
mouse_sample_31-kraken2_refseqV205_100GB-0.90	nan
strain_sample_34-kraken2_refseqV205_100GB-0.15	0.11717378219794315
strain_sample_34-kraken2_refseqV205_100GB-0.40	nan
strain_sample_34-kraken2_refseqV205_100GB-0.25	0.4447188638723156
mouse_sample_31-kraken2_refseqV205_100GB-1.00	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.95	nan
strain_sample_34-kraken2_refseqV205_100GB-0.10	0.028298740311682086
strain_sample_34-kraken2_refseqV205_100GB-0.05	0.0037912358162327277
strain_sample_34-kraken2_refseqV205_100GB-0.00	0.0010966204661257025
strain_sample_34-kraken2_refseqV205_100GB-0.60	nan
strain_sample_34-kraken2_refseqV205_100GB-0.70	nan
strain_sample_34-kraken2_refseqV205_100GB-0.75	nan
strain_sample_34-kraken2_refseqV205_100GB-0.50	nan
strain_sample_34-kraken2_refseqV205_100GB-0.45	nan
strain_sample_34-kraken2_refseqV205_100GB-0.55	nan
strain_sample_34-kraken2_refseqV205_100GB-0.65	nan
strain_sample_34-kraken2_refseqV205_100GB-0.80	nan
strain_sample_34-kraken2_refseqV205_100GB-0.85	nan
strain_sample_34-kraken2_refseqV205_100GB-0.90	nan
strain_sample_34-kraken2_refseqV205_100GB-1.00	nan
strain_sample_34-kraken2_refseqV205_100GB-0.95	nan
strain_sample_35-kraken2_refseqV205_100GB-0.00	nan
strain_sample_35-kraken2_refseqV205_100GB-0.30	0.8999999999999999
strain_sample_35-kraken2_refseqV205_100GB-0.25	0.33796426935461304
strain_sample_35-kraken2_refseqV205_100GB-0.15	0.08448356371479636
strain_sample_35-kraken2_refseqV205_100GB-0.40	nan
strain_sample_35-kraken2_refseqV205_100GB-0.55	nan
strain_sample_35-kraken2_refseqV205_100GB-0.35	nan
strain_sample_35-kraken2_refseqV205_100GB-0.10	0.030839293376908772
strain_sample_35-kraken2_refseqV205_100GB-0.05	0.0041104636743826365
strain_sample_35-kraken2_refseqV205_100GB-0.20	0.1730687307742286
strain_sample_35-kraken2_refseqV205_100GB-0.50	nan
strain_sample_35-kraken2_refseqV205_100GB-0.45	nan
strain_sample_35-kraken2_refseqV205_100GB-0.70	nan
strain_sample_35-kraken2_refseqV205_100GB-0.75	nan
strain_sample_35-kraken2_refseqV205_100GB-0.90	nan
strain_sample_35-kraken2_refseqV205_100GB-0.85	nan
strain_sample_35-kraken2_refseqV205_100GB-0.60	nan
strain_sample_35-kraken2_refseqV205_100GB-0.80	nan
strain_sample_35-kraken2_refseqV205_100GB-1.00	nan
strain_sample_35-kraken2_refseqV205_100GB-0.65	nan
strain_sample_35-kraken2_refseqV205_100GB-0.95	nan
mouse_sample_2-kraken2_refseqV205_100GB-0.10	0.03665663637316203
mouse_sample_2-kraken2_refseqV205_100GB-0.05	0.007163779102375608
mouse_sample_2-kraken2_refseqV205_100GB-0.00	0.0015690506934877549
mouse_sample_2-kraken2_refseqV205_100GB-0.15	0.07315880970056263
mouse_sample_2-kraken2_refseqV205_100GB-0.20	0.08221699236624129
mouse_sample_2-kraken2_refseqV205_100GB-0.30	0.2970768157050564
mouse_sample_2-kraken2_refseqV205_100GB-0.35	0.5262390670553936
mouse_sample_2-kraken2_refseqV205_100GB-0.25	0.10678817538373953
mouse_sample_2-kraken2_refseqV205_100GB-0.70	nan
mouse_sample_2-kraken2_refseqV205_100GB-0.65	nan
mouse_sample_2-kraken2_refseqV205_100GB-0.60	nan
mouse_sample_2-kraken2_refseqV205_100GB-0.55	nan
mouse_sample_2-kraken2_refseqV205_100GB-0.50	nan
mouse_sample_2-kraken2_refseqV205_100GB-0.45	nan
mouse_sample_2-kraken2_refseqV205_100GB-0.40	nan
mouse_sample_2-kraken2_refseqV205_100GB-0.95	nan
mouse_sample_2-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_2-kraken2_refseqV205_100GB-0.75	nan
mouse_sample_2-kraken2_refseqV205_100GB-0.85	nan
strain_sample_47-kraken2_refseqV205_100GB-0.25	0.28911228449357457
mouse_sample_2-kraken2_refseqV205_100GB-0.80	nan
mouse_sample_2-kraken2_refseqV205_100GB-1.00	nan
strain_sample_47-kraken2_refseqV205_100GB-0.20	0.13346835931906859
strain_sample_47-kraken2_refseqV205_100GB-0.15	0.08381075403669125
strain_sample_47-kraken2_refseqV205_100GB-0.10	0.02485149293315876
strain_sample_47-kraken2_refseqV205_100GB-0.05	0.0036018500826464663
strain_sample_47-kraken2_refseqV205_100GB-0.00	0.0013064609112952103
strain_sample_47-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_47-kraken2_refseqV205_100GB-0.45	nan
strain_sample_47-kraken2_refseqV205_100GB-0.55	nan
strain_sample_47-kraken2_refseqV205_100GB-0.80	nan
strain_sample_47-kraken2_refseqV205_100GB-0.70	nan
strain_sample_47-kraken2_refseqV205_100GB-0.50	nan
strain_sample_47-kraken2_refseqV205_100GB-0.40	nan
strain_sample_47-kraken2_refseqV205_100GB-0.85	nan
strain_sample_47-kraken2_refseqV205_100GB-0.75	nan
strain_sample_47-kraken2_refseqV205_100GB-0.35	nan
