Sample name	Number of taxa
strain_sample_55-kraken2_standard_0521-0.60	81
strain_sample_55-kraken2_standard_0521-0.65	74
strain_sample_55-kraken2_standard_0521-0.50	100
strain_sample_55-kraken2_standard_0521-0.95	31
strain_sample_55-kraken2_standard_0521-0.80	51
strain_sample_55-kraken2_standard_0521-0.45	111
strain_sample_55-kraken2_standard_0521-0.55	87
strain_sample_55-kraken2_standard_0521-0.75	60
strain_sample_55-kraken2_standard_0521-0.70	64
strain_sample_5-kraken2_standard_0521-0.50	101
strain_sample_5-kraken2_standard_0521-0.45	107
strain_sample_5-kraken2_standard_0521-0.30	168
strain_sample_5-kraken2_standard_0521-0.40	125
strain_sample_5-kraken2_standard_0521-0.35	143
strain_sample_5-kraken2_standard_0521-0.55	96
strain_sample_5-kraken2_standard_0521-0.25	251
strain_sample_5-kraken2_standard_0521-0.15	610
strain_sample_5-kraken2_standard_0521-0.20	398
strain_sample_5-kraken2_standard_0521-0.10	884
strain_sample_5-kraken2_standard_0521-0.05	1511
strain_sample_5-kraken2_standard_0521-0.00	4402
strain_sample_5-kraken2_standard_0521-0.65	81
strain_sample_5-kraken2_standard_0521-0.75	67
strain_sample_5-kraken2_standard_0521-0.90	41
strain_sample_5-kraken2_standard_0521-0.85	52
strain_sample_5-kraken2_standard_0521-1.00	28
strain_sample_5-kraken2_standard_0521-0.95	33
strain_sample_5-kraken2_standard_0521-0.70	73
strain_sample_5-kraken2_standard_0521-0.80	59
strain_sample_5-kraken2_standard_0521-0.60	92
strain_sample_69-kraken2_standard_0521-0.10	918
strain_sample_69-kraken2_standard_0521-0.05	1685
strain_sample_69-kraken2_standard_0521-0.00	5038
strain_sample_69-kraken2_standard_0521-0.25	254
strain_sample_69-kraken2_standard_0521-0.50	112
strain_sample_69-kraken2_standard_0521-0.55	102
strain_sample_69-kraken2_standard_0521-0.40	141
strain_sample_69-kraken2_standard_0521-0.45	126
strain_sample_69-kraken2_standard_0521-0.35	157
strain_sample_69-kraken2_standard_0521-0.30	188
strain_sample_69-kraken2_standard_0521-0.65	84
strain_sample_69-kraken2_standard_0521-0.20	387
