Sample name	Bray-Curtis dissimilarity relative abundance
strain_sample_10-kraken2_refseqV208_nt-0.30	0.21572067219249513
strain_sample_10-kraken2_refseqV208_nt-0.40	0.24320812788667798
strain_sample_10-kraken2_refseqV208_nt-0.55	0.28057412298102385
strain_sample_10-kraken2_refseqV208_nt-0.65	0.30490387752579534
strain_sample_10-kraken2_refseqV208_nt-0.85	0.343239861434765
strain_sample_10-kraken2_refseqV208_nt-0.60	0.2927871398372693
strain_sample_10-kraken2_refseqV208_nt-0.80	0.33487563389621966
strain_sample_10-kraken2_refseqV208_nt-0.70	0.3158197850645806
strain_sample_10-kraken2_refseqV208_nt-0.75	0.3265771342819101
strain_sample_10-kraken2_refseqV208_nt-1.00	0.42121046107606497
strain_sample_10-kraken2_refseqV208_nt-0.95	0.37311775280907966
strain_sample_10-kraken2_refseqV208_nt-0.90	0.3572901245099277
strain_sample_77-kraken2_refseqV208_nt-0.10	0.147586897422674
strain_sample_77-kraken2_refseqV208_nt-0.05	0.14100737264706098
strain_sample_77-kraken2_refseqV208_nt-0.00	0.16056497361853195
strain_sample_77-kraken2_refseqV208_nt-0.35	0.309239030633335
strain_sample_77-kraken2_refseqV208_nt-0.30	0.2737987365970678
strain_sample_77-kraken2_refseqV208_nt-0.25	0.22773728422779507
strain_sample_77-kraken2_refseqV208_nt-0.20	0.19200394283828787
strain_sample_77-kraken2_refseqV208_nt-0.40	0.34240845636125655
strain_sample_77-kraken2_refseqV208_nt-0.15	0.16535200084397364
strain_sample_77-kraken2_refseqV208_nt-0.45	0.3753803990073736
strain_sample_77-kraken2_refseqV208_nt-0.55	0.4259026841517835
strain_sample_77-kraken2_refseqV208_nt-0.60	0.4492853389849158
strain_sample_77-kraken2_refseqV208_nt-0.65	0.4712317429168384
strain_sample_77-kraken2_refseqV208_nt-0.50	0.399558922498825
strain_sample_77-kraken2_refseqV208_nt-0.70	0.49081187657826136
strain_sample_77-kraken2_refseqV208_nt-0.90	0.5577559791182826
strain_sample_77-kraken2_refseqV208_nt-1.00	0.6095850945144344
strain_sample_77-kraken2_refseqV208_nt-0.80	0.5215626895100053
strain_sample_77-kraken2_refseqV208_nt-0.75	0.5067838046841877
strain_sample_77-kraken2_refseqV208_nt-0.95	0.5788087025410401
strain_sample_77-kraken2_refseqV208_nt-0.85	0.5352304085120438
strain_sample_39-kraken2_refseqV208_nt-0.20	0.08706400355962841
strain_sample_39-kraken2_refseqV208_nt-0.25	0.09213111682419486
strain_sample_39-kraken2_refseqV208_nt-0.15	0.08099521729941891
strain_sample_39-kraken2_refseqV208_nt-0.10	0.07712071949728495
strain_sample_39-kraken2_refseqV208_nt-0.05	0.07445512597774911
strain_sample_39-kraken2_refseqV208_nt-0.00	0.11496575803702898
strain_sample_39-kraken2_refseqV208_nt-0.45	0.12177367069637807
strain_sample_39-kraken2_refseqV208_nt-0.30	0.0987059410153746
strain_sample_39-kraken2_refseqV208_nt-0.40	0.11338485236090413
strain_sample_39-kraken2_refseqV208_nt-0.50	0.12980970176404782
strain_sample_39-kraken2_refseqV208_nt-0.55	0.13870044685717128
strain_sample_39-kraken2_refseqV208_nt-0.35	0.1058013396525713
strain_sample_39-kraken2_refseqV208_nt-0.85	0.19490721140341535
strain_sample_39-kraken2_refseqV208_nt-0.60	0.14855411053979756
strain_sample_39-kraken2_refseqV208_nt-0.80	0.18778194329904582
strain_sample_39-kraken2_refseqV208_nt-0.70	0.1693393551167598
strain_sample_39-kraken2_refseqV208_nt-0.65	0.1582771931419994
strain_sample_39-kraken2_refseqV208_nt-0.75	0.17770118617774158
strain_sample_39-kraken2_refseqV208_nt-1.00	0.26661208419666593
strain_sample_39-kraken2_refseqV208_nt-0.95	0.2218150587168117
strain_sample_39-kraken2_refseqV208_nt-0.90	0.20469878661024052
strain_sample_93-kraken2_refseqV208_nt-0.10	0.18470504554226475
strain_sample_93-kraken2_refseqV208_nt-0.05	0.18450803425249965
strain_sample_93-kraken2_refseqV208_nt-0.00	0.19552227009256598
strain_sample_93-kraken2_refseqV208_nt-0.30	0.20565526082262417
strain_sample_93-kraken2_refseqV208_nt-0.35	0.21061614488668487
strain_sample_93-kraken2_refseqV208_nt-0.40	0.21636217330868565
strain_sample_93-kraken2_refseqV208_nt-0.25	0.1980842246655436
strain_sample_93-kraken2_refseqV208_nt-0.20	0.1926597448161527
strain_sample_93-kraken2_refseqV208_nt-0.15	0.18801156961745874
strain_sample_93-kraken2_refseqV208_nt-0.70	0.2658967646497112
strain_sample_93-kraken2_refseqV208_nt-0.45	0.22370587842571865
strain_sample_93-kraken2_refseqV208_nt-0.65	0.25636871609851974
strain_sample_93-kraken2_refseqV208_nt-0.50	0.23062806770750144
strain_sample_93-kraken2_refseqV208_nt-0.55	0.23898551675144486
strain_sample_93-kraken2_refseqV208_nt-0.60	0.24759927327894884
strain_sample_93-kraken2_refseqV208_nt-0.80	0.28571923034091595
strain_sample_93-kraken2_refseqV208_nt-0.90	0.304855645882395
strain_sample_93-kraken2_refseqV208_nt-0.75	0.2756338691220504
strain_sample_93-kraken2_refseqV208_nt-1.00	0.377232773684673
strain_sample_93-kraken2_refseqV208_nt-0.95	0.3265522090870001
strain_sample_93-kraken2_refseqV208_nt-0.85	0.2920123087971639
plant_sample_10-kraken2_refseqV208_nt-0.25	0.5764422972289435
plant_sample_10-kraken2_refseqV208_nt-0.20	0.5733092077130876
plant_sample_10-kraken2_refseqV208_nt-0.15	0.5709911426241991
plant_sample_10-kraken2_refseqV208_nt-0.10	0.5762773539386443
plant_sample_10-kraken2_refseqV208_nt-0.05	0.5874190665080877
plant_sample_10-kraken2_refseqV208_nt-0.00	0.6106726677261815
plant_sample_10-kraken2_refseqV208_nt-0.35	0.5870816834684499
plant_sample_10-kraken2_refseqV208_nt-0.55	0.627006208823826
plant_sample_10-kraken2_refseqV208_nt-0.30	0.5809957871801082
plant_sample_10-kraken2_refseqV208_nt-0.45	0.6054375427712055
plant_sample_10-kraken2_refseqV208_nt-0.40	0.5958825434928577
plant_sample_10-kraken2_refseqV208_nt-0.50	0.6152887423415503
plant_sample_10-kraken2_refseqV208_nt-0.80	0.6666986206071567
plant_sample_10-kraken2_refseqV208_nt-0.85	0.6716956248124739
plant_sample_10-kraken2_refseqV208_nt-0.70	0.653885110314618
plant_sample_10-kraken2_refseqV208_nt-0.65	0.6454331758481495
plant_sample_10-kraken2_refseqV208_nt-0.75	0.6603991192031105
plant_sample_10-kraken2_refseqV208_nt-0.60	0.6368300817612816
plant_sample_10-kraken2_refseqV208_nt-0.90	0.6773229639602529
plant_sample_10-kraken2_refseqV208_nt-1.00	0.6949728292967042
plant_sample_10-kraken2_refseqV208_nt-0.95	0.6831129226243791
strain_sample_61-kraken2_refseqV208_nt-0.10	0.349325396697462
strain_sample_61-kraken2_refseqV208_nt-0.05	0.34660331704030634
strain_sample_61-kraken2_refseqV208_nt-0.00	0.3569180414006739
strain_sample_61-kraken2_refseqV208_nt-0.40	0.4039218381748505
strain_sample_61-kraken2_refseqV208_nt-0.30	0.38700019624647847
strain_sample_61-kraken2_refseqV208_nt-0.35	0.39584411508621586
strain_sample_61-kraken2_refseqV208_nt-0.25	0.3758700456215222
strain_sample_61-kraken2_refseqV208_nt-0.15	0.35546614682907995
strain_sample_61-kraken2_refseqV208_nt-0.20	0.3658893976362397
strain_sample_61-kraken2_refseqV208_nt-0.60	0.4350162982826113
strain_sample_61-kraken2_refseqV208_nt-0.65	0.4438126118805898
strain_sample_61-kraken2_refseqV208_nt-0.55	0.4259957554863164
strain_sample_61-kraken2_refseqV208_nt-0.70	0.4517357554282795
strain_sample_61-kraken2_refseqV208_nt-0.45	0.41135973857037994
strain_sample_61-kraken2_refseqV208_nt-0.50	0.4171294206807561
strain_sample_61-kraken2_refseqV208_nt-0.90	0.47900851004933775
strain_sample_61-kraken2_refseqV208_nt-0.85	0.47118407149485964
strain_sample_61-kraken2_refseqV208_nt-0.95	0.4923640240395423
strain_sample_61-kraken2_refseqV208_nt-0.80	0.46470202265447347
strain_sample_61-kraken2_refseqV208_nt-0.75	0.4579801753069235
strain_sample_61-kraken2_refseqV208_nt-1.00	0.5224418241166274
strain_sample_13-kraken2_refseqV208_nt-0.25	0.11557458714502257
strain_sample_13-kraken2_refseqV208_nt-0.20	0.11194211617404073
strain_sample_13-kraken2_refseqV208_nt-0.15	0.1082676577801672
strain_sample_13-kraken2_refseqV208_nt-0.10	0.10473249437800437
strain_sample_13-kraken2_refseqV208_nt-0.05	0.10403982803215193
strain_sample_13-kraken2_refseqV208_nt-0.00	0.11326102236500231
strain_sample_13-kraken2_refseqV208_nt-0.40	0.1317711122104374
strain_sample_13-kraken2_refseqV208_nt-0.55	0.15301727313980468
strain_sample_13-kraken2_refseqV208_nt-0.50	0.1453137746528495
strain_sample_13-kraken2_refseqV208_nt-0.35	0.1266347913841274
strain_sample_13-kraken2_refseqV208_nt-0.45	0.13896434241933245
strain_sample_13-kraken2_refseqV208_nt-0.30	0.12203089082661128
strain_sample_13-kraken2_refseqV208_nt-0.75	0.18766966875100868
strain_sample_13-kraken2_refseqV208_nt-0.70	0.18004530359215945
strain_sample_13-kraken2_refseqV208_nt-0.80	0.19630428446305617
strain_sample_13-kraken2_refseqV208_nt-0.60	0.16095038587746727
strain_sample_13-kraken2_refseqV208_nt-0.85	0.20092730491184235
strain_sample_13-kraken2_refseqV208_nt-0.65	0.16974940131517224
strain_sample_13-kraken2_refseqV208_nt-0.95	0.22282640835177742
strain_sample_13-kraken2_refseqV208_nt-0.90	0.20732585040926557
strain_sample_13-kraken2_refseqV208_nt-1.00	0.2686473836983142
mouse_sample_10-kraken2_refseqV208_nt-0.10	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.05	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.00	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.30	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.20	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.35	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.15	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.40	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.25	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.60	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.55	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.70	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.50	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.45	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.65	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.95	1.0
mouse_sample_10-kraken2_refseqV208_nt-1.00	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.90	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.85	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.75	1.0
mouse_sample_10-kraken2_refseqV208_nt-0.80	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.25	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.20	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.10	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.15	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.05	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.00	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.40	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.45	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.35	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.55	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.30	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.50	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.75	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.80	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.60	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.65	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.85	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.70	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.95	1.0
mouse_sample_62-kraken2_refseqV208_nt-0.90	1.0
mouse_sample_62-kraken2_refseqV208_nt-1.00	1.0
strain_sample_85-kraken2_refseqV208_nt-0.10	0.16888956489353152
strain_sample_85-kraken2_refseqV208_nt-0.05	0.16496388429269304
strain_sample_85-kraken2_refseqV208_nt-0.00	0.18157649535216844
strain_sample_85-kraken2_refseqV208_nt-0.40	0.22587894157635005
strain_sample_85-kraken2_refseqV208_nt-0.35	0.21759863997094372
strain_sample_85-kraken2_refseqV208_nt-0.25	0.19594386969876407
strain_sample_85-kraken2_refseqV208_nt-0.20	0.1853305223672065
strain_sample_85-kraken2_refseqV208_nt-0.15	0.17495396070217217
strain_sample_85-kraken2_refseqV208_nt-0.30	0.20871572699694593
strain_sample_85-kraken2_refseqV208_nt-0.55	0.2441446428564337
strain_sample_85-kraken2_refseqV208_nt-0.60	0.2507048056300403
strain_sample_85-kraken2_refseqV208_nt-0.65	0.2574232174791084
strain_sample_85-kraken2_refseqV208_nt-0.50	0.23829417599518632
strain_sample_85-kraken2_refseqV208_nt-0.45	0.2329171468012524
strain_sample_85-kraken2_refseqV208_nt-0.70	0.26381240925491867
strain_sample_85-kraken2_refseqV208_nt-0.95	0.3041206772854082
strain_sample_85-kraken2_refseqV208_nt-0.80	0.2740499573888433
strain_sample_85-kraken2_refseqV208_nt-0.85	0.2781571604176307
strain_sample_85-kraken2_refseqV208_nt-0.90	0.29083252060990394
