Sample name	Number of taxa
plant_sample_13-kraken2_refseqV205-0.25	1511
plant_sample_13-kraken2_refseqV205-0.15	4191
plant_sample_13-kraken2_refseqV205-0.10	7032
plant_sample_13-kraken2_refseqV205-0.20	2389
plant_sample_13-kraken2_refseqV205-0.00	31651
plant_sample_13-kraken2_refseqV205-0.05	14129
plant_sample_13-kraken2_refseqV205-0.55	461
plant_sample_13-kraken2_refseqV205-0.50	539
plant_sample_13-kraken2_refseqV205-0.60	413
plant_sample_13-kraken2_refseqV205-0.65	354
plant_sample_13-kraken2_refseqV205-0.70	297
plant_sample_13-kraken2_refseqV205-0.85	187
plant_sample_13-kraken2_refseqV205-0.45	613
plant_sample_13-kraken2_refseqV205-0.40	731
plant_sample_13-kraken2_refseqV205-0.75	261
plant_sample_13-kraken2_refseqV205-0.35	843
plant_sample_13-kraken2_refseqV205-0.30	1029
plant_sample_13-kraken2_refseqV205-0.80	224
plant_sample_13-kraken2_refseqV205-1.00	99
plant_sample_13-kraken2_refseqV205-0.90	155
plant_sample_13-kraken2_refseqV205-0.95	130
mouse_sample_27-kraken2_refseqV205-0.30	375
mouse_sample_27-kraken2_refseqV205-0.20	842
mouse_sample_27-kraken2_refseqV205-0.25	560
mouse_sample_27-kraken2_refseqV205-0.35	337
mouse_sample_27-kraken2_refseqV205-0.40	313
mouse_sample_27-kraken2_refseqV205-0.10	1989
mouse_sample_27-kraken2_refseqV205-0.15	1298
mouse_sample_27-kraken2_refseqV205-0.05	4895
mouse_sample_27-kraken2_refseqV205-0.00	24354
mouse_sample_27-kraken2_refseqV205-0.55	258
mouse_sample_27-kraken2_refseqV205-0.50	272
mouse_sample_27-kraken2_refseqV205-0.85	203
mouse_sample_27-kraken2_refseqV205-0.65	237
mouse_sample_27-kraken2_refseqV205-0.75	213
mouse_sample_27-kraken2_refseqV205-0.95	182
mouse_sample_27-kraken2_refseqV205-0.90	192
mouse_sample_27-kraken2_refseqV205-1.00	168
mouse_sample_27-kraken2_refseqV205-0.70	223
mouse_sample_27-kraken2_refseqV205-0.80	208
mouse_sample_27-kraken2_refseqV205-0.60	242
mouse_sample_27-kraken2_refseqV205-0.45	293
strain_sample_97-kraken2_refseqV205-0.25	433
