Sample name	Proportion classified
plant_sample_9-kraken2_minikraken-0.50	1.572003733779903e-05
plant_sample_9-kraken2_minikraken-0.60	3.3126515462794885e-07
plant_sample_9-kraken2_minikraken-0.55	2.2285110402243834e-06
plant_sample_9-kraken2_minikraken-0.45	7.748593116888295e-05
plant_sample_9-kraken2_minikraken-0.65	3.011501405708626e-08
plant_sample_9-kraken2_minikraken-0.70	3.011501405708626e-08
plant_sample_9-kraken2_minikraken-0.75	0
plant_sample_9-kraken2_minikraken-0.90	0
plant_sample_9-kraken2_minikraken-0.80	0
plant_sample_9-kraken2_minikraken-0.85	0
plant_sample_9-kraken2_minikraken-1.00	0
plant_sample_9-kraken2_minikraken-0.95	0
strain_sample_70-kraken2_minikraken-0.20	0.1485826395563393
strain_sample_70-kraken2_minikraken-0.25	0.06765950234963415
strain_sample_70-kraken2_minikraken-0.15	0.31677661475089763
strain_sample_70-kraken2_minikraken-0.10	0.5554014691429939
strain_sample_70-kraken2_minikraken-0.05	0.8035373198710222
strain_sample_70-kraken2_minikraken-0.00	0.9462227735944903
strain_sample_70-kraken2_minikraken-0.40	0.0012293942185342315
strain_sample_70-kraken2_minikraken-0.35	0.005730336791663467
strain_sample_70-kraken2_minikraken-0.45	0.00021725683348615933
strain_sample_70-kraken2_minikraken-0.30	0.02188381807700057
strain_sample_70-kraken2_minikraken-0.50	3.883879077190331e-05
strain_sample_70-kraken2_minikraken-0.55	3.2303056154581092e-06
strain_sample_70-kraken2_minikraken-0.75	0
strain_sample_70-kraken2_minikraken-0.70	0
strain_sample_70-kraken2_minikraken-0.80	0
strain_sample_70-kraken2_minikraken-0.65	0
strain_sample_70-kraken2_minikraken-0.60	7.512338640600253e-08
strain_sample_70-kraken2_minikraken-0.85	0
strain_sample_70-kraken2_minikraken-0.90	0
strain_sample_70-kraken2_minikraken-0.95	0
strain_sample_70-kraken2_minikraken-1.00	0
strain_sample_94-kraken2_minikraken-0.10	0.5468617668362464
strain_sample_94-kraken2_minikraken-0.05	0.7918593727064395
strain_sample_94-kraken2_minikraken-0.00	0.9351413933850501
strain_sample_94-kraken2_minikraken-0.20	0.1461860017250956
strain_sample_94-kraken2_minikraken-0.40	0.0011853459123182073
strain_sample_94-kraken2_minikraken-0.35	0.0056187304336041775
strain_sample_94-kraken2_minikraken-0.15	0.3116721302707102
strain_sample_94-kraken2_minikraken-0.30	0.021497437672620363
strain_sample_94-kraken2_minikraken-0.25	0.06660075485327747
strain_sample_94-kraken2_minikraken-0.45	0.00019524139844825532
strain_sample_94-kraken2_minikraken-0.55	3.380478234002112e-06
strain_sample_94-kraken2_minikraken-0.60	0
strain_sample_94-kraken2_minikraken-0.70	0
strain_sample_94-kraken2_minikraken-0.50	3.726038231255661e-05
strain_sample_94-kraken2_minikraken-0.65	0
strain_sample_94-kraken2_minikraken-0.80	0
strain_sample_94-kraken2_minikraken-0.75	0
strain_sample_94-kraken2_minikraken-0.85	0
strain_sample_94-kraken2_minikraken-0.90	0
strain_sample_94-kraken2_minikraken-1.00	0
strain_sample_94-kraken2_minikraken-0.95	0
marine_sample_3-kraken2_minikraken-0.10	0.4797584862844493
marine_sample_3-kraken2_minikraken-0.25	0.055940254913586396
marine_sample_3-kraken2_minikraken-0.20	0.1238064369369705
marine_sample_3-kraken2_minikraken-0.15	0.26784047820871687
marine_sample_3-kraken2_minikraken-0.05	0.7127018302221584
marine_sample_3-kraken2_minikraken-0.00	0.8639126613458128
marine_sample_3-kraken2_minikraken-0.40	0.0009761801704022316
marine_sample_3-kraken2_minikraken-0.30	0.01793012311634539
marine_sample_3-kraken2_minikraken-0.55	2.5235161664857345e-06
marine_sample_3-kraken2_minikraken-0.35	0.004673491856613331
marine_sample_3-kraken2_minikraken-0.45	0.00016027331843096899
marine_sample_3-kraken2_minikraken-0.50	2.8810142900712138e-05
marine_sample_3-kraken2_minikraken-0.85	0
marine_sample_3-kraken2_minikraken-0.70	0
marine_sample_3-kraken2_minikraken-0.75	0
marine_sample_3-kraken2_minikraken-0.80	0
marine_sample_3-kraken2_minikraken-0.65	3.0041859124830174e-08
marine_sample_3-kraken2_minikraken-0.60	2.403348729986414e-07
marine_sample_3-kraken2_minikraken-0.95	0
marine_sample_3-kraken2_minikraken-0.90	0
marine_sample_3-kraken2_minikraken-1.00	0
strain_sample_55-kraken2_minikraken-0.10	0.5475988458208636
strain_sample_55-kraken2_minikraken-0.05	0.7952847328797112
strain_sample_55-kraken2_minikraken-0.00	0.9401283846991331
strain_sample_55-kraken2_minikraken-0.25	0.0663794991966002
strain_sample_55-kraken2_minikraken-0.15	0.3114511440671472
strain_sample_55-kraken2_minikraken-0.35	0.005585484171957305
strain_sample_55-kraken2_minikraken-0.40	0.0011854166184606758
strain_sample_55-kraken2_minikraken-0.30	0.02143952053845666
strain_sample_55-kraken2_minikraken-0.20	0.14573555029805577
strain_sample_55-kraken2_minikraken-0.70	0
