Sample name	Pielou evenness
strain_sample_25-kraken2_minikraken-0.95	nan
strain_sample_25-kraken2_minikraken-0.75	nan
strain_sample_25-kraken2_minikraken-0.45	0.6593649327498755
strain_sample_25-kraken2_minikraken-0.60	nan
strain_sample_25-kraken2_minikraken-1.00	nan
strain_sample_25-kraken2_minikraken-0.70	nan
strain_sample_25-kraken2_minikraken-0.80	nan
strain_sample_25-kraken2_minikraken-0.65	nan
marine_sample_8-kraken2_minikraken-0.50	0.8454142862815391
marine_sample_8-kraken2_minikraken-0.30	0.7754803289375863
marine_sample_8-kraken2_minikraken-0.45	0.8073169955853321
marine_sample_8-kraken2_minikraken-0.05	0.6264778370560775
marine_sample_8-kraken2_minikraken-0.55	0.909994684814358
marine_sample_8-kraken2_minikraken-0.40	0.7893348967090729
marine_sample_8-kraken2_minikraken-0.20	0.757550427984613
marine_sample_8-kraken2_minikraken-0.35	0.78399209508507
marine_sample_8-kraken2_minikraken-0.00	0.5759294451021154
marine_sample_8-kraken2_minikraken-0.15	0.7392139896497048
marine_sample_8-kraken2_minikraken-0.25	0.7689695636756795
marine_sample_8-kraken2_minikraken-0.10	0.7011207750648057
marine_sample_8-kraken2_minikraken-0.65	nan
marine_sample_8-kraken2_minikraken-0.60	0.9211854965885543
marine_sample_8-kraken2_minikraken-0.90	nan
marine_sample_8-kraken2_minikraken-0.75	nan
marine_sample_8-kraken2_minikraken-0.85	nan
marine_sample_8-kraken2_minikraken-0.80	nan
marine_sample_3-kraken2_minikraken-0.10	0.7258241981650513
marine_sample_8-kraken2_minikraken-0.70	nan
marine_sample_3-kraken2_minikraken-0.05	0.6495324540186063
marine_sample_8-kraken2_minikraken-0.95	nan
marine_sample_8-kraken2_minikraken-1.00	nan
marine_sample_3-kraken2_minikraken-0.00	0.6023123374334658
marine_sample_3-kraken2_minikraken-0.20	0.7816095938611756
marine_sample_3-kraken2_minikraken-0.35	0.8087155598211738
marine_sample_3-kraken2_minikraken-0.40	0.8125690215393248
marine_sample_3-kraken2_minikraken-0.25	0.7903378125122901
marine_sample_3-kraken2_minikraken-0.55	0.9224835568436074
marine_sample_3-kraken2_minikraken-0.15	0.7643673342334313
marine_sample_3-kraken2_minikraken-0.70	nan
marine_sample_3-kraken2_minikraken-0.60	0.8962406251802889
marine_sample_3-kraken2_minikraken-0.50	0.8752522782150381
marine_sample_3-kraken2_minikraken-0.65	nan
marine_sample_3-kraken2_minikraken-0.30	0.7994364390097517
marine_sample_3-kraken2_minikraken-0.45	0.8263784770016067
marine_sample_3-kraken2_minikraken-0.95	nan
plant_sample_19-kraken2_minikraken-0.15	0.34449484289126875
marine_sample_3-kraken2_minikraken-0.75	nan
marine_sample_3-kraken2_minikraken-0.80	nan
plant_sample_19-kraken2_minikraken-0.05	0.3830962900750175
plant_sample_19-kraken2_minikraken-0.10	0.35075142919487395
marine_sample_3-kraken2_minikraken-0.90	nan
plant_sample_19-kraken2_minikraken-0.20	0.33691708094301565
plant_sample_19-kraken2_minikraken-0.25	0.33438970005044805
marine_sample_3-kraken2_minikraken-0.85	nan
marine_sample_3-kraken2_minikraken-1.00	nan
plant_sample_19-kraken2_minikraken-0.00	0.45402826298823323
plant_sample_19-kraken2_minikraken-0.70	nan
plant_sample_19-kraken2_minikraken-0.80	nan
plant_sample_19-kraken2_minikraken-0.55	0.6162001221298545
plant_sample_19-kraken2_minikraken-0.75	nan
plant_sample_19-kraken2_minikraken-0.60	nan
plant_sample_19-kraken2_minikraken-0.65	nan
plant_sample_19-kraken2_minikraken-0.85	nan
plant_sample_19-kraken2_minikraken-0.50	0.37278006440526795
plant_sample_19-kraken2_minikraken-0.40	0.345744858184362
plant_sample_19-kraken2_minikraken-0.45	0.3753526648432203
plant_sample_19-kraken2_minikraken-0.35	0.32839988298880174
plant_sample_19-kraken2_minikraken-0.30	0.33128991520409395
plant_sample_19-kraken2_minikraken-0.90	nan
mouse_sample_26-kraken2_minikraken-0.10	0.4319929204470283
mouse_sample_26-kraken2_minikraken-0.40	0.6083904358283823
mouse_sample_26-kraken2_minikraken-0.25	0.5306817989783025
mouse_sample_26-kraken2_minikraken-0.35	0.5894122255164954
plant_sample_19-kraken2_minikraken-0.95	nan
mouse_sample_26-kraken2_minikraken-0.20	0.5115518286659753
mouse_sample_26-kraken2_minikraken-0.05	0.35174525868801537
mouse_sample_26-kraken2_minikraken-0.00	0.32282303637015075
plant_sample_19-kraken2_minikraken-1.00	nan
mouse_sample_26-kraken2_minikraken-0.15	0.4789279951520041
mouse_sample_26-kraken2_minikraken-0.30	0.5529178469551296
mouse_sample_26-kraken2_minikraken-0.55	0.8384279288576595
mouse_sample_26-kraken2_minikraken-0.85	nan
mouse_sample_26-kraken2_minikraken-0.75	nan
mouse_sample_26-kraken2_minikraken-0.50	0.6759106784692178
mouse_sample_26-kraken2_minikraken-0.70	nan
mouse_sample_26-kraken2_minikraken-0.65	nan
mouse_sample_26-kraken2_minikraken-0.95	nan
mouse_sample_26-kraken2_minikraken-0.45	0.5899392338708773
mouse_sample_26-kraken2_minikraken-0.90	nan
mouse_sample_26-kraken2_minikraken-1.00	nan
mouse_sample_26-kraken2_minikraken-0.80	nan
mouse_sample_26-kraken2_minikraken-0.60	nan
plant_sample_12-kraken2_minikraken-0.30	0.4720702089845594
plant_sample_12-kraken2_minikraken-0.25	0.4393125189231688
plant_sample_12-kraken2_minikraken-0.20	0.4316667006631922
plant_sample_12-kraken2_minikraken-0.55	0.8346736507114922
plant_sample_12-kraken2_minikraken-0.15	0.4261723246415384
plant_sample_12-kraken2_minikraken-0.00	0.4750343328965138
plant_sample_12-kraken2_minikraken-0.35	0.4846867949256143
plant_sample_12-kraken2_minikraken-0.45	0.5954150156044044
plant_sample_12-kraken2_minikraken-0.10	0.4120125848025133
plant_sample_12-kraken2_minikraken-0.40	0.5237747506174463
plant_sample_12-kraken2_minikraken-0.05	0.42182309915428173
plant_sample_12-kraken2_minikraken-0.50	0.7104481328479314
plant_sample_12-kraken2_minikraken-0.75	nan
plant_sample_12-kraken2_minikraken-0.60	0.9709505944546688
plant_sample_12-kraken2_minikraken-0.90	nan
strain_sample_65-kraken2_minikraken-0.10	0.3248140454381454
plant_sample_12-kraken2_minikraken-1.00	nan
strain_sample_65-kraken2_minikraken-0.00	0.24900543363264602
plant_sample_12-kraken2_minikraken-0.95	nan
plant_sample_12-kraken2_minikraken-0.70	nan
plant_sample_12-kraken2_minikraken-0.80	nan
plant_sample_12-kraken2_minikraken-0.65	nan
plant_sample_12-kraken2_minikraken-0.85	nan
strain_sample_65-kraken2_minikraken-0.05	0.2859259849886326
strain_sample_65-kraken2_minikraken-0.15	0.36505998378653054
strain_sample_65-kraken2_minikraken-0.45	0.7213135466066288
strain_sample_65-kraken2_minikraken-0.40	0.5899352379771748
strain_sample_65-kraken2_minikraken-0.35	0.5015063905274663
strain_sample_65-kraken2_minikraken-0.30	0.4501951858417383
strain_sample_65-kraken2_minikraken-0.55	nan
strain_sample_65-kraken2_minikraken-0.25	0.4233929813874887
strain_sample_65-kraken2_minikraken-0.60	nan
strain_sample_65-kraken2_minikraken-0.70	nan
strain_sample_65-kraken2_minikraken-0.50	0.8038815324993569
strain_sample_65-kraken2_minikraken-0.20	0.3990126783151649
strain_sample_65-kraken2_minikraken-0.65	nan
strain_sample_65-kraken2_minikraken-0.80	nan
strain_sample_65-kraken2_minikraken-0.85	nan
strain_sample_96-kraken2_minikraken-0.20	0.29306228532249623
strain_sample_96-kraken2_minikraken-0.05	0.20255853559261722
strain_sample_96-kraken2_minikraken-0.15	0.26525831736210503
strain_sample_96-kraken2_minikraken-0.25	0.32543771997781834
strain_sample_65-kraken2_minikraken-0.95	nan
strain_sample_65-kraken2_minikraken-0.75	nan
strain_sample_65-kraken2_minikraken-1.00	nan
strain_sample_65-kraken2_minikraken-0.90	nan
strain_sample_96-kraken2_minikraken-0.10	0.2313776802966588
strain_sample_96-kraken2_minikraken-0.00	0.1841222423780862
strain_sample_96-kraken2_minikraken-0.40	0.40840103011745377
strain_sample_96-kraken2_minikraken-0.60	nan
strain_sample_96-kraken2_minikraken-0.30	0.33532355076697634
strain_sample_96-kraken2_minikraken-0.55	0.9965663713274552
strain_sample_96-kraken2_minikraken-0.45	0.5261109574762511
strain_sample_96-kraken2_minikraken-0.35	0.373533963167804
strain_sample_96-kraken2_minikraken-0.65	nan
strain_sample_96-kraken2_minikraken-0.80	nan
strain_sample_96-kraken2_minikraken-0.75	nan
strain_sample_96-kraken2_minikraken-0.50	0.6945583401485474
strain_sample_96-kraken2_minikraken-0.85	nan
strain_sample_96-kraken2_minikraken-0.70	nan
strain_sample_96-kraken2_minikraken-1.00	nan
plant_sample_6-kraken2_minikraken-0.20	0.3218390709802135
strain_sample_96-kraken2_minikraken-0.90	nan
plant_sample_6-kraken2_minikraken-0.30	0.32283537376984767
plant_sample_6-kraken2_minikraken-0.35	0.33002388654995124
plant_sample_6-kraken2_minikraken-0.25	0.3220643740147436
plant_sample_6-kraken2_minikraken-0.40	0.3326086125492483
plant_sample_6-kraken2_minikraken-0.15	0.33068322638153025
plant_sample_6-kraken2_minikraken-0.10	0.33041752797398377
strain_sample_96-kraken2_minikraken-0.95	nan
plant_sample_6-kraken2_minikraken-0.05	0.35007912171286615
plant_sample_6-kraken2_minikraken-0.00	0.4132196972101666
plant_sample_6-kraken2_minikraken-0.80	nan
plant_sample_6-kraken2_minikraken-0.50	0.33533006105759205
plant_sample_6-kraken2_minikraken-0.75	nan
plant_sample_6-kraken2_minikraken-0.45	0.3345640646630334
plant_sample_6-kraken2_minikraken-0.70	nan
plant_sample_6-kraken2_minikraken-0.60	nan
plant_sample_6-kraken2_minikraken-0.90	nan
plant_sample_6-kraken2_minikraken-0.65	nan
plant_sample_6-kraken2_minikraken-0.55	0.5344010604138242
plant_sample_6-kraken2_minikraken-0.95	nan
