Sample name	Number of taxa
mouse_sample_37-kraken2_refseqV208_nt-1.00	71
strain_sample_78-kraken2_refseqV208_nt-0.20	118
strain_sample_78-kraken2_refseqV208_nt-0.10	341
strain_sample_78-kraken2_refseqV208_nt-0.30	37
strain_sample_78-kraken2_refseqV208_nt-0.55	26
strain_sample_78-kraken2_refseqV208_nt-0.15	195
strain_sample_78-kraken2_refseqV208_nt-0.35	35
strain_sample_78-kraken2_refseqV208_nt-0.25	68
strain_sample_78-kraken2_refseqV208_nt-0.45	26
strain_sample_78-kraken2_refseqV208_nt-0.40	30
strain_sample_78-kraken2_refseqV208_nt-0.50	26
strain_sample_78-kraken2_refseqV208_nt-0.05	992
strain_sample_78-kraken2_refseqV208_nt-0.00	4092
strain_sample_78-kraken2_refseqV208_nt-0.65	24
strain_sample_78-kraken2_refseqV208_nt-0.70	24
strain_sample_78-kraken2_refseqV208_nt-0.60	26
strain_sample_78-kraken2_refseqV208_nt-0.75	23
strain_sample_78-kraken2_refseqV208_nt-0.95	19
strain_sample_78-kraken2_refseqV208_nt-0.80	22
strain_sample_78-kraken2_refseqV208_nt-0.85	21
strain_sample_78-kraken2_refseqV208_nt-0.90	20
strain_sample_94-kraken2_refseqV208_nt-0.10	347
strain_sample_78-kraken2_refseqV208_nt-1.00	16
strain_sample_94-kraken2_refseqV208_nt-0.05	1033
strain_sample_94-kraken2_refseqV208_nt-0.00	4261
strain_sample_94-kraken2_refseqV208_nt-0.30	41
strain_sample_94-kraken2_refseqV208_nt-0.25	69
strain_sample_94-kraken2_refseqV208_nt-0.35	37
strain_sample_94-kraken2_refseqV208_nt-0.40	33
strain_sample_94-kraken2_refseqV208_nt-0.65	21
strain_sample_94-kraken2_refseqV208_nt-0.55	26
strain_sample_94-kraken2_refseqV208_nt-0.45	30
strain_sample_94-kraken2_refseqV208_nt-0.50	29
strain_sample_94-kraken2_refseqV208_nt-0.70	21
strain_sample_94-kraken2_refseqV208_nt-0.60	23
strain_sample_94-kraken2_refseqV208_nt-0.20	132
strain_sample_94-kraken2_refseqV208_nt-0.15	203
strain_sample_94-kraken2_refseqV208_nt-0.90	17
strain_sample_94-kraken2_refseqV208_nt-0.95	15
strain_sample_94-kraken2_refseqV208_nt-1.00	15
strain_sample_94-kraken2_refseqV208_nt-0.75	20
strain_sample_46-kraken2_refseqV208_nt-0.10	327
strain_sample_46-kraken2_refseqV208_nt-0.25	65
strain_sample_46-kraken2_refseqV208_nt-0.20	114
strain_sample_46-kraken2_refseqV208_nt-0.15	188
strain_sample_46-kraken2_refseqV208_nt-0.05	859
strain_sample_94-kraken2_refseqV208_nt-0.80	19
strain_sample_94-kraken2_refseqV208_nt-0.85	18
strain_sample_46-kraken2_refseqV208_nt-0.00	3672
strain_sample_46-kraken2_refseqV208_nt-0.30	37
strain_sample_46-kraken2_refseqV208_nt-0.70	23
strain_sample_46-kraken2_refseqV208_nt-0.65	23
strain_sample_46-kraken2_refseqV208_nt-0.55	25
strain_sample_46-kraken2_refseqV208_nt-0.60	24
strain_sample_46-kraken2_refseqV208_nt-0.50	28
strain_sample_46-kraken2_refseqV208_nt-0.35	35
strain_sample_46-kraken2_refseqV208_nt-0.80	21
strain_sample_46-kraken2_refseqV208_nt-0.40	32
strain_sample_46-kraken2_refseqV208_nt-0.75	22
strain_sample_46-kraken2_refseqV208_nt-0.45	29
strain_sample_46-kraken2_refseqV208_nt-0.85	16
marine_sample_6-kraken2_refseqV208_nt-0.15	573
marine_sample_6-kraken2_refseqV208_nt-0.20	413
strain_sample_46-kraken2_refseqV208_nt-1.00	15
strain_sample_46-kraken2_refseqV208_nt-0.90	16
marine_sample_6-kraken2_refseqV208_nt-0.25	352
marine_sample_6-kraken2_refseqV208_nt-0.05	1997
strain_sample_46-kraken2_refseqV208_nt-0.95	16
marine_sample_6-kraken2_refseqV208_nt-0.30	306
marine_sample_6-kraken2_refseqV208_nt-0.35	289
marine_sample_6-kraken2_refseqV208_nt-0.10	930
marine_sample_6-kraken2_refseqV208_nt-0.40	277
marine_sample_6-kraken2_refseqV208_nt-0.00	5773
marine_sample_6-kraken2_refseqV208_nt-0.50	262
marine_sample_6-kraken2_refseqV208_nt-0.70	236
marine_sample_6-kraken2_refseqV208_nt-0.60	247
marine_sample_6-kraken2_refseqV208_nt-0.80	229
marine_sample_6-kraken2_refseqV208_nt-0.65	242
marine_sample_6-kraken2_refseqV208_nt-0.75	233
marine_sample_6-kraken2_refseqV208_nt-0.45	266
marine_sample_6-kraken2_refseqV208_nt-0.85	225
marine_sample_6-kraken2_refseqV208_nt-0.55	254
marine_sample_6-kraken2_refseqV208_nt-0.90	222
marine_sample_6-kraken2_refseqV208_nt-1.00	219
marine_sample_6-kraken2_refseqV208_nt-0.95	222
mouse_sample_0-kraken2_refseqV208_nt-0.25	116
mouse_sample_0-kraken2_refseqV208_nt-0.20	132
mouse_sample_0-kraken2_refseqV208_nt-0.10	380
mouse_sample_0-kraken2_refseqV208_nt-0.15	212
mouse_sample_0-kraken2_refseqV208_nt-0.30	96
mouse_sample_0-kraken2_refseqV208_nt-0.55	71
mouse_sample_0-kraken2_refseqV208_nt-0.40	81
mouse_sample_0-kraken2_refseqV208_nt-0.50	75
mouse_sample_0-kraken2_refseqV208_nt-0.45	77
mouse_sample_0-kraken2_refseqV208_nt-0.05	1485
mouse_sample_0-kraken2_refseqV208_nt-0.35	87
mouse_sample_0-kraken2_refseqV208_nt-0.00	6584
mouse_sample_0-kraken2_refseqV208_nt-0.70	61
mouse_sample_0-kraken2_refseqV208_nt-0.65	65
mouse_sample_0-kraken2_refseqV208_nt-0.75	56
mouse_sample_0-kraken2_refseqV208_nt-0.85	49
mouse_sample_0-kraken2_refseqV208_nt-0.80	53
mouse_sample_0-kraken2_refseqV208_nt-0.90	47
mouse_sample_0-kraken2_refseqV208_nt-1.00	43
mouse_sample_0-kraken2_refseqV208_nt-0.60	66
mouse_sample_0-kraken2_refseqV208_nt-0.95	46
mouse_sample_22-kraken2_refseqV208_nt-0.10	627
mouse_sample_22-kraken2_refseqV208_nt-0.05	2315
mouse_sample_22-kraken2_refseqV208_nt-0.00	10336
mouse_sample_22-kraken2_refseqV208_nt-0.15	324
mouse_sample_22-kraken2_refseqV208_nt-0.20	225
mouse_sample_22-kraken2_refseqV208_nt-0.45	144
mouse_sample_22-kraken2_refseqV208_nt-0.40	151
mouse_sample_22-kraken2_refseqV208_nt-0.60	122
mouse_sample_22-kraken2_refseqV208_nt-0.50	136
mouse_sample_22-kraken2_refseqV208_nt-0.65	118
mouse_sample_22-kraken2_refseqV208_nt-0.70	113
