Sample name	Precision reads
strain_sample_45-kraken2_refseqV205_100GB-0.55	0
strain_sample_45-kraken2_refseqV205_100GB-0.60	0
strain_sample_45-kraken2_refseqV205_100GB-0.50	0
strain_sample_45-kraken2_refseqV205_100GB-0.70	0
strain_sample_45-kraken2_refseqV205_100GB-0.65	0
strain_sample_45-kraken2_refseqV205_100GB-0.75	0
strain_sample_45-kraken2_refseqV205_100GB-1.00	0
strain_sample_45-kraken2_refseqV205_100GB-0.80	0
strain_sample_45-kraken2_refseqV205_100GB-0.85	0
strain_sample_45-kraken2_refseqV205_100GB-0.90	0
strain_sample_45-kraken2_refseqV205_100GB-0.95	0
strain_sample_73-kraken2_refseqV205_100GB-0.15	0.9995005743395096
strain_sample_73-kraken2_refseqV205_100GB-0.20	0.999332568568151
strain_sample_73-kraken2_refseqV205_100GB-0.25	1.0
strain_sample_73-kraken2_refseqV205_100GB-0.10	0.9708782243412449
strain_sample_73-kraken2_refseqV205_100GB-0.05	0.9387402070746799
strain_sample_73-kraken2_refseqV205_100GB-0.00	0.9521845977173214
strain_sample_73-kraken2_refseqV205_100GB-0.45	0
strain_sample_73-kraken2_refseqV205_100GB-0.50	0
strain_sample_73-kraken2_refseqV205_100GB-0.35	0
strain_sample_73-kraken2_refseqV205_100GB-0.40	0
strain_sample_73-kraken2_refseqV205_100GB-0.55	0
strain_sample_73-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_73-kraken2_refseqV205_100GB-0.65	0
strain_sample_73-kraken2_refseqV205_100GB-0.75	0
strain_sample_73-kraken2_refseqV205_100GB-0.60	0
strain_sample_73-kraken2_refseqV205_100GB-0.70	0
strain_sample_73-kraken2_refseqV205_100GB-0.85	0
strain_sample_73-kraken2_refseqV205_100GB-0.80	0
strain_sample_73-kraken2_refseqV205_100GB-0.95	0
strain_sample_73-kraken2_refseqV205_100GB-0.90	0
strain_sample_73-kraken2_refseqV205_100GB-1.00	0
mouse_sample_54-kraken2_refseqV205_100GB-0.10	0.8337283523250492
mouse_sample_54-kraken2_refseqV205_100GB-0.05	0.8305341634123026
mouse_sample_54-kraken2_refseqV205_100GB-0.00	0.6661360456210569
mouse_sample_54-kraken2_refseqV205_100GB-0.40	0
mouse_sample_54-kraken2_refseqV205_100GB-0.30	0.8425414364640884
mouse_sample_54-kraken2_refseqV205_100GB-0.25	0.8468862402144016
mouse_sample_54-kraken2_refseqV205_100GB-0.35	0.9622641509433962
mouse_sample_54-kraken2_refseqV205_100GB-0.20	0.8235956129826834
mouse_sample_54-kraken2_refseqV205_100GB-0.15	0.829761894500329
mouse_sample_54-kraken2_refseqV205_100GB-0.45	0
mouse_sample_54-kraken2_refseqV205_100GB-0.50	0
mouse_sample_54-kraken2_refseqV205_100GB-0.55	0
mouse_sample_54-kraken2_refseqV205_100GB-0.60	0
mouse_sample_54-kraken2_refseqV205_100GB-0.65	0
mouse_sample_54-kraken2_refseqV205_100GB-0.70	0
mouse_sample_54-kraken2_refseqV205_100GB-0.80	0
mouse_sample_54-kraken2_refseqV205_100GB-0.85	0
mouse_sample_54-kraken2_refseqV205_100GB-0.90	0
mouse_sample_54-kraken2_refseqV205_100GB-0.75	0
mouse_sample_54-kraken2_refseqV205_100GB-0.95	0
mouse_sample_54-kraken2_refseqV205_100GB-1.00	0
strain_sample_69-kraken2_refseqV205_100GB-0.10	0.857906015487364
strain_sample_69-kraken2_refseqV205_100GB-0.25	0.8803077799943003
strain_sample_69-kraken2_refseqV205_100GB-0.20	0.849120115897567
strain_sample_69-kraken2_refseqV205_100GB-0.15	0.8612711937677577
strain_sample_69-kraken2_refseqV205_100GB-0.05	0.8629478299908901
strain_sample_69-kraken2_refseqV205_100GB-0.00	0.7783961138740317
strain_sample_69-kraken2_refseqV205_100GB-0.35	0.0
strain_sample_69-kraken2_refseqV205_100GB-0.45	0
strain_sample_69-kraken2_refseqV205_100GB-0.50	0
strain_sample_69-kraken2_refseqV205_100GB-0.55	0
strain_sample_69-kraken2_refseqV205_100GB-0.40	0
strain_sample_69-kraken2_refseqV205_100GB-0.30	0.9442567567567568
strain_sample_69-kraken2_refseqV205_100GB-0.80	0
strain_sample_69-kraken2_refseqV205_100GB-0.85	0
strain_sample_69-kraken2_refseqV205_100GB-0.70	0
strain_sample_69-kraken2_refseqV205_100GB-0.65	0
strain_sample_69-kraken2_refseqV205_100GB-0.60	0
strain_sample_69-kraken2_refseqV205_100GB-0.75	0
strain_sample_69-kraken2_refseqV205_100GB-0.90	0
strain_sample_69-kraken2_refseqV205_100GB-0.95	0
strain_sample_69-kraken2_refseqV205_100GB-1.00	0
strain_sample_18-kraken2_refseqV205_100GB-0.05	0.9152093537165557
strain_sample_18-kraken2_refseqV205_100GB-0.10	0.9601354053154828
strain_sample_18-kraken2_refseqV205_100GB-0.00	0.9082422408560047
strain_sample_18-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_18-kraken2_refseqV205_100GB-0.35	0
strain_sample_18-kraken2_refseqV205_100GB-0.40	0
strain_sample_18-kraken2_refseqV205_100GB-0.15	0.9644795947919427
strain_sample_18-kraken2_refseqV205_100GB-0.20	0.9969576719576719
strain_sample_18-kraken2_refseqV205_100GB-0.25	1.0
strain_sample_18-kraken2_refseqV205_100GB-0.65	0
strain_sample_18-kraken2_refseqV205_100GB-0.55	0
strain_sample_18-kraken2_refseqV205_100GB-0.50	0
strain_sample_18-kraken2_refseqV205_100GB-0.70	0
strain_sample_18-kraken2_refseqV205_100GB-0.45	0
strain_sample_18-kraken2_refseqV205_100GB-0.60	0
strain_sample_18-kraken2_refseqV205_100GB-0.75	0
strain_sample_18-kraken2_refseqV205_100GB-0.80	0
strain_sample_18-kraken2_refseqV205_100GB-0.85	0
strain_sample_18-kraken2_refseqV205_100GB-0.90	0
strain_sample_18-kraken2_refseqV205_100GB-0.95	0
strain_sample_18-kraken2_refseqV205_100GB-1.00	0
mouse_sample_25-kraken2_refseqV205_100GB-0.25	0.5394527291153902
mouse_sample_25-kraken2_refseqV205_100GB-0.15	0.5243761318729641
mouse_sample_25-kraken2_refseqV205_100GB-0.10	0.5239750069817525
mouse_sample_25-kraken2_refseqV205_100GB-0.20	0.5305497579115768
mouse_sample_25-kraken2_refseqV205_100GB-0.05	0.5022251111733081
mouse_sample_25-kraken2_refseqV205_100GB-0.00	0.6901944948447691
mouse_sample_25-kraken2_refseqV205_100GB-0.50	0
mouse_sample_25-kraken2_refseqV205_100GB-0.45	0
mouse_sample_25-kraken2_refseqV205_100GB-0.55	0
mouse_sample_25-kraken2_refseqV205_100GB-0.30	0.555032925682032
mouse_sample_25-kraken2_refseqV205_100GB-0.40	0.3333333333333333
mouse_sample_25-kraken2_refseqV205_100GB-0.35	0.6164383561643836
mouse_sample_25-kraken2_refseqV205_100GB-0.70	0
mouse_sample_25-kraken2_refseqV205_100GB-0.85	0
mouse_sample_25-kraken2_refseqV205_100GB-0.65	0
mouse_sample_25-kraken2_refseqV205_100GB-0.60	0
mouse_sample_25-kraken2_refseqV205_100GB-0.75	0
mouse_sample_25-kraken2_refseqV205_100GB-0.80	0
mouse_sample_25-kraken2_refseqV205_100GB-0.90	0
mouse_sample_25-kraken2_refseqV205_100GB-1.00	0
mouse_sample_25-kraken2_refseqV205_100GB-0.95	0
plant_sample_5-kraken2_refseqV205_100GB-0.10	0.988637246231615
plant_sample_5-kraken2_refseqV205_100GB-0.05	0.9714484244171907
plant_sample_5-kraken2_refseqV205_100GB-0.00	0.9561097461188762
plant_sample_5-kraken2_refseqV205_100GB-0.15	0.994820870384874
plant_sample_5-kraken2_refseqV205_100GB-0.40	0
plant_sample_5-kraken2_refseqV205_100GB-0.35	1.0
plant_sample_5-kraken2_refseqV205_100GB-0.30	1.0
plant_sample_5-kraken2_refseqV205_100GB-0.25	0.9992996585835595
plant_sample_5-kraken2_refseqV205_100GB-0.20	0.9995233924154988
plant_sample_5-kraken2_refseqV205_100GB-0.70	0
plant_sample_5-kraken2_refseqV205_100GB-0.55	0
plant_sample_5-kraken2_refseqV205_100GB-0.50	0
plant_sample_5-kraken2_refseqV205_100GB-0.45	0
plant_sample_5-kraken2_refseqV205_100GB-0.65	0
plant_sample_5-kraken2_refseqV205_100GB-0.60	0
plant_sample_5-kraken2_refseqV205_100GB-0.80	0
plant_sample_5-kraken2_refseqV205_100GB-0.95	0
plant_sample_5-kraken2_refseqV205_100GB-0.75	0
plant_sample_5-kraken2_refseqV205_100GB-0.90	0
plant_sample_5-kraken2_refseqV205_100GB-1.00	0
plant_sample_5-kraken2_refseqV205_100GB-0.85	0
strain_sample_85-kraken2_refseqV205_100GB-0.10	0.8909680655712402
strain_sample_85-kraken2_refseqV205_100GB-0.15	0.8748714965718021
strain_sample_85-kraken2_refseqV205_100GB-0.20	0.8754215061820907
strain_sample_85-kraken2_refseqV205_100GB-0.25	0.9103908484270734
strain_sample_85-kraken2_refseqV205_100GB-0.05	0.8869694618183335
strain_sample_85-kraken2_refseqV205_100GB-0.00	0.7982470797454078
strain_sample_85-kraken2_refseqV205_100GB-0.55	0
strain_sample_85-kraken2_refseqV205_100GB-0.35	0
strain_sample_85-kraken2_refseqV205_100GB-0.40	0
strain_sample_85-kraken2_refseqV205_100GB-0.45	0
strain_sample_85-kraken2_refseqV205_100GB-0.50	0
strain_sample_85-kraken2_refseqV205_100GB-0.30	0.26181818181818184
strain_sample_85-kraken2_refseqV205_100GB-0.70	0
strain_sample_85-kraken2_refseqV205_100GB-0.60	0
strain_sample_85-kraken2_refseqV205_100GB-0.65	0
strain_sample_85-kraken2_refseqV205_100GB-0.75	0
strain_sample_85-kraken2_refseqV205_100GB-0.80	0
strain_sample_85-kraken2_refseqV205_100GB-0.85	0
strain_sample_85-kraken2_refseqV205_100GB-0.90	0
strain_sample_85-kraken2_refseqV205_100GB-0.95	0
strain_sample_85-kraken2_refseqV205_100GB-1.00	0
plant_sample_13-kraken2_refseqV205_100GB-0.10	0.999255247344675
plant_sample_13-kraken2_refseqV205_100GB-0.05	0.9945576431880968
plant_sample_13-kraken2_refseqV205_100GB-0.00	0.9573984982357164
plant_sample_13-kraken2_refseqV205_100GB-0.35	1.0
plant_sample_13-kraken2_refseqV205_100GB-0.40	0
plant_sample_13-kraken2_refseqV205_100GB-0.15	0.999729335212863
plant_sample_13-kraken2_refseqV205_100GB-0.30	0.9990439770554493
plant_sample_13-kraken2_refseqV205_100GB-0.25	0.9999229999229999
plant_sample_13-kraken2_refseqV205_100GB-0.20	0.999664573140405
plant_sample_13-kraken2_refseqV205_100GB-0.55	0
plant_sample_13-kraken2_refseqV205_100GB-0.45	0
plant_sample_13-kraken2_refseqV205_100GB-0.65	0
plant_sample_13-kraken2_refseqV205_100GB-0.60	0
plant_sample_13-kraken2_refseqV205_100GB-0.50	0
plant_sample_13-kraken2_refseqV205_100GB-0.70	0
plant_sample_13-kraken2_refseqV205_100GB-0.95	0
plant_sample_13-kraken2_refseqV205_100GB-0.90	0
plant_sample_13-kraken2_refseqV205_100GB-0.75	0
plant_sample_13-kraken2_refseqV205_100GB-0.80	0
plant_sample_13-kraken2_refseqV205_100GB-0.85	0
plant_sample_13-kraken2_refseqV205_100GB-1.00	0
strain_sample_34-kraken2_refseqV205_100GB-0.10	0.9515623354190565
strain_sample_34-kraken2_refseqV205_100GB-0.25	0.978219696969697
strain_sample_34-kraken2_refseqV205_100GB-0.15	0.9869176271422276
strain_sample_34-kraken2_refseqV205_100GB-0.20	0.9849837744139641
strain_sample_34-kraken2_refseqV205_100GB-0.05	0.7378291590999383
strain_sample_34-kraken2_refseqV205_100GB-0.00	0.45331036423930815
strain_sample_34-kraken2_refseqV205_100GB-0.30	0.5665322580645161
strain_sample_34-kraken2_refseqV205_100GB-0.50	0
strain_sample_34-kraken2_refseqV205_100GB-0.40	0
strain_sample_34-kraken2_refseqV205_100GB-0.45	0
strain_sample_34-kraken2_refseqV205_100GB-0.55	0
strain_sample_34-kraken2_refseqV205_100GB-0.35	1.0
strain_sample_34-kraken2_refseqV205_100GB-0.80	0
strain_sample_34-kraken2_refseqV205_100GB-0.60	0
strain_sample_34-kraken2_refseqV205_100GB-0.65	0
strain_sample_34-kraken2_refseqV205_100GB-0.70	0
strain_sample_34-kraken2_refseqV205_100GB-0.75	0
strain_sample_34-kraken2_refseqV205_100GB-0.85	0
strain_sample_34-kraken2_refseqV205_100GB-1.00	0
strain_sample_34-kraken2_refseqV205_100GB-0.95	0
strain_sample_34-kraken2_refseqV205_100GB-0.90	0
