Sample name	Chao1 richness
strain_sample_80-kraken2_refseqV208_nt-0.25	72.0
strain_sample_80-kraken2_refseqV208_nt-0.35	39.0
strain_sample_80-kraken2_refseqV208_nt-0.20	163.5
strain_sample_80-kraken2_refseqV208_nt-0.15	259.10526315789474
strain_sample_80-kraken2_refseqV208_nt-0.30	41.0
strain_sample_80-kraken2_refseqV208_nt-0.50	26.0
strain_sample_80-kraken2_refseqV208_nt-0.45	34.0
strain_sample_80-kraken2_refseqV208_nt-0.55	25.0
strain_sample_80-kraken2_refseqV208_nt-0.60	24.0
strain_sample_80-kraken2_refseqV208_nt-0.70	23.0
strain_sample_80-kraken2_refseqV208_nt-0.65	24.0
strain_sample_80-kraken2_refseqV208_nt-0.95	18.0
strain_sample_80-kraken2_refseqV208_nt-0.80	23.5
strain_sample_80-kraken2_refseqV208_nt-0.90	20.0
strain_sample_80-kraken2_refseqV208_nt-1.00	14.0
strain_sample_80-kraken2_refseqV208_nt-0.85	20.0
strain_sample_80-kraken2_refseqV208_nt-0.75	23.0
strain_sample_52-kraken2_refseqV208_nt-0.15	280.875
strain_sample_52-kraken2_refseqV208_nt-0.20	204.10526315789474
strain_sample_52-kraken2_refseqV208_nt-0.25	97.14285714285714
strain_sample_52-kraken2_refseqV208_nt-0.10	455.1304347826087
strain_sample_52-kraken2_refseqV208_nt-0.05	1365.3153846153846
strain_sample_52-kraken2_refseqV208_nt-0.00	5484.520979020979
strain_sample_52-kraken2_refseqV208_nt-0.55	30.2
strain_sample_52-kraken2_refseqV208_nt-0.50	31.0
strain_sample_52-kraken2_refseqV208_nt-0.35	43.75
strain_sample_52-kraken2_refseqV208_nt-0.40	37.6
strain_sample_52-kraken2_refseqV208_nt-0.30	51.5
strain_sample_52-kraken2_refseqV208_nt-0.45	35.5
strain_sample_52-kraken2_refseqV208_nt-0.80	22.0
strain_sample_52-kraken2_refseqV208_nt-0.65	25.0
strain_sample_52-kraken2_refseqV208_nt-0.85	21.0
strain_sample_52-kraken2_refseqV208_nt-0.75	23.0
strain_sample_52-kraken2_refseqV208_nt-0.70	26.0
strain_sample_52-kraken2_refseqV208_nt-0.60	27.0
strain_sample_52-kraken2_refseqV208_nt-0.95	20.0
strain_sample_52-kraken2_refseqV208_nt-1.00	18.0
strain_sample_52-kraken2_refseqV208_nt-0.90	20.0
mouse_sample_61-kraken2_refseqV208_nt-0.10	800.8961038961039
mouse_sample_61-kraken2_refseqV208_nt-0.05	2660.8922155688624
mouse_sample_61-kraken2_refseqV208_nt-0.00	14743.025241276911
mouse_sample_61-kraken2_refseqV208_nt-0.20	240.27272727272728
mouse_sample_61-kraken2_refseqV208_nt-0.25	210.0
mouse_sample_61-kraken2_refseqV208_nt-0.35	176.0
mouse_sample_61-kraken2_refseqV208_nt-0.15	360.15
mouse_sample_61-kraken2_refseqV208_nt-0.40	157.42857142857142
mouse_sample_61-kraken2_refseqV208_nt-0.30	175.46153846153845
mouse_sample_61-kraken2_refseqV208_nt-0.65	116.9090909090909
mouse_sample_61-kraken2_refseqV208_nt-0.70	109.0
mouse_sample_61-kraken2_refseqV208_nt-0.55	147.5
mouse_sample_61-kraken2_refseqV208_nt-0.60	125.14285714285714
mouse_sample_61-kraken2_refseqV208_nt-0.45	159.0
mouse_sample_61-kraken2_refseqV208_nt-0.50	151.125
mouse_sample_61-kraken2_refseqV208_nt-0.80	91.5
mouse_sample_61-kraken2_refseqV208_nt-0.95	83.5
mouse_sample_61-kraken2_refseqV208_nt-0.90	88.625
mouse_sample_61-kraken2_refseqV208_nt-0.85	90.75
mouse_sample_61-kraken2_refseqV208_nt-0.75	103.2
mouse_sample_61-kraken2_refseqV208_nt-1.00	67.0
mouse_sample_60-kraken2_refseqV208_nt-0.20	219.0
mouse_sample_60-kraken2_refseqV208_nt-0.15	328.4761904761905
mouse_sample_60-kraken2_refseqV208_nt-0.25	200.6
mouse_sample_60-kraken2_refseqV208_nt-0.10	733.6
mouse_sample_60-kraken2_refseqV208_nt-0.05	2514.9695121951218
mouse_sample_60-kraken2_refseqV208_nt-0.00	13590.0
mouse_sample_60-kraken2_refseqV208_nt-0.45	135.5
mouse_sample_60-kraken2_refseqV208_nt-0.30	172.0
mouse_sample_60-kraken2_refseqV208_nt-0.55	127.5
mouse_sample_60-kraken2_refseqV208_nt-0.50	129.1
mouse_sample_60-kraken2_refseqV208_nt-0.40	144.0
mouse_sample_60-kraken2_refseqV208_nt-0.35	161.0
mouse_sample_60-kraken2_refseqV208_nt-0.80	97.0
mouse_sample_60-kraken2_refseqV208_nt-0.75	104.33333333333333
mouse_sample_60-kraken2_refseqV208_nt-0.85	90.2
mouse_sample_60-kraken2_refseqV208_nt-0.65	120.0
mouse_sample_60-kraken2_refseqV208_nt-0.70	109.625
mouse_sample_60-kraken2_refseqV208_nt-0.60	129.75
strain_sample_81-kraken2_refseqV208_nt-0.10	443.0909090909091
mouse_sample_60-kraken2_refseqV208_nt-1.00	72.0
mouse_sample_60-kraken2_refseqV208_nt-0.90	85.5
mouse_sample_60-kraken2_refseqV208_nt-0.95	89.75
strain_sample_81-kraken2_refseqV208_nt-0.05	1128.0884955752213
strain_sample_81-kraken2_refseqV208_nt-0.00	4899.707547169812
strain_sample_81-kraken2_refseqV208_nt-0.40	36.0
strain_sample_81-kraken2_refseqV208_nt-0.25	84.75
strain_sample_81-kraken2_refseqV208_nt-0.30	43.0
strain_sample_81-kraken2_refseqV208_nt-0.20	124.0
strain_sample_81-kraken2_refseqV208_nt-0.15	211.5263157894737
strain_sample_81-kraken2_refseqV208_nt-0.35	36.0
strain_sample_81-kraken2_refseqV208_nt-0.60	25.333333333333332
strain_sample_81-kraken2_refseqV208_nt-0.50	26.0
strain_sample_81-kraken2_refseqV208_nt-0.45	26.0
strain_sample_81-kraken2_refseqV208_nt-0.55	25.0
strain_sample_81-kraken2_refseqV208_nt-0.65	23.0
strain_sample_81-kraken2_refseqV208_nt-0.70	22.0
strain_sample_81-kraken2_refseqV208_nt-0.80	21.0
strain_sample_81-kraken2_refseqV208_nt-0.75	22.0
strain_sample_81-kraken2_refseqV208_nt-1.00	18.0
strain_sample_81-kraken2_refseqV208_nt-0.95	17.0
strain_sample_81-kraken2_refseqV208_nt-0.90	17.0
strain_sample_81-kraken2_refseqV208_nt-0.85	17.0
strain_sample_53-kraken2_refseqV208_nt-0.25	71.0
strain_sample_53-kraken2_refseqV208_nt-0.20	143.9090909090909
strain_sample_53-kraken2_refseqV208_nt-0.15	294.04347826086956
strain_sample_53-kraken2_refseqV208_nt-0.10	504.5
strain_sample_53-kraken2_refseqV208_nt-0.05	1073.5714285714287
strain_sample_53-kraken2_refseqV208_nt-0.00	5025.085501858736
strain_sample_53-kraken2_refseqV208_nt-0.30	38.0
strain_sample_53-kraken2_refseqV208_nt-0.50	24.0
strain_sample_53-kraken2_refseqV208_nt-0.45	26.0
strain_sample_53-kraken2_refseqV208_nt-0.55	24.0
strain_sample_53-kraken2_refseqV208_nt-0.40	29.0
strain_sample_53-kraken2_refseqV208_nt-0.35	32.0
strain_sample_53-kraken2_refseqV208_nt-0.85	16.0
strain_sample_53-kraken2_refseqV208_nt-0.80	17.0
strain_sample_53-kraken2_refseqV208_nt-0.60	22.0
strain_sample_53-kraken2_refseqV208_nt-0.75	18.0
strain_sample_53-kraken2_refseqV208_nt-0.70	19.0
strain_sample_53-kraken2_refseqV208_nt-0.65	20.0
strain_sample_53-kraken2_refseqV208_nt-1.00	16.0
strain_sample_53-kraken2_refseqV208_nt-0.90	16.0
strain_sample_53-kraken2_refseqV208_nt-0.95	16.0
mouse_sample_37-kraken2_refseqV208_nt-0.10	802.5185185185185
mouse_sample_37-kraken2_refseqV208_nt-0.05	2654.59477124183
mouse_sample_37-kraken2_refseqV208_nt-0.00	15495.637346791636
mouse_sample_37-kraken2_refseqV208_nt-0.15	381.6470588235294
mouse_sample_37-kraken2_refseqV208_nt-0.40	168.5
mouse_sample_37-kraken2_refseqV208_nt-0.20	260.25
mouse_sample_37-kraken2_refseqV208_nt-0.35	174.5
mouse_sample_37-kraken2_refseqV208_nt-0.25	225.11111111111111
mouse_sample_37-kraken2_refseqV208_nt-0.30	200.36363636363637
mouse_sample_37-kraken2_refseqV208_nt-0.60	126.0
mouse_sample_37-kraken2_refseqV208_nt-0.50	146.5
mouse_sample_37-kraken2_refseqV208_nt-0.70	118.6
mouse_sample_37-kraken2_refseqV208_nt-0.65	117.66666666666667
mouse_sample_37-kraken2_refseqV208_nt-0.45	152.54545454545453
mouse_sample_37-kraken2_refseqV208_nt-0.55	139.0
mouse_sample_37-kraken2_refseqV208_nt-1.00	76.0
mouse_sample_37-kraken2_refseqV208_nt-0.85	101.66666666666667
mouse_sample_37-kraken2_refseqV208_nt-0.80	110.33333333333333
mouse_sample_37-kraken2_refseqV208_nt-0.95	84.0
mouse_sample_37-kraken2_refseqV208_nt-0.90	96.0
mouse_sample_37-kraken2_refseqV208_nt-0.75	107.66666666666667
strain_sample_78-kraken2_refseqV208_nt-0.20	149.0
strain_sample_78-kraken2_refseqV208_nt-0.15	248.0
strain_sample_78-kraken2_refseqV208_nt-0.10	529.3636363636364
strain_sample_78-kraken2_refseqV208_nt-0.25	81.0
strain_sample_78-kraken2_refseqV208_nt-0.05	1255.0735294117646
strain_sample_78-kraken2_refseqV208_nt-0.00	5445.293233082707
strain_sample_78-kraken2_refseqV208_nt-0.55	27.0
strain_sample_78-kraken2_refseqV208_nt-0.50	26.0
strain_sample_78-kraken2_refseqV208_nt-0.45	26.0
strain_sample_78-kraken2_refseqV208_nt-0.40	30.5
strain_sample_78-kraken2_refseqV208_nt-0.35	35.333333333333336
strain_sample_78-kraken2_refseqV208_nt-0.30	37.0
strain_sample_78-kraken2_refseqV208_nt-0.65	24.5
strain_sample_78-kraken2_refseqV208_nt-0.70	24.5
strain_sample_78-kraken2_refseqV208_nt-0.80	22.0
strain_sample_78-kraken2_refseqV208_nt-0.85	21.0
strain_sample_78-kraken2_refseqV208_nt-0.75	23.0
strain_sample_78-kraken2_refseqV208_nt-0.60	27.5
strain_sample_78-kraken2_refseqV208_nt-1.00	16.0
strain_sample_78-kraken2_refseqV208_nt-0.90	20.0
strain_sample_78-kraken2_refseqV208_nt-0.95	19.0
strain_sample_94-kraken2_refseqV208_nt-0.10	448.47727272727275
strain_sample_94-kraken2_refseqV208_nt-0.05	1278.4135338345864
strain_sample_94-kraken2_refseqV208_nt-0.00	5558.622448979591
strain_sample_94-kraken2_refseqV208_nt-0.40	34.0
strain_sample_94-kraken2_refseqV208_nt-0.35	47.0
strain_sample_94-kraken2_refseqV208_nt-0.25	84.0
strain_sample_94-kraken2_refseqV208_nt-0.20	195.0
strain_sample_94-kraken2_refseqV208_nt-0.30	41.2
strain_sample_94-kraken2_refseqV208_nt-0.15	244.75757575757575
strain_sample_94-kraken2_refseqV208_nt-0.45	31.5
strain_sample_94-kraken2_refseqV208_nt-0.65	21.0
strain_sample_94-kraken2_refseqV208_nt-0.55	27.0
strain_sample_94-kraken2_refseqV208_nt-0.70	21.0
strain_sample_94-kraken2_refseqV208_nt-0.60	23.0
strain_sample_94-kraken2_refseqV208_nt-0.50	35.0
strain_sample_94-kraken2_refseqV208_nt-0.80	19.0
strain_sample_94-kraken2_refseqV208_nt-1.00	15.0
strain_sample_94-kraken2_refseqV208_nt-0.95	15.0
strain_sample_94-kraken2_refseqV208_nt-0.75	20.0
strain_sample_94-kraken2_refseqV208_nt-0.90	17.0
strain_sample_94-kraken2_refseqV208_nt-0.85	18.0
strain_sample_46-kraken2_refseqV208_nt-0.20	141.1875
strain_sample_46-kraken2_refseqV208_nt-0.10	412.0
strain_sample_46-kraken2_refseqV208_nt-0.25	70.5
strain_sample_46-kraken2_refseqV208_nt-0.15	231.0
strain_sample_46-kraken2_refseqV208_nt-0.05	1061.162393162393
strain_sample_46-kraken2_refseqV208_nt-0.00	4397.747126436781
strain_sample_46-kraken2_refseqV208_nt-0.40	32.0
strain_sample_46-kraken2_refseqV208_nt-0.55	25.0
strain_sample_46-kraken2_refseqV208_nt-0.50	28.5
strain_sample_46-kraken2_refseqV208_nt-0.30	39.0
strain_sample_46-kraken2_refseqV208_nt-0.35	41.0
strain_sample_46-kraken2_refseqV208_nt-0.45	29.5
strain_sample_46-kraken2_refseqV208_nt-0.75	22.0
strain_sample_46-kraken2_refseqV208_nt-0.65	23.0
strain_sample_46-kraken2_refseqV208_nt-0.80	22.0
strain_sample_46-kraken2_refseqV208_nt-0.85	16.0
strain_sample_46-kraken2_refseqV208_nt-0.70	23.0
strain_sample_46-kraken2_refseqV208_nt-0.60	24.0
strain_sample_46-kraken2_refseqV208_nt-0.90	16.0
strain_sample_46-kraken2_refseqV208_nt-1.00	15.0
strain_sample_46-kraken2_refseqV208_nt-0.95	16.0
marine_sample_6-kraken2_refseqV208_nt-0.10	1142.9655172413793
marine_sample_6-kraken2_refseqV208_nt-0.05	2179.1296296296296
marine_sample_6-kraken2_refseqV208_nt-0.00	7840.667334669339
marine_sample_6-kraken2_refseqV208_nt-0.40	307.6
marine_sample_6-kraken2_refseqV208_nt-0.30	316.46153846153845
marine_sample_6-kraken2_refseqV208_nt-0.25	391.05555555555554
marine_sample_6-kraken2_refseqV208_nt-0.20	449.2631578947368
marine_sample_6-kraken2_refseqV208_nt-0.15	709.25
marine_sample_6-kraken2_refseqV208_nt-0.35	298.1
marine_sample_6-kraken2_refseqV208_nt-0.65	249.5
marine_sample_6-kraken2_refseqV208_nt-0.50	271.0
marine_sample_6-kraken2_refseqV208_nt-0.70	238.0
marine_sample_6-kraken2_refseqV208_nt-0.55	256.5
marine_sample_6-kraken2_refseqV208_nt-0.60	254.0
marine_sample_6-kraken2_refseqV208_nt-0.45	357.0
marine_sample_6-kraken2_refseqV208_nt-0.75	238.0
marine_sample_6-kraken2_refseqV208_nt-0.85	225.5
marine_sample_6-kraken2_refseqV208_nt-0.95	225.0
marine_sample_6-kraken2_refseqV208_nt-0.80	230.5
marine_sample_6-kraken2_refseqV208_nt-1.00	220.0
marine_sample_6-kraken2_refseqV208_nt-0.90	222.0
mouse_sample_0-kraken2_refseqV208_nt-0.25	124.25
mouse_sample_0-kraken2_refseqV208_nt-0.20	149.0
mouse_sample_0-kraken2_refseqV208_nt-0.15	249.05882352941177
mouse_sample_0-kraken2_refseqV208_nt-0.10	467.56756756756755
mouse_sample_0-kraken2_refseqV208_nt-0.05	1717.3972602739725
mouse_sample_0-kraken2_refseqV208_nt-0.00	8890.379310344828
mouse_sample_0-kraken2_refseqV208_nt-0.40	84.33333333333333
mouse_sample_0-kraken2_refseqV208_nt-0.30	103.0
mouse_sample_0-kraken2_refseqV208_nt-0.35	94.0
mouse_sample_0-kraken2_refseqV208_nt-0.55	73.0
mouse_sample_0-kraken2_refseqV208_nt-0.50	78.33333333333333
mouse_sample_0-kraken2_refseqV208_nt-0.45	80.33333333333333
mouse_sample_0-kraken2_refseqV208_nt-0.60	66.33333333333333
mouse_sample_0-kraken2_refseqV208_nt-0.80	54.0
mouse_sample_0-kraken2_refseqV208_nt-0.70	61.0
mouse_sample_0-kraken2_refseqV208_nt-0.75	56.0
mouse_sample_0-kraken2_refseqV208_nt-0.65	65.33333333333333
mouse_sample_0-kraken2_refseqV208_nt-0.85	49.0
mouse_sample_0-kraken2_refseqV208_nt-1.00	43.5
mouse_sample_0-kraken2_refseqV208_nt-0.95	46.0
mouse_sample_0-kraken2_refseqV208_nt-0.90	47.0
mouse_sample_22-kraken2_refseqV208_nt-0.10	714.55
