Sample name	Precision taxa
mouse_sample_38-kraken2_refseqV205_100GB-0.00	0.01521216973578863
mouse_sample_38-kraken2_refseqV205_100GB-0.45	0
mouse_sample_38-kraken2_refseqV205_100GB-0.40	0
mouse_sample_38-kraken2_refseqV205_100GB-0.50	0
mouse_sample_38-kraken2_refseqV205_100GB-0.55	0
mouse_sample_38-kraken2_refseqV205_100GB-0.30	0.45161290322580644
mouse_sample_38-kraken2_refseqV205_100GB-0.35	0.2857142857142857
mouse_sample_38-kraken2_refseqV205_100GB-0.60	0
mouse_sample_38-kraken2_refseqV205_100GB-0.65	0
mouse_sample_38-kraken2_refseqV205_100GB-0.70	0
mouse_sample_38-kraken2_refseqV205_100GB-0.80	0
mouse_sample_38-kraken2_refseqV205_100GB-0.75	0
mouse_sample_38-kraken2_refseqV205_100GB-0.85	0
mouse_sample_38-kraken2_refseqV205_100GB-0.90	0
mouse_sample_38-kraken2_refseqV205_100GB-1.00	0
mouse_sample_38-kraken2_refseqV205_100GB-0.95	0
plant_sample_2-kraken2_refseqV205_100GB-0.10	0.4358974358974359
plant_sample_2-kraken2_refseqV205_100GB-0.05	0.07593307593307594
plant_sample_2-kraken2_refseqV205_100GB-0.00	0.02832415420928403
plant_sample_2-kraken2_refseqV205_100GB-0.15	0.7288135593220338
plant_sample_2-kraken2_refseqV205_100GB-0.25	0.9166666666666666
plant_sample_2-kraken2_refseqV205_100GB-0.40	1.0
plant_sample_2-kraken2_refseqV205_100GB-0.30	0.9545454545454546
plant_sample_2-kraken2_refseqV205_100GB-0.20	0.8695652173913043
plant_sample_2-kraken2_refseqV205_100GB-0.35	1.0
plant_sample_2-kraken2_refseqV205_100GB-0.70	0
plant_sample_2-kraken2_refseqV205_100GB-0.45	0
plant_sample_2-kraken2_refseqV205_100GB-0.60	0
plant_sample_2-kraken2_refseqV205_100GB-0.55	0
plant_sample_2-kraken2_refseqV205_100GB-0.50	0
plant_sample_2-kraken2_refseqV205_100GB-0.65	0
plant_sample_2-kraken2_refseqV205_100GB-0.75	0
plant_sample_2-kraken2_refseqV205_100GB-0.95	0
plant_sample_2-kraken2_refseqV205_100GB-0.80	0
plant_sample_2-kraken2_refseqV205_100GB-0.85	0
plant_sample_2-kraken2_refseqV205_100GB-0.90	0
plant_sample_2-kraken2_refseqV205_100GB-1.00	0
strain_sample_33-kraken2_refseqV205_100GB-0.10	0.34146341463414637
strain_sample_33-kraken2_refseqV205_100GB-0.00	0.011881188118811881
strain_sample_33-kraken2_refseqV205_100GB-0.15	0.875
strain_sample_33-kraken2_refseqV205_100GB-0.20	0.8666666666666667
strain_sample_33-kraken2_refseqV205_100GB-0.25	0.9166666666666666
strain_sample_33-kraken2_refseqV205_100GB-0.05	0.051470588235294115
strain_sample_33-kraken2_refseqV205_100GB-0.35	0
strain_sample_33-kraken2_refseqV205_100GB-0.55	0
strain_sample_33-kraken2_refseqV205_100GB-0.50	0
strain_sample_33-kraken2_refseqV205_100GB-0.40	0
strain_sample_33-kraken2_refseqV205_100GB-0.45	0
strain_sample_33-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_33-kraken2_refseqV205_100GB-0.75	0
strain_sample_33-kraken2_refseqV205_100GB-0.70	0
strain_sample_33-kraken2_refseqV205_100GB-0.65	0
strain_sample_33-kraken2_refseqV205_100GB-0.80	0
strain_sample_33-kraken2_refseqV205_100GB-0.85	0
strain_sample_33-kraken2_refseqV205_100GB-0.60	0
strain_sample_33-kraken2_refseqV205_100GB-1.00	0
strain_sample_33-kraken2_refseqV205_100GB-0.95	0
strain_sample_33-kraken2_refseqV205_100GB-0.90	0
mouse_sample_9-kraken2_refseqV205_100GB-0.10	0.2222222222222222
mouse_sample_9-kraken2_refseqV205_100GB-0.05	0.036939313984168866
mouse_sample_9-kraken2_refseqV205_100GB-0.00	0.010276679841897233
mouse_sample_9-kraken2_refseqV205_100GB-0.15	0.32558139534883723
mouse_sample_9-kraken2_refseqV205_100GB-0.25	0.4642857142857143
mouse_sample_9-kraken2_refseqV205_100GB-0.20	0.3888888888888889
mouse_sample_9-kraken2_refseqV205_100GB-0.35	0.6666666666666666
mouse_sample_9-kraken2_refseqV205_100GB-0.40	1.0
mouse_sample_9-kraken2_refseqV205_100GB-0.30	0.3888888888888889
mouse_sample_9-kraken2_refseqV205_100GB-0.55	0
mouse_sample_9-kraken2_refseqV205_100GB-0.60	0
mouse_sample_9-kraken2_refseqV205_100GB-0.50	0
mouse_sample_9-kraken2_refseqV205_100GB-0.45	0
mouse_sample_9-kraken2_refseqV205_100GB-0.65	0
mouse_sample_9-kraken2_refseqV205_100GB-0.70	0
mouse_sample_9-kraken2_refseqV205_100GB-0.95	0
mouse_sample_9-kraken2_refseqV205_100GB-0.75	0
mouse_sample_9-kraken2_refseqV205_100GB-1.00	0
mouse_sample_9-kraken2_refseqV205_100GB-0.80	0
mouse_sample_9-kraken2_refseqV205_100GB-0.90	0
mouse_sample_9-kraken2_refseqV205_100GB-0.85	0
mouse_sample_14-kraken2_refseqV205_100GB-0.10	0.24561403508771928
mouse_sample_14-kraken2_refseqV205_100GB-0.20	0.3684210526315789
mouse_sample_14-kraken2_refseqV205_100GB-0.15	0.32941176470588235
mouse_sample_14-kraken2_refseqV205_100GB-0.25	0.4153846153846154
mouse_sample_14-kraken2_refseqV205_100GB-0.05	0.06728538283062645
mouse_sample_14-kraken2_refseqV205_100GB-0.00	0.009411764705882352
mouse_sample_14-kraken2_refseqV205_100GB-0.30	0.43243243243243246
mouse_sample_14-kraken2_refseqV205_100GB-0.45	0
mouse_sample_14-kraken2_refseqV205_100GB-0.55	0
mouse_sample_14-kraken2_refseqV205_100GB-0.50	0
mouse_sample_14-kraken2_refseqV205_100GB-0.40	1.0
mouse_sample_14-kraken2_refseqV205_100GB-0.35	0.38461538461538464
mouse_sample_14-kraken2_refseqV205_100GB-0.75	0
mouse_sample_14-kraken2_refseqV205_100GB-0.65	0
mouse_sample_14-kraken2_refseqV205_100GB-0.60	0
mouse_sample_14-kraken2_refseqV205_100GB-0.80	0
mouse_sample_14-kraken2_refseqV205_100GB-0.70	0
mouse_sample_14-kraken2_refseqV205_100GB-0.85	0
mouse_sample_14-kraken2_refseqV205_100GB-1.00	0
mouse_sample_14-kraken2_refseqV205_100GB-0.95	0
mouse_sample_14-kraken2_refseqV205_100GB-0.90	0
strain_sample_29-kraken2_refseqV205_100GB-0.10	0.5384615384615384
strain_sample_29-kraken2_refseqV205_100GB-0.05	0.05204460966542751
strain_sample_29-kraken2_refseqV205_100GB-0.00	0.012486992715920915
strain_sample_29-kraken2_refseqV205_100GB-0.15	0.7368421052631579
strain_sample_29-kraken2_refseqV205_100GB-0.20	1.0
strain_sample_29-kraken2_refseqV205_100GB-0.40	0
strain_sample_29-kraken2_refseqV205_100GB-0.35	0
strain_sample_29-kraken2_refseqV205_100GB-0.25	1.0
strain_sample_29-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_29-kraken2_refseqV205_100GB-0.55	0
strain_sample_29-kraken2_refseqV205_100GB-0.50	0
strain_sample_29-kraken2_refseqV205_100GB-0.45	0
strain_sample_29-kraken2_refseqV205_100GB-0.70	0
strain_sample_29-kraken2_refseqV205_100GB-0.60	0
strain_sample_29-kraken2_refseqV205_100GB-0.65	0
strain_sample_29-kraken2_refseqV205_100GB-0.90	0
strain_sample_29-kraken2_refseqV205_100GB-0.75	0
strain_sample_29-kraken2_refseqV205_100GB-0.85	0
strain_sample_29-kraken2_refseqV205_100GB-1.00	0
strain_sample_29-kraken2_refseqV205_100GB-0.80	0
strain_sample_29-kraken2_refseqV205_100GB-0.95	0
mouse_sample_62-kraken2_refseqV205_100GB-0.15	0.35185185185185186
mouse_sample_62-kraken2_refseqV205_100GB-0.10	0.2676056338028169
mouse_sample_62-kraken2_refseqV205_100GB-0.20	0.36538461538461536
mouse_sample_62-kraken2_refseqV205_100GB-0.25	0.38
mouse_sample_62-kraken2_refseqV205_100GB-0.05	0.04513064133016627
mouse_sample_62-kraken2_refseqV205_100GB-0.00	0.013535031847133758
mouse_sample_62-kraken2_refseqV205_100GB-0.50	0
mouse_sample_62-kraken2_refseqV205_100GB-0.45	0
mouse_sample_62-kraken2_refseqV205_100GB-0.55	0
mouse_sample_62-kraken2_refseqV205_100GB-0.40	0.0
mouse_sample_62-kraken2_refseqV205_100GB-0.35	0.5555555555555556
mouse_sample_62-kraken2_refseqV205_100GB-0.30	0.39473684210526316
mouse_sample_62-kraken2_refseqV205_100GB-0.80	0
mouse_sample_62-kraken2_refseqV205_100GB-0.60	0
mouse_sample_62-kraken2_refseqV205_100GB-0.65	0
mouse_sample_62-kraken2_refseqV205_100GB-0.70	0
mouse_sample_62-kraken2_refseqV205_100GB-0.75	0
mouse_sample_62-kraken2_refseqV205_100GB-0.85	0
mouse_sample_62-kraken2_refseqV205_100GB-0.90	0
mouse_sample_62-kraken2_refseqV205_100GB-1.00	0
mouse_sample_62-kraken2_refseqV205_100GB-0.95	0
strain_sample_45-kraken2_refseqV205_100GB-0.05	0.04946996466431095
strain_sample_45-kraken2_refseqV205_100GB-0.10	0.4117647058823529
strain_sample_45-kraken2_refseqV205_100GB-0.00	0.012145748987854251
strain_sample_45-kraken2_refseqV205_100GB-0.40	0
strain_sample_45-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_45-kraken2_refseqV205_100GB-0.20	1.0
strain_sample_45-kraken2_refseqV205_100GB-0.15	0.8235294117647058
strain_sample_45-kraken2_refseqV205_100GB-0.35	1.0
strain_sample_45-kraken2_refseqV205_100GB-0.25	1.0
strain_sample_45-kraken2_refseqV205_100GB-0.45	0
strain_sample_45-kraken2_refseqV205_100GB-0.55	0
strain_sample_45-kraken2_refseqV205_100GB-0.60	0
strain_sample_45-kraken2_refseqV205_100GB-0.50	0
strain_sample_45-kraken2_refseqV205_100GB-0.70	0
strain_sample_45-kraken2_refseqV205_100GB-0.65	0
strain_sample_45-kraken2_refseqV205_100GB-0.75	0
strain_sample_45-kraken2_refseqV205_100GB-1.00	0
strain_sample_45-kraken2_refseqV205_100GB-0.80	0
strain_sample_45-kraken2_refseqV205_100GB-0.85	0
strain_sample_45-kraken2_refseqV205_100GB-0.90	0
strain_sample_45-kraken2_refseqV205_100GB-0.95	0
strain_sample_73-kraken2_refseqV205_100GB-0.15	0.875
strain_sample_73-kraken2_refseqV205_100GB-0.25	1.0
strain_sample_73-kraken2_refseqV205_100GB-0.10	0.42424242424242425
strain_sample_73-kraken2_refseqV205_100GB-0.20	0.9333333333333333
strain_sample_73-kraken2_refseqV205_100GB-0.05	0.04844290657439446
strain_sample_73-kraken2_refseqV205_100GB-0.00	0.012012012012012012
strain_sample_73-kraken2_refseqV205_100GB-0.45	0
strain_sample_73-kraken2_refseqV205_100GB-0.50	0
strain_sample_73-kraken2_refseqV205_100GB-0.35	0
strain_sample_73-kraken2_refseqV205_100GB-0.40	0
strain_sample_73-kraken2_refseqV205_100GB-0.55	0
strain_sample_73-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_73-kraken2_refseqV205_100GB-0.65	0
strain_sample_73-kraken2_refseqV205_100GB-0.75	0
strain_sample_73-kraken2_refseqV205_100GB-0.60	0
strain_sample_73-kraken2_refseqV205_100GB-0.70	0
strain_sample_73-kraken2_refseqV205_100GB-0.85	0
strain_sample_73-kraken2_refseqV205_100GB-0.80	0
strain_sample_73-kraken2_refseqV205_100GB-0.95	0
strain_sample_73-kraken2_refseqV205_100GB-0.90	0
strain_sample_73-kraken2_refseqV205_100GB-1.00	0
mouse_sample_54-kraken2_refseqV205_100GB-0.10	0.2641509433962264
mouse_sample_54-kraken2_refseqV205_100GB-0.05	0.07526881720430108
mouse_sample_54-kraken2_refseqV205_100GB-0.00	0.013302034428794992
mouse_sample_54-kraken2_refseqV205_100GB-0.40	0
mouse_sample_54-kraken2_refseqV205_100GB-0.30	0.45161290322580644
mouse_sample_54-kraken2_refseqV205_100GB-0.25	0.35384615384615387
mouse_sample_54-kraken2_refseqV205_100GB-0.35	0.8571428571428571
mouse_sample_54-kraken2_refseqV205_100GB-0.20	0.3684210526315789
mouse_sample_54-kraken2_refseqV205_100GB-0.15	0.30434782608695654
mouse_sample_54-kraken2_refseqV205_100GB-0.45	0
mouse_sample_54-kraken2_refseqV205_100GB-0.50	0
mouse_sample_54-kraken2_refseqV205_100GB-0.55	0
mouse_sample_54-kraken2_refseqV205_100GB-0.60	0
mouse_sample_54-kraken2_refseqV205_100GB-0.65	0
mouse_sample_54-kraken2_refseqV205_100GB-0.70	0
mouse_sample_54-kraken2_refseqV205_100GB-0.80	0
mouse_sample_54-kraken2_refseqV205_100GB-0.85	0
mouse_sample_54-kraken2_refseqV205_100GB-0.90	0
mouse_sample_54-kraken2_refseqV205_100GB-0.75	0
mouse_sample_54-kraken2_refseqV205_100GB-0.95	0
mouse_sample_54-kraken2_refseqV205_100GB-1.00	0
strain_sample_69-kraken2_refseqV205_100GB-0.10	0.30434782608695654
strain_sample_69-kraken2_refseqV205_100GB-0.25	0.8571428571428571
strain_sample_69-kraken2_refseqV205_100GB-0.20	0.8235294117647058
strain_sample_69-kraken2_refseqV205_100GB-0.15	0.5833333333333334
strain_sample_69-kraken2_refseqV205_100GB-0.05	0.04827586206896552
strain_sample_69-kraken2_refseqV205_100GB-0.00	0.011494252873563218
strain_sample_69-kraken2_refseqV205_100GB-0.35	0.0
strain_sample_69-kraken2_refseqV205_100GB-0.45	0
strain_sample_69-kraken2_refseqV205_100GB-0.50	0
strain_sample_69-kraken2_refseqV205_100GB-0.55	0
strain_sample_69-kraken2_refseqV205_100GB-0.40	0
strain_sample_69-kraken2_refseqV205_100GB-0.30	0.8888888888888888
strain_sample_69-kraken2_refseqV205_100GB-0.80	0
strain_sample_69-kraken2_refseqV205_100GB-0.85	0
strain_sample_69-kraken2_refseqV205_100GB-0.65	0
strain_sample_69-kraken2_refseqV205_100GB-0.70	0
strain_sample_69-kraken2_refseqV205_100GB-0.60	0
strain_sample_69-kraken2_refseqV205_100GB-0.75	0
strain_sample_69-kraken2_refseqV205_100GB-0.90	0
strain_sample_69-kraken2_refseqV205_100GB-0.95	0
