Sample name	Robust Aitchisons distance
mouse_sample_60-kraken2_refseqV208_nt-0.45	25.0500344221032
mouse_sample_60-kraken2_refseqV208_nt-0.55	27.214794616694785
mouse_sample_60-kraken2_refseqV208_nt-0.50	25.891575793553727
mouse_sample_60-kraken2_refseqV208_nt-0.30	22.316240631815557
mouse_sample_60-kraken2_refseqV208_nt-0.40	24.348049086405776
mouse_sample_60-kraken2_refseqV208_nt-0.35	22.71464250326047
mouse_sample_60-kraken2_refseqV208_nt-0.80	29.437150245053722
mouse_sample_60-kraken2_refseqV208_nt-0.65	27.680144753416577
mouse_sample_60-kraken2_refseqV208_nt-0.60	28.3731499766695
mouse_sample_60-kraken2_refseqV208_nt-0.75	30.34392622943072
mouse_sample_60-kraken2_refseqV208_nt-0.70	28.96945536494976
mouse_sample_60-kraken2_refseqV208_nt-0.85	28.088064567031704
strain_sample_81-kraken2_refseqV208_nt-0.10	3.486671096671144
mouse_sample_60-kraken2_refseqV208_nt-1.00	29.505285868053537
mouse_sample_60-kraken2_refseqV208_nt-0.90	30.00327359974452
mouse_sample_60-kraken2_refseqV208_nt-0.95	29.249099097866555
strain_sample_81-kraken2_refseqV208_nt-0.05	3.651327329210234
strain_sample_81-kraken2_refseqV208_nt-0.00	4.159292969576855
strain_sample_81-kraken2_refseqV208_nt-0.40	4.989582758046629
strain_sample_81-kraken2_refseqV208_nt-0.20	3.8940127702466043
strain_sample_81-kraken2_refseqV208_nt-0.25	4.14853949289012
strain_sample_81-kraken2_refseqV208_nt-0.30	4.343316484738414
strain_sample_81-kraken2_refseqV208_nt-0.15	3.701266697263778
strain_sample_81-kraken2_refseqV208_nt-0.35	4.59693248668575
strain_sample_81-kraken2_refseqV208_nt-0.50	5.605370942411484
strain_sample_81-kraken2_refseqV208_nt-0.60	8.498764119368419
strain_sample_81-kraken2_refseqV208_nt-0.55	6.473522525593873
strain_sample_81-kraken2_refseqV208_nt-0.45	5.353322610576916
strain_sample_81-kraken2_refseqV208_nt-0.65	4.7837691212571825
strain_sample_81-kraken2_refseqV208_nt-0.70	5.617147319213654
strain_sample_81-kraken2_refseqV208_nt-0.80	7.73848676944545
strain_sample_81-kraken2_refseqV208_nt-0.75	6.48593656639111
strain_sample_81-kraken2_refseqV208_nt-1.00	16.75886703497399
strain_sample_81-kraken2_refseqV208_nt-0.95	12.758182594147758
strain_sample_81-kraken2_refseqV208_nt-0.90	10.909607721565026
strain_sample_81-kraken2_refseqV208_nt-0.85	9.338817450810842
strain_sample_53-kraken2_refseqV208_nt-0.25	4.180285960888106
strain_sample_53-kraken2_refseqV208_nt-0.20	3.409195989955646
strain_sample_53-kraken2_refseqV208_nt-0.15	2.8751844730348184
strain_sample_53-kraken2_refseqV208_nt-0.10	2.380744207379935
strain_sample_53-kraken2_refseqV208_nt-0.05	2.312554202890583
strain_sample_53-kraken2_refseqV208_nt-0.00	3.116975934153534
strain_sample_53-kraken2_refseqV208_nt-0.30	4.62652778000589
strain_sample_53-kraken2_refseqV208_nt-0.50	6.232922041667273
strain_sample_53-kraken2_refseqV208_nt-0.55	6.92459350421023
strain_sample_53-kraken2_refseqV208_nt-0.45	5.756417823525664
strain_sample_53-kraken2_refseqV208_nt-0.40	5.346210501511217
strain_sample_53-kraken2_refseqV208_nt-0.35	4.944599479488029
strain_sample_53-kraken2_refseqV208_nt-0.85	11.113950815293412
strain_sample_53-kraken2_refseqV208_nt-0.75	8.160687946538177
strain_sample_53-kraken2_refseqV208_nt-0.70	7.188871396670394
strain_sample_53-kraken2_refseqV208_nt-0.60	7.865981173028891
strain_sample_53-kraken2_refseqV208_nt-0.65	8.35805655500809
strain_sample_53-kraken2_refseqV208_nt-0.80	9.5273904786112
strain_sample_53-kraken2_refseqV208_nt-1.00	17.712588621397963
strain_sample_53-kraken2_refseqV208_nt-0.95	14.321147564784381
strain_sample_53-kraken2_refseqV208_nt-0.90	12.71468501611424
mouse_sample_37-kraken2_refseqV208_nt-0.10	27.52859488802597
mouse_sample_37-kraken2_refseqV208_nt-0.05	25.33320792025087
mouse_sample_37-kraken2_refseqV208_nt-0.00	29.460037892282315
mouse_sample_37-kraken2_refseqV208_nt-0.15	26.99418230817389
mouse_sample_37-kraken2_refseqV208_nt-0.40	24.323801914012233
mouse_sample_37-kraken2_refseqV208_nt-0.20	28.185470320418577
mouse_sample_37-kraken2_refseqV208_nt-0.35	25.15109834984
mouse_sample_37-kraken2_refseqV208_nt-0.25	29.195723579124994
mouse_sample_37-kraken2_refseqV208_nt-0.30	28.200430952069844
mouse_sample_37-kraken2_refseqV208_nt-0.60	25.79035484752007
mouse_sample_37-kraken2_refseqV208_nt-0.50	26.437513748436892
mouse_sample_37-kraken2_refseqV208_nt-0.65	25.647328014785312
mouse_sample_37-kraken2_refseqV208_nt-0.70	27.643173475006755
mouse_sample_37-kraken2_refseqV208_nt-0.45	25.144481261351572
mouse_sample_37-kraken2_refseqV208_nt-0.55	24.761294322983304
mouse_sample_37-kraken2_refseqV208_nt-0.85	27.17075590358068
mouse_sample_37-kraken2_refseqV208_nt-1.00	34.062997250512055
