Sample name	Faith's phylogenetic diversity
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.55	1466.0
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.45	527.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.95	1120.5
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.25	746.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.05	5048.0
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.40	556.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.90	1158.5
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.95	477.5
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.00	7334.0
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.90	510.5
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.80	554.5
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.85	531.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.10	3345.0
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.80	1209.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.35	1802.0
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.30	1904.0
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.75	593.5
ani100_cLOW_stFalse_r6-kraken2_chocophlan-1.00	444.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.45	1609.0
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.65	445.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.35	459.5
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.85	372.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.55	572.0
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.90	364.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.05	1864.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.70	532.0
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.30	494.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.60	557.0
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.40	421.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.35	720.0
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.45	622.0
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.50	369.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.10	1078.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.15	756.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.25	565.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.65	539.0
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.45	384.5
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.95	339.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.50	591.0
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.95	444.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.75	505.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-1.00	426.5
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.70	427.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.85	467.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.90	456.5
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.75	408.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.10	1651.0
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.80	490.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.25	859.0
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.00	4702.0
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.40	669.0
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.80	394.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.00	7980.0
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.20	636.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.15	1147.0
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.05	3195.0
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.30	784.0
ani97_cLOW_stFalse_r9-kraken2_chocophlan-1.00	323.5
ani97_cLOW_stFalse_r2-kraken2_chocophlan-0.20	970.0
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.85	184.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.95	160.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.75	222.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.70	229.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.90	178.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.60	271.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.65	255.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.35	351.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.80	212.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.50	293.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.80	298.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.70	306.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.40	2403.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.60	322.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.20	3827.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.15	4798.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.25	3317.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.10	7026.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-1.00	134.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.55	278.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.05	1613.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.35	2602.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.00	11074.0
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.05	9870.0
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.20	435.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.55	341.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.95	264.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.15	532.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.10	692.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-1.00	253.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.45	307.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.90	270.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.85	279.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.75	301.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.25	404.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.00	2055.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.30	2907.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.40	334.5
ani95_cLOW_stFalse_r7-kraken2_chocophlan-0.65	313.5
UnAmbiguouslyMapped_ds.gut-kraken2_chocophlan-0.30	376.5
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.60	1732.0
Huttenhower_LC2-kraken2_chocophlan-0.00	5333.0
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.90	1347.5
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.65	1670.0
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.70	1598.0
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.45	2024.0
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.15	3704.0
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.35	2317.0
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.95	1336.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.70	1689.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.60	1884.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.90	1378.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.80	1519.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.50	2093.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.75	1602.5
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.55	1819.0
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.85	1445.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.55	1989.5
Huttenhower_LC2-kraken2_chocophlan-0.20	918.5
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.80	1458.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.65	1785.5
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.25	2815.0
Huttenhower_LC2-kraken2_chocophlan-0.30	479.5
ani100_cHIGH_stFalse_r1-kraken2_chocophlan-0.45	2203.5
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.40	2155.0
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.95	1295.5
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.75	1520.5
ani100_cHIGH_stTrue_r6-kraken2_chocophlan-0.10	5000.0
