Sample name	Faith's phylogenetic diversity
NegControl_LM-kraken2_standard_0521-0.10	57.0
NegControl_LM-kraken2_standard_0521-0.50	0
NegControl_LM-kraken2_standard_0521-0.85	0
NegControl_LM-kraken2_standard_0521-0.45	0
NegControl_LM-kraken2_standard_0521-0.40	0
NegControl_LM-kraken2_standard_0521-0.80	0
NegControl_LM-kraken2_standard_0521-0.60	0
NegControl_LM-kraken2_standard_0521-0.70	0
NegControl_LM-kraken2_standard_0521-0.65	0
NegControl_LM-kraken2_standard_0521-0.75	0
NegControl_LM-kraken2_standard_0521-0.55	0
NegControl_LM-kraken2_standard_0521-0.90	0
NegControl_LM-kraken2_standard_0521-1.00	0
NegControl_LM-kraken2_standard_0521-0.95	0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.25	1640.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.15	2900.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.20	2033.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.30	1404.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.10	4421.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.05	7414.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.00	9969.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.75	649.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.45	1023.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.70	686.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.40	1120.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.60	796.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.80	588.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.65	753.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.55	855.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.35	1227.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.50	944.0
ani100_cLOW_stFalse_r3-kraken2_standard_0521-0.85	556.0
Huttenhower_HC1-kraken2_standard_0521-0.25	1019.0
