Sample name	Simpson's diversity
strain_sample_73-kraken2_refseqV205_100GB-0.05	0.7681741018779495
strain_sample_73-kraken2_refseqV205_100GB-0.20	0.717893875013498
strain_sample_73-kraken2_refseqV205_100GB-0.00	0.7024542690119784
strain_sample_73-kraken2_refseqV205_100GB-0.30	0.5374598411348671
strain_sample_73-kraken2_refseqV205_100GB-0.35	nan
strain_sample_73-kraken2_refseqV205_100GB-0.45	nan
strain_sample_73-kraken2_refseqV205_100GB-0.40	nan
strain_sample_73-kraken2_refseqV205_100GB-0.55	nan
strain_sample_73-kraken2_refseqV205_100GB-0.50	nan
strain_sample_73-kraken2_refseqV205_100GB-0.85	nan
strain_sample_73-kraken2_refseqV205_100GB-0.75	nan
strain_sample_73-kraken2_refseqV205_100GB-0.70	nan
strain_sample_73-kraken2_refseqV205_100GB-0.60	nan
strain_sample_73-kraken2_refseqV205_100GB-0.65	nan
strain_sample_73-kraken2_refseqV205_100GB-0.80	nan
strain_sample_73-kraken2_refseqV205_100GB-0.95	nan
strain_sample_73-kraken2_refseqV205_100GB-1.00	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.10	0.6914685591002427
strain_sample_73-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.05	0.6961599673796783
mouse_sample_54-kraken2_refseqV205_100GB-0.00	0.830671802780159
mouse_sample_54-kraken2_refseqV205_100GB-0.25	0.6791062262820313
mouse_sample_54-kraken2_refseqV205_100GB-0.20	0.6974384974487183
mouse_sample_54-kraken2_refseqV205_100GB-0.15	0.6917802890006733
mouse_sample_54-kraken2_refseqV205_100GB-0.30	0.6886134936865989
mouse_sample_54-kraken2_refseqV205_100GB-0.40	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.35	0.3054467782128871
mouse_sample_54-kraken2_refseqV205_100GB-0.65	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.60	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.55	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.45	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.70	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.50	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.80	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.85	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.75	nan
mouse_sample_54-kraken2_refseqV205_100GB-0.95	nan
mouse_sample_54-kraken2_refseqV205_100GB-1.00	nan
strain_sample_69-kraken2_refseqV205_100GB-0.25	0.48118699941956045
strain_sample_69-kraken2_refseqV205_100GB-0.10	0.6592860498997493
strain_sample_69-kraken2_refseqV205_100GB-0.20	0.6165005756117939
strain_sample_69-kraken2_refseqV205_100GB-0.15	0.7039279817317989
strain_sample_69-kraken2_refseqV205_100GB-0.05	0.687776987223552
strain_sample_69-kraken2_refseqV205_100GB-0.00	0.794849350268567
strain_sample_69-kraken2_refseqV205_100GB-0.30	0.17079642987582166
strain_sample_69-kraken2_refseqV205_100GB-0.35	0.0
strain_sample_69-kraken2_refseqV205_100GB-0.40	nan
strain_sample_69-kraken2_refseqV205_100GB-0.45	nan
strain_sample_69-kraken2_refseqV205_100GB-0.50	nan
strain_sample_69-kraken2_refseqV205_100GB-0.55	nan
strain_sample_69-kraken2_refseqV205_100GB-0.80	nan
strain_sample_69-kraken2_refseqV205_100GB-0.70	nan
strain_sample_69-kraken2_refseqV205_100GB-0.75	nan
strain_sample_69-kraken2_refseqV205_100GB-0.60	nan
strain_sample_69-kraken2_refseqV205_100GB-0.85	nan
strain_sample_69-kraken2_refseqV205_100GB-0.65	nan
strain_sample_69-kraken2_refseqV205_100GB-0.90	nan
strain_sample_69-kraken2_refseqV205_100GB-0.95	nan
strain_sample_69-kraken2_refseqV205_100GB-1.00	nan
strain_sample_18-kraken2_refseqV205_100GB-0.10	0.46720856723815196
strain_sample_18-kraken2_refseqV205_100GB-0.05	0.5663756983603423
strain_sample_18-kraken2_refseqV205_100GB-0.00	0.6510671697968757
strain_sample_18-kraken2_refseqV205_100GB-0.20	0.38512147091346816
strain_sample_18-kraken2_refseqV205_100GB-0.25	0.153522301305122
strain_sample_18-kraken2_refseqV205_100GB-0.30	0.03537158862719936
strain_sample_18-kraken2_refseqV205_100GB-0.15	0.46603341450030955
strain_sample_18-kraken2_refseqV205_100GB-0.35	nan
strain_sample_18-kraken2_refseqV205_100GB-0.40	nan
strain_sample_18-kraken2_refseqV205_100GB-0.70	nan
strain_sample_18-kraken2_refseqV205_100GB-0.50	nan
strain_sample_18-kraken2_refseqV205_100GB-0.55	nan
strain_sample_18-kraken2_refseqV205_100GB-0.65	nan
strain_sample_18-kraken2_refseqV205_100GB-0.60	nan
strain_sample_18-kraken2_refseqV205_100GB-0.45	nan
strain_sample_18-kraken2_refseqV205_100GB-0.95	nan
strain_sample_18-kraken2_refseqV205_100GB-0.75	nan
strain_sample_18-kraken2_refseqV205_100GB-0.80	nan
strain_sample_18-kraken2_refseqV205_100GB-0.90	nan
strain_sample_18-kraken2_refseqV205_100GB-0.85	nan
strain_sample_18-kraken2_refseqV205_100GB-1.00	nan
mouse_sample_25-kraken2_refseqV205_100GB-0.25	0.8991101114647562
mouse_sample_25-kraken2_refseqV205_100GB-0.20	0.9007335540491113
mouse_sample_25-kraken2_refseqV205_100GB-0.10	0.9031852572259497
mouse_sample_25-kraken2_refseqV205_100GB-0.05	0.9027492418329555
mouse_sample_25-kraken2_refseqV205_100GB-0.15	0.9019339501184406
mouse_sample_25-kraken2_refseqV205_100GB-0.00	0.7810599543869543
mouse_sample_25-kraken2_refseqV205_100GB-0.30	0.8806153089155543
