Sample name	F1 score reads
mouse_sample_20-kraken2_refseqV205_500GB-0.50	0.011648552283881607
mouse_sample_20-kraken2_refseqV205_500GB-0.40	0.04899982706595073
mouse_sample_20-kraken2_refseqV205_500GB-0.30	0.11711473896090324
mouse_sample_20-kraken2_refseqV205_500GB-0.35	0.08115645735678699
mouse_sample_20-kraken2_refseqV205_500GB-0.70	2.0879993022351615e-05
mouse_sample_20-kraken2_refseqV205_500GB-0.65	0.0001928227231201063
mouse_sample_20-kraken2_refseqV205_500GB-0.60	0.0010434408214044057
mouse_sample_20-kraken2_refseqV205_500GB-0.85	0
mouse_sample_20-kraken2_refseqV205_500GB-0.75	3.129059691687731e-06
mouse_sample_20-kraken2_refseqV205_500GB-0.80	3.610467394861836e-07
mouse_sample_20-kraken2_refseqV205_500GB-0.90	0
mouse_sample_20-kraken2_refseqV205_500GB-0.95	0
mouse_sample_20-kraken2_refseqV205_500GB-1.00	0
strain_sample_76-kraken2_refseqV205_500GB-0.10	0.8156784983738051
strain_sample_76-kraken2_refseqV205_500GB-0.05	0.8379326676761407
strain_sample_76-kraken2_refseqV205_500GB-0.00	0.8260634539291727
strain_sample_76-kraken2_refseqV205_500GB-0.15	0.7653653883916341
strain_sample_76-kraken2_refseqV205_500GB-0.40	0.16924980165915324
strain_sample_76-kraken2_refseqV205_500GB-0.20	0.7237049465872817
strain_sample_76-kraken2_refseqV205_500GB-0.35	0.30448631517135033
strain_sample_76-kraken2_refseqV205_500GB-0.25	0.6307537070175545
strain_sample_76-kraken2_refseqV205_500GB-0.30	0.46773292807382133
strain_sample_76-kraken2_refseqV205_500GB-0.70	3.3048971966660198e-06
strain_sample_76-kraken2_refseqV205_500GB-0.60	0.002914276791193448
strain_sample_76-kraken2_refseqV205_500GB-0.55	0.011431440928543563
strain_sample_76-kraken2_refseqV205_500GB-0.65	0.0005646784329032115
strain_sample_76-kraken2_refseqV205_500GB-0.50	0.035738961509742616
strain_sample_76-kraken2_refseqV205_500GB-0.45	0.07854735446577908
strain_sample_76-kraken2_refseqV205_500GB-0.80	0
strain_sample_76-kraken2_refseqV205_500GB-0.85	0
strain_sample_76-kraken2_refseqV205_500GB-0.95	0
strain_sample_76-kraken2_refseqV205_500GB-1.00	0
strain_sample_76-kraken2_refseqV205_500GB-0.75	4.506684427009251e-07
strain_sample_76-kraken2_refseqV205_500GB-0.90	0
strain_sample_40-kraken2_refseqV205_500GB-0.25	0.6347502571849922
strain_sample_40-kraken2_refseqV205_500GB-0.20	0.7478696614494056
strain_sample_40-kraken2_refseqV205_500GB-0.15	0.7717941057064396
strain_sample_40-kraken2_refseqV205_500GB-0.10	0.7779137640321846
strain_sample_40-kraken2_refseqV205_500GB-0.05	0.8017072526848765
strain_sample_40-kraken2_refseqV205_500GB-0.00	0.7944194214834015
strain_sample_40-kraken2_refseqV205_500GB-0.45	0.0811698254767687
strain_sample_40-kraken2_refseqV205_500GB-0.35	0.31050272159771425
strain_sample_40-kraken2_refseqV205_500GB-0.40	0.173721370140625
strain_sample_40-kraken2_refseqV205_500GB-0.55	0.012022372316050774
strain_sample_40-kraken2_refseqV205_500GB-0.50	0.03706365218499006
strain_sample_40-kraken2_refseqV205_500GB-0.30	0.4739646694359596
strain_sample_40-kraken2_refseqV205_500GB-0.65	0.0006095937806115686
strain_sample_40-kraken2_refseqV205_500GB-0.85	0
strain_sample_40-kraken2_refseqV205_500GB-0.80	1.502290203858527e-07
strain_sample_40-kraken2_refseqV205_500GB-0.70	8.652817851724654e-05
strain_sample_40-kraken2_refseqV205_500GB-0.60	0.0030760085507847783
