,ani100_cHIGH_stFalse_r6,ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.90
1987584,820.0,0.0
199596,0.0,663.0
200,0.0,27881.0
2005388,0.0,63.0
2005459,79416.0,0.0
2005464,0.0,3.0
2005703,0.0,483.0
2009329,0.0,782.0
2011009,44228.0,0.0
2011014,16088.0,0.0
2014,0.0,466.0
2014920,0.0,2.0
2023189,72180.0,0.0
2025949,0.0,5.0
2026189,13686.0,1298.0
2026199,0.0,26.0
2029104,5322.0,0.0
2029403,28926.0,0.0
2029590,1412.0,0.0
2030797,0.0,32992.0
2033503,145140.0,0.0
2037914,6762.0,0.0
2039281,120692.0,0.0
2039870,0.0,10442.0
2042057,4010.0,2687.0
2048003,1534.0,0.0
2048283,37462.0,37120.0
2051,0.0,10.0
2054914,12978.0,12310.0
2055158,1928.0,0.0
2058137,13320.0,13610.0
2058924,6946.0,0.0
2059672,0.0,205.0
2067451,9484.0,0.0
2067667,3104.0,0.0
2067957,0.0,84.0
2067958,0.0,6.0
2070537,2344.0,1570.0
2072410,8522.0,0.0
2073078,0.0,5.0
2077092,119032.0,0.0
2081702,88.0,68.0
208479,0.0,44.0
2086584,0.0,92.0
2094024,16534.0,0.0
2098,0.0,1772.0
2110,0.0,2229.0
2116499,7504.0,0.0
2135616,334.0,0.0
2135771,2136.0,0.0
214,0.0,51.0
2151,0.0,33.0
2161872,0.0,7.0
216465,0.0,41.0
216816,0.0,17.0
2175619,5746.0,0.0
2183553,4128.0,0.0
2183911,1212.0,1090.0
2184016,31570.0,0.0
2184581,0.0,112.0
219572,0.0,23.0
2200953,44106.0,0.0
2201999,0.0,45.0
2202141,0.0,401.0
221109,13062.0,0.0
2211140,0.0,1.0
2213194,0.0,1.0
2217867,0.0,896.0
221822,0.0,94.0
2233998,0.0,1266.0
2267833,0.0,248.0
2305220,0.0,9.0
2315,0.0,589.0
232259,0.0,14.0
244734,0.0,94.0
246,0.0,75.0
2478912,0.0,248.0
2482769,0.0,1060.0
2483110,0.0,43.0
2487065,0.0,236.0
2487072,0.0,61.0
2488810,0.0,1.0
249188,942.0,1290.0
2493671,0.0,67.0
2493677,0.0,5.0
2493680,0.0,237.0
2508306,0.0,400.0
2508307,0.0,44.0
252307,0.0,7898.0
253,0.0,20.0
253108,6992.0,0.0
253237,0.0,1375.0
254,0.0,1489.0
2546356,0.0,158700.0
256,0.0,2.0
2564099,0.0,2.0
2570561,0.0,10.0
2575374,0.0,34.0
2576902,0.0,2.0
2580515,0.0,12.0
2582831,0.0,41.0
2587855,0.0,1416.0
2587861,0.0,4.0
2594457,0.0,94.0
2601898,0.0,18.0
2604832,0.0,14.0
260554,2630.0,489.0
2606450,0.0,2.0
2609808,0.0,1758.0
2609809,0.0,2786.0
261292,0.0,2.0
261299,362334.0,0.0
261302,0.0,39.0
2613773,0.0,5.0
264462,19256.0,0.0
2650157,0.0,5100.0
2650158,0.0,2.0
2653200,0.0,3.0
2653681,0.0,3.0
266,0.0,10.0
2663022,0.0,21854.0
2670329,79436.0,0.0
2686304,0.0,72.0
269660,0.0,12.0
269673,0.0,52139.0
2706126,0.0,8.0
2706887,0.0,9.0
2710596,0.0,8.0
2713414,0.0,8.0
2715212,0.0,2.0
2715960,0.0,12.0
2721173,0.0,219.0
272131,0.0,24.0
2724619,0.0,15.0
2724901,0.0,208.0
2726956,0.0,45.0
2726989,0.0,95.0
2728021,0.0,1.0
2728023,0.0,92.0
273035,650.0,0.0
2730851,0.0,187.0
2732163,0.0,42.0
2735434,0.0,16.0
2735906,0.0,2455.0
2741499,16138.0,7263.0
2741720,0.0,8.0
2742133,0.0,89.0
2745199,0.0,7.0
2754694,0.0,846.0
2755405,0.0,19.0
2763022,0.0,24.0
2767188,0.0,74.0
277,0.0,124.0
2771361,0.0,1.0
2795526,0.0,2.0
28025,0.0,702.0
28026,0.0,47.0
28038,0.0,12.0
2804758,0.0,331.0
28066,19204.0,0.0
28104,0.0,2721.0
2810537,0.0,6.0
28108,0.0,281.0
28116,0.0,638.0
2812000,0.0,12.0
28131,0.0,1.0
28132,0.0,2.0
2814655,0.0,1.0
28151,0.0,178.0
28172,0.0,24.0
28229,0.0,4.0
283686,0.0,6.0
285450,0.0,28.0
287,0.0,41618.0
288000,55180.0,48705.0
290318,13716.0,0.0
291045,20910.0,0.0
292414,39534.0,57234.0
29284,0.0,323.0
29313,32442.0,0.0
293387,0.0,6204.0
29347,0.0,10.0
29364,15612.0,0.0
29518,0.0,1430.0
300,0.0,1260.0
301,0.0,852.0
303,0.0,359.0
306541,2626.0,0.0
311410,8230.0,0.0
313596,8002.0,0.0
314285,1024.0,0.0
315405,0.0,10.0
316,0.0,4461.0
319652,486.0,0.0
319706,0.0,16.0
31998,0.0,10.0
32049,40250.0,36337.0
32057,6084.0,0.0
321662,0.0,832.0
326427,4670.0,0.0
326537,2476.0,0.0
329,0.0,174.0
33007,2858.0,0.0
33033,0.0,2507.0
334542,2354.0,2325.0
334852,0.0,194.0
336203,0.0,3.0
337191,26004.0,21687.0
338217,2508.0,0.0
339,0.0,3.0
33945,0.0,22.0
339866,250.0,0.0
34007,12478.0,0.0
342955,590.0,0.0
346222,1382.0,0.0
347257,3248.0,0.0
351679,0.0,23.0
357276,0.0,2.0
35746,0.0,35.0
35757,0.0,8.0
358,0.0,117.0
35806,84.0,14.0
35841,20900.0,14122.0
367477,252.0,228.0
36809,0.0,22.0
36845,0.0,778.0
36873,0.0,46.0
36875,102.0,0.0
370959,3294.0,0.0
371601,0.0,297.0
375929,0.0,101.0
37734,0.0,22.0
37752,38670.0,0.0
38313,0.0,235.0
384,0.0,6.0
38502,562.0,0.0
386456,158.0,0.0
387090,0.0,45.0
388413,3682.0,3242.0
391595,1618.0,0.0
391597,732.0,0.0
391615,16658.0,0.0
391937,26468.0,0.0
393662,0.0,4790.0
394751,0.0,1062.0
395964,14202.0,0.0
395965,766.0,0.0
397948,1682.0,0.0
39960,0.0,10.0
401472,614.0,862.0
40324,0.0,6225.0
405212,0.0,1.0
40542,0.0,8.0
40576,0.0,115.0
40988,0.0,265.0
411555,2526.0,0.0
413889,0.0,2204.0
414703,10774.0,0.0
414771,1946.0,2783.0
417367,0.0,11031.0
417368,0.0,18.0
418223,0.0,29.0
419015,3100.0,0.0
42197,21936.0,16899.0
42354,5136.0,0.0
42443,0.0,1709.0
42444,0.0,4881.0
42684,0.0,5.0
430914,0.0,166567.0
43675,0.0,2.0
43770,0.0,6.0
438751,49536.0,0.0
43948,0.0,555.0
446692,0.0,6.0
44930,0.0,1.0
450734,0.0,35.0
451,3490.0,3303.0
451876,0.0,68402.0
452084,81382.0,0.0
456327,0.0,217.0
457570,112.0,0.0
460,52.0,0.0
470,36.0,50.0
476157,772.0,802.0
47770,0.0,26.0
47834,0.0,315.0
48076,0.0,115.0
482462,0.0,35.0
48408,2044.0,0.0
487796,938.0,0.0
492670,1382.0,1021.0
504798,124942.0,0.0
509191,6114.0,0.0
51173,0.0,10.0
51515,4586.0,4595.0
515440,93200.0,0.0
51669,0.0,36.0
519,0.0,2.0
520455,17128.0,0.0
525897,4294.0,0.0
529,0.0,13538.0
529505,1324.0,0.0
53345,0.0,13.0
53376,1276.0,823.0
53462,0.0,1.0
536,0.0,301.0
53953,0.0,11982.0
540747,0.0,192.0
54291,0.0,128418.0
551459,20466.0,0.0
55209,19080.0,165.0
553151,0.0,6.0
553510,9676.0,15396.0
554,0.0,86.0
554344,289474.0,57574.0
554406,0.0,206.0
55601,0.0,3.0
556530,86838.0,0.0
558541,0.0,30.0
561184,0.0,1286.0
561879,0.0,614.0
564137,0.0,1.0
56450,0.0,48127.0
56454,0.0,164.0
568701,1670.0,0.0
56877,0.0,51.0
56878,1988.0,0.0
572544,9766.0,0.0
572547,44.0,0.0
579484,5694.0,0.0
589437,0.0,6.0
591197,0.0,6318.0
592316,0.0,99.0
59405,0.0,30.0
595494,120.0,0.0
60890,0.0,68.0
614,0.0,131.0
615,0.0,26877.0
617001,11156.0,0.0
630921,4522.0,0.0
632348,2578.0,0.0
644,11762.0,11082.0
647171,3512.0,0.0
648995,0.0,45.0
65393,183664.0,0.0
653930,22618.0,0.0
656366,0.0,4.0
663,9064.0,11103.0
66430,6984.0,0.0
666,0.0,20.0
666684,928.0,0.0
66871,0.0,3.0
669,0.0,7.0
670,0.0,71.0
67081,0.0,3.0
67256,30636.0,0.0
675816,7476.0,0.0
676,0.0,3.0
68194,253348.0,0.0
683354,6700.0,0.0
68570,0.0,60.0
691,0.0,50.0
694055,10290.0,0.0
698828,3306.0,3092.0
702967,0.0,2.0
70601,12434.0,0.0
709839,13818.0,0.0
712633,0.0,195.0
717772,21288.0,0.0
72361,1744.0,890.0
729,936.0,783.0
732,0.0,1.0
74426,0.0,43.0
745377,4646.0,4108.0
754417,0.0,63.0
754423,0.0,7.0
754435,1079312.0,0.0
754477,0.0,2571.0
755731,12946.0,10864.0
756272,3840.0,0.0
756892,0.0,28.0
758825,39264.0,0.0
760142,21934.0,0.0
76258,0.0,266.0
763057,2132.0,0.0
76760,0.0,1800.0
768491,20220.0,0.0
768706,32024.0,0.0
76887,0.0,1655.0
77635,0.0,22.0
795665,0.0,7001.0
797277,0.0,127.0
81468,0.0,42.0
818,0.0,83.0
821,0.0,5.0
823,0.0,6.0
82367,0.0,90.0
82380,0.0,10.0
84030,0.0,108.0
84405,0.0,19166.0
853,0.0,5.0
85693,0.0,7646.0
85968,12014.0,0.0
860,42542.0,28555.0
863372,0.0,5.0
863522,97940.0,0.0
864051,1102.0,0.0
865938,180.0,0.0
869889,0.0,1.0
870903,0.0,4.0
87791,0.0,110.0
88382,20302.0,0.0
888425,684.0,0.0
89784,5908.0,0.0
899,0.0,3856.0
908285,11488.0,0.0
92245,0.0,25643.0
92401,302.0,257.0
929833,0.0,1.0
935948,32286.0,0.0
937775,392.0,0.0
942866,762.0,0.0
944565,6542.0,0.0
945713,7436.0,0.0
946078,67440.0,0.0
948,16158.0,7822.0
959,0.0,18274.0
9606,0.0,22.0
96345,0.0,11.0
97138,2680.0,0.0
98228,0.0,1.0
985002,3080.0,1301.0
986,0.0,283.0
997888,20340.0,0.0
999549,43196.0,0.0
