Sample name	L1 distance
marine_sample_9-kraken2_refseqV205-0.10	41431882.0
marine_sample_9-kraken2_refseqV205-0.05	42142733.0
marine_sample_9-kraken2_refseqV205-0.00	42727534.0
marine_sample_9-kraken2_refseqV205-0.55	28828007.0
marine_sample_9-kraken2_refseqV205-0.70	27606026.0
marine_sample_9-kraken2_refseqV205-0.60	27866524.0
marine_sample_9-kraken2_refseqV205-0.85	29331843.0
marine_sample_9-kraken2_refseqV205-0.45	31592885.0
marine_sample_9-kraken2_refseqV205-0.65	27281239.0
marine_sample_9-kraken2_refseqV205-0.90	29760723.0
marine_sample_9-kraken2_refseqV205-0.75	28112231.0
marine_sample_9-kraken2_refseqV205-0.80	28775430.0
marine_sample_9-kraken2_refseqV205-0.50	30211866.0
marine_sample_9-kraken2_refseqV205-0.95	30134324.0
marine_sample_9-kraken2_refseqV205-1.00	30418626.0
marine_sample_2-kraken2_refseqV205-0.35	37949632.0
marine_sample_2-kraken2_refseqV205-0.25	41468029.0
marine_sample_2-kraken2_refseqV205-0.30	39828362.0
marine_sample_2-kraken2_refseqV205-0.20	42728023.0
marine_sample_2-kraken2_refseqV205-0.45	34216167.0
marine_sample_2-kraken2_refseqV205-0.55	31348234.0
marine_sample_2-kraken2_refseqV205-0.40	35864224.0
marine_sample_2-kraken2_refseqV205-0.50	32889617.0
marine_sample_2-kraken2_refseqV205-0.15	43833834.0
marine_sample_2-kraken2_refseqV205-0.10	44696755.0
marine_sample_2-kraken2_refseqV205-0.05	45286958.0
marine_sample_2-kraken2_refseqV205-0.00	45822460.0
marine_sample_2-kraken2_refseqV205-0.90	30928977.0
marine_sample_2-kraken2_refseqV205-1.00	31687810.0
marine_sample_2-kraken2_refseqV205-0.65	29234042.0
marine_sample_2-kraken2_refseqV205-0.60	30123647.0
marine_sample_2-kraken2_refseqV205-0.70	28804399.0
marine_sample_2-kraken2_refseqV205-0.95	31354983.0
marine_sample_2-kraken2_refseqV205-0.80	29848907.0
marine_sample_2-kraken2_refseqV205-0.75	29154060.0
marine_sample_2-kraken2_refseqV205-0.85	30428102.0
plant_sample_18-kraken2_refseqV205-0.10	40671088.0
plant_sample_18-kraken2_refseqV205-0.05	41765559.0
plant_sample_18-kraken2_refseqV205-0.00	43128830.0
plant_sample_18-kraken2_refseqV205-0.40	32021809.0
plant_sample_18-kraken2_refseqV205-0.35	33727482.0
plant_sample_18-kraken2_refseqV205-0.30	35485201.0
plant_sample_18-kraken2_refseqV205-0.25	37119379.0
plant_sample_18-kraken2_refseqV205-0.20	38309140.0
plant_sample_18-kraken2_refseqV205-0.70	26848010.0
plant_sample_18-kraken2_refseqV205-0.65	26957232.0
plant_sample_18-kraken2_refseqV205-0.55	28080571.0
plant_sample_18-kraken2_refseqV205-0.45	30679638.0
plant_sample_18-kraken2_refseqV205-0.50	29528538.0
plant_sample_18-kraken2_refseqV205-0.60	27084083.0
plant_sample_18-kraken2_refseqV205-0.15	39564433.0
plant_sample_18-kraken2_refseqV205-0.75	27196021.0
