Sample name	Recall taxa
strain_sample_48-kraken2_refseqV205_100GB-0.95	0
strain_sample_48-kraken2_refseqV205_100GB-1.00	0
strain_sample_48-kraken2_refseqV205_100GB-0.90	0
marine_sample_1-kraken2_refseqV205_100GB-0.10	0.9504950495049505
marine_sample_1-kraken2_refseqV205_100GB-0.30	0.3234323432343234
marine_sample_1-kraken2_refseqV205_100GB-0.40	0.009900990099009901
marine_sample_1-kraken2_refseqV205_100GB-0.15	0.9438943894389439
marine_sample_1-kraken2_refseqV205_100GB-0.25	0.7656765676567657
marine_sample_1-kraken2_refseqV205_100GB-0.35	0.066006600660066
marine_sample_1-kraken2_refseqV205_100GB-0.20	0.8877887788778878
marine_sample_1-kraken2_refseqV205_100GB-0.05	0.9702970297029703
marine_sample_1-kraken2_refseqV205_100GB-0.00	0.9306930693069307
marine_sample_1-kraken2_refseqV205_100GB-0.60	0
marine_sample_1-kraken2_refseqV205_100GB-0.55	0
marine_sample_1-kraken2_refseqV205_100GB-0.70	0
marine_sample_1-kraken2_refseqV205_100GB-0.65	0
marine_sample_1-kraken2_refseqV205_100GB-0.45	0
marine_sample_1-kraken2_refseqV205_100GB-0.85	0
marine_sample_1-kraken2_refseqV205_100GB-0.75	0
marine_sample_1-kraken2_refseqV205_100GB-0.50	0
marine_sample_1-kraken2_refseqV205_100GB-1.00	0
marine_sample_1-kraken2_refseqV205_100GB-0.90	0
marine_sample_1-kraken2_refseqV205_100GB-0.80	0
marine_sample_1-kraken2_refseqV205_100GB-0.95	0
strain_sample_77-kraken2_refseqV205_100GB-0.40	0
strain_sample_77-kraken2_refseqV205_100GB-0.50	0
strain_sample_77-kraken2_refseqV205_100GB-0.10	0.8
strain_sample_77-kraken2_refseqV205_100GB-0.35	0
strain_sample_77-kraken2_refseqV205_100GB-0.45	0
strain_sample_77-kraken2_refseqV205_100GB-0.15	0.65
strain_sample_77-kraken2_refseqV205_100GB-0.25	0.25
strain_sample_77-kraken2_refseqV205_100GB-0.30	0.1
strain_sample_77-kraken2_refseqV205_100GB-0.55	0
strain_sample_77-kraken2_refseqV205_100GB-0.20	0.4
strain_sample_77-kraken2_refseqV205_100GB-0.05	0.95
strain_sample_77-kraken2_refseqV205_100GB-0.00	0.7
strain_sample_77-kraken2_refseqV205_100GB-0.60	0
strain_sample_77-kraken2_refseqV205_100GB-0.65	0
strain_sample_77-kraken2_refseqV205_100GB-0.75	0
strain_sample_77-kraken2_refseqV205_100GB-0.70	0
strain_sample_77-kraken2_refseqV205_100GB-1.00	0
strain_sample_77-kraken2_refseqV205_100GB-0.80	0
strain_sample_77-kraken2_refseqV205_100GB-0.85	0
strain_sample_46-kraken2_refseqV205_100GB-0.10	0.8
strain_sample_77-kraken2_refseqV205_100GB-0.95	0
strain_sample_46-kraken2_refseqV205_100GB-0.05	0.95
strain_sample_77-kraken2_refseqV205_100GB-0.90	0
strain_sample_46-kraken2_refseqV205_100GB-0.00	0.7
strain_sample_46-kraken2_refseqV205_100GB-0.35	0
strain_sample_46-kraken2_refseqV205_100GB-0.40	0
strain_sample_46-kraken2_refseqV205_100GB-0.30	0.05
strain_sample_46-kraken2_refseqV205_100GB-0.45	0
strain_sample_46-kraken2_refseqV205_100GB-0.20	0.4
strain_sample_46-kraken2_refseqV205_100GB-0.25	0.3
strain_sample_46-kraken2_refseqV205_100GB-0.15	0.5
strain_sample_46-kraken2_refseqV205_100GB-0.50	0
strain_sample_46-kraken2_refseqV205_100GB-0.55	0
strain_sample_46-kraken2_refseqV205_100GB-0.60	0
strain_sample_46-kraken2_refseqV205_100GB-0.70	0
strain_sample_46-kraken2_refseqV205_100GB-0.65	0
