Sample,kraken2_chocophlan,kraken2_refseqV93,kraken2_refseqV205,kraken2_refseqV208_nt,kraken2_minikraken,kraken2_standard_0521,kraken2_GTDBr202RefSeqV205
ani95_cLOW_stFalse_r0,0.6815928635397986,0.9011366719157166,0.950434978757848,0.9351298293413555,0.4162446069619744,0.7191704510730504,0.8161892069382315
ani100_cLOW_stTrue_r5,0.7112373651695465,0.9649519749656964,0.9989109992221423,0.9043042173601552,0.6212720151942965,0.6541886101347215,0.8035325739518385
ani100_cLOW_stTrue_r4,0.767796548426106,0.9996251425893876,1.0,0.949904392788852,0.7512405366003833,0.7734735524811089,0.8169020120728657
ani95_cLOW_stFalse_r1,0.6357089612260111,0.7483133576247549,0.9928245734786932,0.9159935954304013,0.4609624397250172,0.6124229678791521,0.6678686663232382
ani97_cLOW_stFalse_r2,0.9548180976752405,0.9981617124474267,0.9996328567757139,0.97724454867312,0.7702541988256274,0.8857061714204572,0.9646429646429646
ani97_cHIGH_stTrue_r8,0.6572733796104828,0.9926615703802243,0.9998704285529184,0.9474241353463051,0.6291933755990536,0.7155663879380554,0.8142308306044044
ani97_cLOW_stFalse_r0,0.7130579801180085,0.946942451310378,0.9988634290585304,0.9651728720687691,0.6784124235375327,0.7244909752181535,0.7707696696701416
ani95_cLOW_stFalse_r3,0.9038401153828901,0.9565627018750577,0.9912041403440401,0.9827695665055904,0.7146260613217318,0.8987751139357468,0.9454464129846895
ani100_cLOW_stTrue_r6,0.8572896938985277,1.0,0.9990995712999388,0.8054144007734858,0.6362138051734008,0.61903665986238,0.8449561207080173
ani100_cLOW_stTrue_r7,0.57846293978042,0.9796638542376934,0.999890714270102,0.9814237116319589,0.45993963713423386,0.578194796884971,0.6127116589588084
ani95_cLOW_stFalse_r2,0.803931,0.9949394285714286,1.0,0.9892884285714286,0.6418885714285715,0.7286317142857143,0.985762
ani97_cLOW_stFalse_r1,0.34129062018437434,0.9998288571184082,1.0,0.958080708297244,0.3282833326119047,0.34688390669770097,0.389288912755559
ani99_cLOW_stTrue_r8,0.7336475240339457,0.999468999620714,0.9997848569891835,0.9624548303248788,0.7422743873388481,0.774961410686722,0.8264391617422584
ani99_cHIGH_stTrue_r9,0.8101316275001318,0.9983042811116202,0.996490847618015,0.9631131855929324,0.7881044248548674,0.8272992455265236,0.8778663827801818
ani100_cHIGH_stFalse_r5,0.4165202739140901,0.9933947190037722,0.9909344350468321,0.8058642815255131,0.09162964883596511,0.16586488152508463,0.660573242447684
ani99_cLOW_stFalse_r3,0.6623365231909318,0.8058316865473838,1.0,0.9765322823617546,0.544731934961705,0.9164545594935085,0.96981470997353
ani100_cHIGH_stTrue_r0,0.591946096069305,0.9526092037881666,0.9928375806373964,0.9031698387816358,0.47701481526666606,0.566916699678529,0.7014425267167513
ani95_cLOW_stTrue_r6,0.6716772857142858,0.9960791428571428,0.9991255714285714,0.948906,0.6422342857142858,0.6664984285714286,0.7095495714285714
ani95_cLOW_stTrue_r7,0.5391381863298669,0.9854307246923395,0.9980391442577541,0.9721284484796796,0.8216444131111335,0.8932916476488231,0.8951110749206608
ani100_cHIGH_stTrue_r1,0.3346674291431839,0.9993494282926121,0.9967419986037137,0.7772784759764897,0.4270897544670376,0.46827577211818805,0.5647020991580425
ani99_cLOW_stFalse_r2,0.7658076473736135,0.999705999916,1.0,0.9538117010890574,0.5104100029742865,0.6222424634978467,0.8104982315709233
ani99_cHIGH_stTrue_r8,0.6657722880141166,0.980652049751872,0.9828814725904991,0.9414042935318166,0.7257714194449214,0.7685570237105105,0.7960075245520797
ani100_cHIGH_stFalse_r4,0.5722860611019913,0.9903112870983876,0.9901375728374896,0.7484261787962602,0.21578225488824931,0.22082568273918818,0.7644156050834849
ani99_cLOW_stTrue_r9,0.7014866268724265,0.9985817159066104,0.9830647336403044,0.9322669345520748,0.7141198981486878,0.7922193803207082,0.7992548008516561
ani97_cHIGH_stFalse_r8,0.725594907652778,0.9468716687471447,0.9995879996468569,0.9738529775882665,0.5660923423648648,0.736629202825031,0.9128593538794462
ani100_cHIGH_stFalse_r6,0.6480386799723714,0.9960944313611204,0.9944682896655074,0.6193881290084793,0.12282991226434838,0.1477088944936468,0.8663468097522787
ani99_cLOW_stFalse_r0,0.26611942857142856,1.0,1.0,0.9205115714285714,0.175645,0.22364514285714285,0.871383
ani100_cHIGH_stTrue_r3,0.6492587292068035,0.9941287193182405,0.9991417150213872,0.9217459242177792,0.4567358942263764,0.5822492152149584,0.7457030751116499
ani95_cLOW_stTrue_r5,0.8211334541237922,0.993099286700102,0.9976341431951224,0.9651625764053462,0.424703082185274,0.6266816247597679,0.9267102961842434
ani100_cLOW_stFalse_r9,0.5654573851960222,0.9996831427213468,0.9997774284760408,0.7204681659149282,0.18429607898403386,0.1871883659378711,0.7498994642426275
ani100_cLOW_stFalse_r8,0.7295091814986884,0.998402714513898,0.9998645714479184,0.8853784449459364,0.2991905286870673,0.5916802011885427,0.8890333015666712
ani95_cLOW_stTrue_r4,0.7450824706082521,0.9689520399188059,0.9782841707774947,0.9420643602029655,0.6416546035869383,0.7326563437275581,0.8998229859418753
ani100_cHIGH_stTrue_r2,0.6692766726323945,0.9833148190053006,0.9968702785606367,0.9487104541953238,0.5165150377486577,0.586830912756372,0.759883451162174
ani99_cLOW_stFalse_r1,0.6210801623942162,0.9737375826838931,1.0,0.9688984419006678,0.2991804432083815,0.4649270864598201,0.679041994696288
ani100_cHIGH_stFalse_r7,0.42612228571428573,0.9890475714285715,0.9586735714285715,0.5665768571428571,0.1887852857142857,0.239936,0.7371657142857143
ani97_cHIGH_stFalse_r9,0.776993365863777,0.9818647324209818,1.0,0.9397212031359398,0.6112478173236112,0.7231722768277232,0.8641138501718642
ani100_cHIGH_stFalse_r3,0.4198884056824016,0.9738787068224877,0.9811099946028556,0.47545699298771227,0.07780130794323084,0.09136459753274215,0.8531656723330492
ani99_cLOW_stFalse_r5,0.8389996174286808,0.9547327272192208,1.0,0.9454911584310975,0.5981111148253958,0.6185171089951117,0.8538696131801106
ani95_cLOW_stTrue_r0,0.607707689017581,0.986021994009426,0.9995747141034489,0.9752164179498934,0.6692382868164086,0.7625254696537727,0.8122224909524961
ani100_cHIGH_stTrue_r6,0.5252588354924267,0.9960050034242828,0.9980550016671415,0.863871830967002,0.49473286165754715,0.5174109850762985,0.605271766909914
ani100_cHIGH_stTrue_r7,0.4776364968052138,0.9851708550244078,0.9898217128316733,0.8654568379224055,0.42040120291445754,0.442595491799356,0.5539360791337256
ani95_cLOW_stTrue_r1,0.5972402003942571,0.9239985822859168,0.9277707246041822,0.8589324487239359,0.4755606463484791,0.8086787416173227,0.8119203125828125
ani99_cLOW_stFalse_r4,0.6016243716606245,0.9888308555472651,1.0,0.8801531257361608,0.43990563427223345,0.4872586410369487,0.7824102546300363
ani100_cHIGH_stFalse_r2,0.301302043043149,0.9975938567991224,0.9677291382470198,0.8346215478030783,0.1581194511599216,0.15461387923055417,0.48161635451662205
ani100_cHIGH_stFalse_r0,0.6265564475403197,0.988284848774892,0.9863465616761155,0.7632748309105936,0.11039507885362776,0.12624994732139094,0.7491132493666067
ani99_cLOW_stFalse_r6,0.6551895172511527,0.9958005690288966,0.9960364263065293,0.7815401608800919,0.6139800651314657,0.6363665064951466,0.744163425236243
ani95_cLOW_stTrue_r3,0.5903937796624745,0.9614820330154003,0.9770594482347587,0.9470393311091447,0.6628027175976706,0.6974551164670431,0.7552704954824324
ani100_cHIGH_stTrue_r5,0.6653014758004216,0.9965214275775507,0.9918334262381218,0.930013265718076,0.6008253145215184,0.6738161925189121,0.7731820780520223
ani97_cLOW_stTrue_r9,0.7529588571428572,0.9994744285714285,0.9996694285714286,0.9807228571428571,0.6598478571428571,0.8070411428571429,0.8319682857142857
ani97_cLOW_stTrue_r8,0.6518914095746694,0.9981749976535684,0.9985738553092426,0.8848135661888709,0.6386759640119537,0.7158820632769385,0.7275742211668558
ani100_cHIGH_stTrue_r4,0.511493123154646,0.9024124530072234,0.9992164299146916,0.8822159162012865,0.4252012710835353,0.47250633284628657,0.5760740124445501
ani95_cLOW_stTrue_r2,0.8313066678247613,0.9958001452570598,0.9989498577429384,0.9888262920992617,0.8754863568649389,0.9208159023909129,0.9401501770570417
ani99_cLOW_stFalse_r7,0.4865072085030894,0.98279270691116,0.9957704267587544,0.5526415225606526,0.33610271547259235,0.42497789641909844,0.5303015129863627
ani100_cHIGH_stFalse_r1,0.4485259359248663,0.9927192867543876,0.9907774298889386,0.6921513296926672,0.15428583510202357,0.15632912052441136,0.5891532015495426
ani99_cHIGH_stTrue_r0,0.7958338250004214,0.9961211395324053,0.9974485692416308,0.9569846774154378,0.778496381568327,0.8082751213786755,0.8630097397226341
ani97_cHIGH_stFalse_r2,0.7854098258781983,0.9297852781113103,0.9990009978592811,0.989172833941787,0.4878769025933627,0.6517313965672784,0.8621748475175304
ani99_cLOW_stTrue_r1,0.7155066354437382,0.9891188322716166,0.9839409632936303,0.9111573683596991,0.6588176487260542,0.7437725571944165,0.7508262876029431
ani100_cHIGH_stTrue_r9,0.7183901830871167,0.9941918579725917,0.9834347166521833,0.9285830102024271,0.6981701859756877,0.7402890371015661,0.8111528841210166
ani97_cLOW_stTrue_r5,0.6276234680335258,0.9980194257420367,1.0,0.9485250693215276,0.6997008567155096,0.739716056737224,0.760528086468695
ani100_cLOW_stFalse_r3,0.39359962765708967,0.9876317125188161,0.9823834260547751,0.8442709777529969,0.18355716907959557,0.2191604598800657,0.6225718032245433
ani97_cLOW_stTrue_r4,0.8745641060219869,0.9857311061657016,0.9997195707074675,0.943814712666404,0.8391504435297119,0.8861908502050434,0.8981671667155715
ani100_cLOW_stFalse_r2,0.590718545508987,0.9856761469496723,0.977676577806692,0.5513868424609022,0.027551563556696128,0.11149096814543767,0.8291991916573738
ani100_cHIGH_stTrue_r8,0.5598999486571868,0.990030008545707,0.9731693087120211,0.8572861223261808,0.4414241930649774,0.4727784519041841,0.6965256886922668
ani97_cHIGH_stFalse_r3,0.6816731171317992,0.9823416017001114,0.9954264364118233,0.9781867516798542,0.8039659074870157,0.87303050337628,0.9553476479754606
ani99_cLOW_stTrue_r0,0.5066336419094797,0.9948852864449591,0.998194000258,0.8861995876857732,0.6264043390850944,0.6419017654426049,0.6620491911358298
ani99_cHIGH_stTrue_r1,0.5867223104920887,0.9974565707018773,0.9963498560999589,0.9133238323782378,0.6641496183284624,0.7160106331458952,0.7723906492544712
ani99_cHIGH_stTrue_r3,0.7808029647966117,0.995585862187586,0.9971961460615474,0.9622480431450936,0.7400282971105175,0.7811456786906529,0.8576111627300997
ani99_cLOW_stTrue_r2,0.5675099382157055,0.9861259980179997,0.9861259980179997,0.8436384062340581,0.5722120817445832,0.7641988234569748,0.799101114157302
ani97_cHIGH_stFalse_r1,0.709504,0.9654447142857143,0.9988357142857143,0.9522682857142857,0.5456192857142858,0.7009232857142857,0.8472808571428572
ani99_cLOW_stFalse_r9,0.7620326802903828,0.9612591373227339,0.9779887111412444,0.9634197090599584,0.8072386867483838,0.8128779732682819,0.8423928346275478
ani100_cLOW_stFalse_r0,0.13473926646581907,0.9976752860463877,0.994749715035755,0.9374188660830192,0.3741996608286199,0.382811231026967,0.5969126290124815
ani97_cLOW_stTrue_r6,0.7857693367582872,0.9923457110053047,0.9998907142388775,0.925038253587823,0.7834659071996745,0.8637969416272607,0.8720768023186296
ani100_cLOW_stFalse_r1,0.6441161016811138,0.9449154443098731,0.9956925726592649,0.7899180600234115,0.05492469859294326,0.08731068933980304,0.8660298954200298
ani97_cLOW_stTrue_r7,0.599157942736849,0.9932472847496121,0.9987349998192857,0.9082322726046104,0.7357649622521375,0.7372693910384844,0.7750485392926485
ani99_cLOW_stFalse_r8,0.8289838327119761,0.9595729942247134,1.0,0.9802321400331628,0.5492659356094194,0.6963425280489326,0.9378097054013865
ani99_cLOW_stTrue_r3,0.7092064184128368,0.9958625631536977,0.9987387117631378,0.9382717336863245,0.7274943121314814,0.8038466076932154,0.8602318633208695
ani97_cHIGH_stFalse_r0,0.4975514996502142,0.977253425321918,0.9876672839524692,0.9668461381208768,0.5749740821391546,0.6931818133116876,0.8319321188474456
ani99_cHIGH_stTrue_r2,0.5762025618805905,0.9933007276842589,0.9981728607971355,0.9114937484410746,0.48290774847021734,0.5372760683050063,0.6799950685812914
ani97_cHIGH_stFalse_r4,0.7371790228933086,0.9567240995812425,0.9959861388432817,0.8971823257537543,0.5808198665341523,0.7329245900674473,0.8311278311278312
ani99_cLOW_stTrue_r7,0.9209299887042841,0.9992367141766735,0.9999629999947143,0.9720224245746321,0.9128524161217737,0.931246704463815,0.9436915633845091
ani99_cHIGH_stTrue_r6,0.673936720517189,0.9954941389949763,0.9850838443575809,0.939688091161221,0.6210818180701297,0.6977398837770432,0.7841011006580862
ani95_cLOW_stTrue_r9,0.6788750511071575,0.985520853005958,0.9965855704530201,0.9269558362730961,0.6675774764507075,0.748430213837204,0.7758746502499001
ani97_cLOW_stTrue_r3,0.6094358326153568,0.9928604255116109,0.9956814267206114,0.9745241319389137,0.6952402979601277,0.7378176019218294,0.7406817460064625
ani100_cLOW_stFalse_r5,0.5605908052078813,1.0,0.99425100492771,0.7086352497412145,0.4719558811806733,0.5249279786331612,0.9048677958276036
ani97_cLOW_stTrue_r2,0.5690265319848389,0.9967304304397541,1.0,0.8934507751709856,0.597242801575542,0.61761178993612,0.6318973532015124
ani100_cLOW_stFalse_r4,0.3925277449920729,0.9921012879710606,0.9554390127317106,0.6572928122020537,0.15806795483772718,0.20709451225871078,0.7788146346243902
ani95_cLOW_stTrue_r8,0.8564592036909735,0.9862222778413017,0.9958258547576313,0.9881435646534655,0.8054871745640998,0.9279055302317316,0.9438278250444715
ani99_cHIGH_stTrue_r7,0.75670001944281,0.9937233009576977,0.9975612916368631,0.9365280112891154,0.5386299776129115,0.7346675015217821,0.832745120476136
ani97_cHIGH_stFalse_r5,0.8646050699063187,0.9724346147456054,0.9998145717199587,0.9638116282960126,0.7264594298494674,0.8306102661838675,0.9074811453867715
ani99_cLOW_stTrue_r6,0.6968341428571428,0.9935584285714286,0.9995202857142857,0.933312,0.8016917142857143,0.8321808571428572,0.8321808571428572
ani99_cLOW_stTrue_r4,0.8066475390585491,0.9877175784470981,0.9997214287306122,0.9170700473885444,0.7869932645752774,0.8412160907336624,0.8601586513379135
ani97_cHIGH_stFalse_r7,0.7410701530626822,0.9691736066587352,0.9997124289000813,0.8798558515933125,0.5121321289918526,0.6326235627159283,0.7845298176802084
ani99_cHIGH_stTrue_r5,0.6863171624040537,0.9913261552483497,0.9988140016942832,0.9258398202288283,0.5949790071728469,0.7147712646124791,0.7613369123758394
ani100_cHIGH_stFalse_r9,0.47903260138199805,0.9921898683001882,0.9762636053377066,0.6588477730746098,0.14839878800173142,0.17095761291769584,0.7116441262226768
ani100_cLOW_stFalse_r6,0.3067584723940675,0.6574935224990747,0.9840157120022446,0.7481312497330357,0.10794572970653281,0.10805915829416547,0.35912676558953793
ani97_cLOW_stTrue_r0,0.6390084404249541,0.9980102865670201,0.9999002857570204,0.9554600190885633,0.5774273239597183,0.6867511342495138,0.7009999852857206
ani100_cLOW_stFalse_r7,0.5361587908798273,0.9734355676336525,0.9617617088231013,0.8199456885636698,0.1762558823222689,0.3351857621693946,0.820983402997629
ani97_cLOW_stTrue_r1,0.7546519569754961,0.9954377214550092,0.9975584324081777,0.9506596489634088,0.6979153318473357,0.7742074976739323,0.8296414105634977
ani99_cHIGH_stTrue_r4,0.6941603544327161,0.9969267278959193,0.9946791664208344,0.8683292973988258,0.5701156180594057,0.7015834644160862,0.7564616499555502
ani100_cHIGH_stFalse_r8,0.46916552202462714,0.9778835872260091,0.8715212346276896,0.6022815697988787,0.2363296883359369,0.25936681473798945,0.8194041289970507
ani99_cLOW_stTrue_r5,0.6876398035314847,0.999737428646449,0.9933818590337545,0.9437650160671383,0.7532634990675717,0.7973947721729222,0.8556643269530494
ani97_cHIGH_stFalse_r6,0.6882891688536883,0.9383507759349383,0.9941898629529942,0.9757798813629758,0.6497057788656497,0.8482442946128482,0.9071935213779072
ani97_cHIGH_stTrue_r6,0.7073229930372787,0.9752832609975467,0.9997429997429997,0.9300592157735015,0.5277275277275277,0.6829462543748258,0.8308051165194023
ani99_cHIGH_stFalse_r3,0.6823595647030437,0.9867148628364873,0.9998947143308368,0.938662026287703,0.5615703307555725,0.6378721551976477,0.757909960895731
ani99_cHIGH_stFalse_r2,0.8369841863037871,0.9824370200719771,0.9977697168346094,0.943344493320579,0.8124553571938775,0.8411023244544863,0.9069642491837152
ani97_cHIGH_stTrue_r7,0.7030896718699531,0.9827051403864486,0.9940902848700407,0.9368379909768558,0.60599522942789,0.7402679628954233,0.8365382623626089
ani97_cHIGH_stTrue_r5,0.6342710906101559,0.974822853546122,0.9989422855631837,0.9257989893998556,0.5498726499818072,0.6977322425331776,0.7948105421157917
ani99_cHIGH_stFalse_r0,0.7118920387646046,0.9598161084138072,0.9993449994385709,0.8998564855912734,0.49175842150721844,0.5747264926227079,0.7981912555925048
ani100_cLOW_stTrue_r9,0.6395063255732358,1.0,1.0,0.957560559303017,0.5875944535984153,0.6365303247229499,0.7355277815793662
ani100_cLOW_stTrue_r8,0.5006217859807655,0.8643029418441179,1.0,0.9677851290507696,0.3911810247918678,0.5243077961319126,0.7013627291554554
ani99_cHIGH_stFalse_r1,0.9241840433234039,0.9967688589892234,0.9999824285814694,0.9766588704806455,0.36748607572224246,0.3182951038313692,0.951617170504474
ani97_cHIGH_stTrue_r4,0.7502180354339545,0.9958591481810952,0.9994960006479991,0.9374873660876721,0.6949112493998222,0.771337436851867,0.8504013351982833
ani97_cHIGH_stTrue_r0,0.7473495668849718,0.9931469882519799,0.9951864203195777,0.9385673232582684,0.676116016198885,0.7423362725764673,0.8179118307059955
ani95_cLOW_stFalse_r9,0.8056851706164042,0.9927492867501019,0.9998538571637346,0.9811681455474078,0.5141742122608268,0.618048197421686,0.9227748681750189
ani99_cHIGH_stFalse_r5,0.7800394114060506,0.9958494309431823,1.0,0.9616880218925589,0.4882794352688941,0.5791103833654953,0.8378646640773348
ani99_cHIGH_stFalse_r4,0.6896090345091231,0.9640195919888046,0.9963221449587744,0.8364149506200282,0.40969719445874603,0.4965125734213866,0.7319165817619533
ani95_cLOW_stFalse_r8,0.8889689841384263,0.9930787132969591,1.0,0.9485738497962642,0.9373472767638967,0.9411881344554478,0.9447538492505498
ani97_cHIGH_stTrue_r1,0.783897915253569,0.989675982301684,0.9959454216207227,0.9512870593492446,0.6451553916949572,0.7704964637082234,0.8740876412930993
ani97_cHIGH_stTrue_r3,0.8216068772453533,0.9900135885481339,0.9988847161976294,0.9662367721655334,0.7321617448655803,0.828224437329536,0.9048587345278837
ani97_cLOW_stFalse_r9,0.8666298952486013,0.9922194307944483,1.0,0.9984965718581224,0.7777507777854921,0.9327348763614639,0.9848932900304885
ani99_cHIGH_stFalse_r6,0.8898373656213517,0.9931199960685692,0.9934031390875081,0.9557689747251285,0.7754995859997634,0.8149866085637764,0.926937386821364
ani99_cHIGH_stFalse_r7,0.6200168514478303,0.9735473983398838,0.9901848459255382,0.722537682900209,0.3977758831724379,0.49847571254367146,0.6708267666591619
ani97_cLOW_stFalse_r8,0.8251923356593327,0.9939977160006526,0.9994198573086122,0.9010863139753389,0.5922331165048239,0.6242958216297653,0.8544748987214575
ani97_cHIGH_stTrue_r2,0.7353884079267163,0.9968669879155249,0.9999009996181414,0.9277008639890468,0.6288739970854174,0.7658112395576383,0.8133645658347539
NA12878_NegControl_SL126486_0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
NA12878_NegControl_SL126487_0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
NA12878_NegControl_SL126488_0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
NegControl_LM,0.0,1.0,1.0,1.0,1.0,1.0,1.0
NegControl_MH1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
NegControl_MH2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZymoMock,0.7300000108587048,0.9850000178393008,1.0,1.0,0.9659999990692538,0.9659999990692538,1.0
