Sample,Median Index,Mean Index,Number of reads,Number of correctly classified reads,Number of reads classified at a lower level by Kraken,Number of reads classified at a higher level by Kraken,Number of reads classified wrong by Kraken,Unclassified reads,Median Index of reads classified at a higher level by Kraken,Mean Index of reads classified at a higher level by Kraken,Median Index of reads classified wrong by Kraken,Mean Index of reads classified wrong by Kraken
strain_sample_30-kraken2_chocophlan,1.0,1.6280090182819789,13308078,5685603,344511,6396877,1092134,133462,2.0,2.8937797303277835,2.0,1.7885552505461784
strain_sample_30-kraken2_minikraken,0.0,1.3611152564630296,13308078,6920546,399037,5160766,293923,932843,2.0,1.785687822311649,2.0,1.7103935384437419
strain_sample_30-kraken2_refseqV205,1.0,2.2414274998989336,13308078,4221872,451927,6914787,1503801,667614,2.0,2.8794095899121688,2.0,2.6000953583619113
strain_sample_30-kraken2_refseqV205_100GB,0.0,1.3611152564630296,13308078,6920546,399037,5160766,293923,932843,2.0,1.785687822311649,2.0,1.7103935384437419
strain_sample_30-kraken2_refseqV205_500GB,2.0,2.873379010853408,13308078,3151350,307740,7952870,1105658,1098183,2.0,3.1344170092054817,2.0,3.1001819730875186
strain_sample_30-kraken2_refseqV208_nt,1.0,1.7869929827582915,13308078,5230611,313488,5850114,1060066,1167283,1.0,1.7793697695463713,2.0,2.7039288119796314
strain_sample_30-kraken2_standard_0521,1.0,0.9604895613025412,13308078,6367464,348100,5908342,751587,280685,1.0,1.5439353375278546,1.0,1.5088166772442844
strain_sample_31-kraken2_GTDBr202RefSeqV205,1.0,1.1758906097228052,13304144,6011095,2829918,3791992,3115940,381698,1.0,1.291826828748584,1.0,2.336234972432075
strain_sample_31-kraken2_chocophlan,1.0,1.6275616078719533,13304144,5815697,271669,6456867,993702,37830,2.0,3.0326619705810884,1.0,1.7418874068885843
strain_sample_31-kraken2_minikraken,0.0,1.1881869288245828,13304144,7780630,346842,4296132,343997,883353,2.0,1.7086697987864432,1.0,1.5019724009221012
strain_sample_31-kraken2_refseqV205,1.0,2.2171591798765857,13304144,4091405,412235,7430361,1302471,479704,2.0,2.941871599509095,2.0,2.5482901346747835
strain_sample_31-kraken2_refseqV205_100GB,0.0,1.1881869288245828,13304144,7780630,346842,4296132,343997,883353,2.0,1.7086697987864432,1.0,1.5019724009221012
strain_sample_31-kraken2_refseqV205_500GB,2.0,2.8064179852533164,13304144,3081762,288790,8457974,951948,811805,2.0,3.1959606402195138,2.0,3.1446013857899797
strain_sample_31-kraken2_refseqV208_nt,1.0,1.4577319668217663,13304144,6593792,333013,4902081,925273,882710,1.0,1.841882253679611,2.0,2.6131076990250444
strain_sample_31-kraken2_standard_0521,0.0,0.7622603152822158,13304144,7545605,377338,4862935,743966,151636,1.0,1.5735394365748256,1.0,1.5114386947790626
strain_sample_32-kraken2_GTDBr202RefSeqV205,1.0,1.1930537798101768,13313658,6282655,1677882,3839540,2801218,390136,1.0,1.3051000901149616,1.0,2.6276858852113616
strain_sample_32-kraken2_chocophlan,1.0,1.6915254244926523,13313658,6363352,272733,5990730,849562,110013,2.0,3.33336354667962,1.0,1.837398565378395
strain_sample_32-kraken2_minikraken,0.0,1.176777186254897,13313658,7968198,357281,4249977,224736,870741,2.0,1.751164065123176,1.0,1.7268216930086857
strain_sample_32-kraken2_refseqV205,1.0,2.27180253541138,13313658,4538897,441391,6922674,1272729,579351,2.0,3.1048808596215856,2.0,2.7796192276596194
strain_sample_32-kraken2_refseqV205_100GB,0.0,1.176777186254897,13313658,7968198,357281,4249977,224736,870741,2.0,1.751164065123176,1.0,1.7268216930086857
strain_sample_32-kraken2_refseqV205_500GB,2.0,2.9518143698749064,13313658,3373281,301279,8013383,954186,972785,2.0,3.406089038799218,2.0,3.4059177141563595
strain_sample_32-kraken2_refseqV208_nt,1.0,1.5306365838749951,13313658,6385770,342255,5042855,865513,1019514,1.0,1.7358561767094236,2.0,2.8295600412703217
strain_sample_32-kraken2_standard_0521,0.0,0.8284587902137791,13313658,7225554,403698,5256065,612908,219131,1.0,1.5428591541390757,1.0,1.5471653168175319
strain_sample_33-kraken2_GTDBr202RefSeqV205,1.0,1.196236464611127,13308816,5898277,2292986,3943720,3089611,377182,1.0,1.3108336798758533,1.0,2.3809010260515002
strain_sample_33-kraken2_chocophlan,1.0,1.5800221447197107,13308816,5768022,132776,6409890,1088037,42867,2.0,2.93814152816975,1.0,1.6628634871792043
strain_sample_33-kraken2_minikraken,0.0,1.3098991675893634,13308816,7293738,233786,4642324,396780,975972,2.0,1.7308529090171216,1.0,1.5481148243359042
strain_sample_33-kraken2_refseqV205,1.0,2.154088838556337,13308816,4149969,287838,7267275,1431324,460241,2.0,2.89782965416886,2.0,2.4221035908012443
strain_sample_33-kraken2_refseqV205_100GB,0.0,1.3098991675893634,13308816,7293738,233786,4642324,396780,975972,2.0,1.7308529090171216,1.0,1.5481148243359042
strain_sample_33-kraken2_refseqV205_500GB,2.0,2.746227913888057,13308816,3121965,193837,8343956,1053774,789113,2.0,3.1565711755910506,2.0,2.950027235441376
strain_sample_33-kraken2_refseqV208_nt,1.0,1.5527817049991524,13308816,5962676,208500,5405428,1038325,902381,1.0,1.820147451783652,2.0,2.605664892976669
strain_sample_33-kraken2_standard_0521,0.0,0.8842264405789365,13308816,6875766,246168,5373597,816819,242634,1.0,1.559683206611884,1.0,1.4730215629166314
strain_sample_34-kraken2_GTDBr202RefSeqV205,1.0,1.0431566384688933,13314290,6137434,2222207,4239617,2657002,279741,1.0,1.1897996918117841,1.0,2.3795473243904217
strain_sample_34-kraken2_chocophlan,1.0,1.521380261358285,13314290,6428452,1084636,5778629,1033154,74049,2.0,3.0907786258643704,1.0,1.6736517498843348
strain_sample_34-kraken2_minikraken,0.0,1.0517053481635146,13314290,8329192,1292580,3948358,232499,804233,1.0,1.6027999487381843,1.0,1.8757629065071248
strain_sample_34-kraken2_refseqV205,1.0,1.90439535266244,13314290,5498599,1169363,6173063,1252671,389917,2.0,3.069314860386165,1.0,2.314242925716329
strain_sample_34-kraken2_refseqV205_100GB,0.0,1.0517053481635146,13314290,8329192,1292580,3948358,232499,804233,1.0,1.6027999487381843,1.0,1.8757629065071248
