Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Mean F1 score
strain_sample_81-kraken2_minikraken-0.15,0.2457564064007374,0.989917269037764,0.3428571428571429,0.24327851067275286,0.7058823529411765,0.3905715586494757,0.4615384615384616,10107765.0,30.13486338117611,7.230874576797492,0.6094284413505243,0.2152812850539135,0.7640292223251397,2.2879601451740306,35.6,0.4857732823984238,0.4460584720350944,0.12108036788689408,0.4260550100939686
strain_sample_81-kraken2_minikraken-0.20,0.11180221960570587,0.99021164216666,0.4,0.11070785947364356,0.7058823529411765,0.1991502760498274,0.5106382978723405,11854353.0,28.89179190767415,9.792489500918123,0.8008497239501726,0.2353854949523097,0.7648459394513828,2.3046276177574003,35.0,0.4849363088769663,0.4696716938869505,0.14175104293570892,0.35489428696108394
strain_sample_81-kraken2_minikraken-0.25,0.04993767329872442,0.9881387849398968,0.4615384615384616,0.04934535181612706,0.7058823529411765,0.09399672584581599,0.5581395348837211,12664632.0,27.75947623139074,12.477823495668046,0.906003274154184,0.2497348871822526,0.7645525139006192,2.312129252513188,26.25,0.4852475592288442,0.4918963737774681,0.16335506103175848,0.32606813036476856
strain_sample_81-kraken2_minikraken-0.30,0.01580903483294972,0.9850007364225071,0.6470588235294118,0.015571910952584537,0.6470588235294118,0.03065913064091883,0.6470588235294118,13109553.0,23.315215554918385,14.753719112574467,0.9693408693590811,0.2626497032639247,0.7629507592171235,2.3062071934549198,17.0,0.4869140424490943,0.5642148401156986,0.2481489888661727,0.3388589770851653
strain_sample_81-kraken2_minikraken-0.35,0.004099005867332606,0.9983508328294212,0.7142857142857143,0.004092245921424193,0.5882352941176471,0.008151080515988247,0.6451612903225806,13259323.0,18.91412233546172,18.012657937724388,0.9918489194840118,0.2728464452389668,0.7536761983500606,2.2266676645734247,14.0,0.4964284415718215,0.5848332267825638,0.28997835755263884,0.32665618541928443
strain_sample_81-kraken2_minikraken-0.40,0.0008637708660752567,0.9993043478260868,0.9090909090909092,0.0008631699819945085,0.5882352941176471,0.0017248500887340214,0.7142857142857143,13302232.0,12.082089961429775,22.428187234284252,0.998275149911266,0.2829629608913159,0.7516075916824196,2.208141659270821,12.0,0.4988235563625567,0.6382960852224125,0.36598981234909456,0.35800528218722416
strain_sample_81-kraken2_minikraken-0.45,0.0001449632844804561,0.998963730569948,0.8888888888888888,0.0001448130634602691,0.4705882352941176,0.00028958414785133215,0.6153846153846153,13311790.0,11.073778198706341,24.39798921181761,0.9997104158521488,0.321944971418832,0.7405492764906441,2.172198588700142,9.0,0.5114826404323678,0.6852523601384239,0.4282551600096207,0.3078370997662333
strain_sample_81-kraken2_minikraken-0.50,2.7039783633660206e-05,1.0,1.0,2.7039783633660206e-05,0.4117647058823529,5.40781050070617e-05,0.5833333333333334,13313356.0,8.377609890988152,28.861906441238762,0.9999459218949929,0.4391871360332458,0.6539043209876543,1.7540094678045408,7.0,0.5982558180065999,0.6247907786874946,0.41276777353827343,0.2916937057191702
strain_sample_81-kraken2_minikraken-0.55,1.5022102018700113e-06,1.0,1.0,1.5022102018700113e-06,0.17647058823529413,3.0044158904758214e-06,0.3,13313696.0,11.126882620297756,23.036476261388106,0.9999969955841096,0.3892070102742165,0.54,1.2954618442383217,3.0,0.7512770314032703,0.8173454221465101,0.7246376811594204,0.15000150220794523
strain_sample_81-kraken2_minikraken-0.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13313716.0,12.632895347245162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strain_sample_81-kraken2_minikraken-0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13313716.0,12.632895347245162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strain_sample_81-kraken2_minikraken-0.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13313716.0,12.632895347245162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strain_sample_81-kraken2_minikraken-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13313716.0,12.632895347245162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strain_sample_81-kraken2_minikraken-0.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13313716.0,12.632895347245162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strain_sample_81-kraken2_minikraken-0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13313716.0,12.632895347245162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strain_sample_81-kraken2_minikraken-0.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13313716.0,12.632895347245162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strain_sample_81-kraken2_minikraken-0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13313716.0,12.632895347245162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strain_sample_81-kraken2_minikraken-1.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13313716.0,12.632895347245162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strain_sample_82-kraken2_minikraken-0.00,0.9304408717684776,0.9201877236476173,0.01171875,0.8561802677813399,0.7058823529411765,0.8870308128080534,0.023054755043227664,2901599.0,56.99808861673663,6.349830185977929,0.11296918719194655,0.10034314824891537,0.6854867669386167,1.995833825094548,1143.7151898734178,0.5608611408691291,0.1995833825094548,0.00310499653860162,0.4550427839256405
strain_sample_82-kraken2_minikraken-0.05,0.7866720219727891,0.9526433826676614,0.05063291139240506,0.7494178960621665,0.7058823529411765,0.8388981154299177,0.09448818897637794,3829714.0,39.70578964277903,6.346681470037894,0.16110188457008245,0.1087308216042092,0.6791143951054621,1.9090527618360995,330.3636363636364,0.5664804283352508,0.2419970712195149,0.013149263221350082,0.4666931522031478
strain_sample_82-kraken2_minikraken-0.10,0.5411247976728469,0.991389580076572,0.15789473684210525,0.5364654859339036,0.7058823529411765,0.6961999271492946,0.25806451612903225,6229405.0,33.82193520539235,7.011244966464901,0.3038000728507055,0.12406668226107287,0.6755562313036485,1.88085207010902,91.3,0.5696055900948535,0.3010361541586414,0.040555239478668015,0.4771322216391634
strain_sample_82-kraken2_minikraken-0.15,0.3073819197088894,0.993373470850338,0.3636363636363637,0.3053450444578594,0.7058823529411765,0.4671091742279098,0.48,9269613.0,30.421352272525414,8.63934505735157,0.5328908257720901,0.13777972439133576,0.6732856582796429,1.8595653239454637,33.5,0.5715937844868114,0.3686399753756677,0.09275084204588556,0.47355458711395493
strain_sample_82-kraken2_minikraken-0.20,0.14352691402088089,0.9939831969384998,0.4615384615384616,0.14266334084519236,0.7058823529411765,0.2495146184947377,0.5581395348837211,11418512.0,28.747234770658444,10.258471369600173,0.7504853815052623,0.15152433590798467,0.6719225442309397,1.8529272313083676,29.0,0.5727879589478589,0.3942029559824149,0.1172331039064514,0.4038270766892294
strain_sample_82-kraken2_minikraken-0.25,0.06528816136627648,0.9965418438050768,0.5217391304347826,0.06506238470659256,0.7058823529411765,0.12214983150314435,0.6,12442521.0,26.392425163732295,12.316496233379654,0.8778501684968557,0.16336575752890029,0.6698342616169675,1.8389251272595035,23.0,0.5746150560094995,0.4065214857502278,0.13168616793037782,0.36107491575157213
strain_sample_82-kraken2_minikraken-0.30,0.021098543244497784,0.9977985180963236,0.75,0.02105209518335109,0.7058823529411765,0.041234208632712266,0.7272727272727272,13025700.0,22.232739275841727,15.625780253979736,0.9587657913672878,0.1778273282546132,0.6669087977960186,1.8328449749559128,16.0,0.5771713799230975,0.4582112437389782,0.18763629776605656,0.38425346795271975
strain_sample_82-kraken2_minikraken-0.35,0.005500337312133376,0.9986472268149706,0.8,0.005492896603308906,0.7058823529411765,0.010925698181250372,0.7500000000000001,13232199.0,19.894898576416658,19.806178618756302,0.9890743018187496,0.19130353116622176,0.6638471458771601,1.823047068702048,15.0,0.5798978384911212,0.4666235268403001,0.19832247695955826,0.3804628490906252
strain_sample_82-kraken2_minikraken-0.40,0.0011739033447414182,0.999679877072796,0.9090909090909092,0.0011735275513664446,0.5882352941176471,0.002344303117462213,0.7142857142857143,13289575.0,13.549344182918315,23.322570740935408,0.9976556968825376,0.20731995270995032,0.6488064075546043,1.7361712839968613,11.0,0.5929955402388115,0.501866050666657,0.2588574873364913,0.3583150087015883
strain_sample_82-kraken2_minikraken-0.45,0.00020082397958570133,0.9992514970059879,0.9,0.00020067366223571202,0.5294117647058824,0.0004012667404877239,0.6666666666666667,13302516.0,12.301146941220141,25.07419613278407,0.9995987332595124,0.19024539608020447,0.6533078117716662,1.7547931556122718,10.0,0.5907953111013111,0.528245376025146,0.2884403035182879,0.3335339667035772
strain_sample_82-kraken2_minikraken-0.50,3.870671762224408e-05,1.0,1.0,3.870671762224408e-05,0.4117647058823529,7.741043894048709e-05,0.5833333333333334,13304669.0,7.999492609882956,26.987185564759308,0.9999225895610596,0.1851320557475505,0.6498859458949948,1.7628930706822898,7.0,0.5986723356415984,0.6279551818799622,0.4080303009324429,0.29170537188613693
strain_sample_82-kraken2_minikraken-0.55,5.0356312246414634e-06,1.0,1.0,5.0356312246414634e-06,0.1176470588235294,1.0071211734374648e-05,0.21052631578947367,13305117.0,11.181870529910018,16.872069409208212,0.9999899287882656,0.5606871099399382,0.02940521274225905,0.11190990870168402,2.0,1.0,0.11190990870168402,0.5151480376405785,0.10526819350060403
strain_sample_82-kraken2_minikraken-0.60,1.503173499892974e-07,1.0,1.0,1.503173499892974e-07,0.05882352941176471,3.006346547879902e-07,0.1111111111111111,13305182.0,11.92514502552196,14.85340882498657,0.9999996993653452,0.5756124830742666,0.0,0.0,1.0,1.0,0.0,1.0,0.05555570587288294
strain_sample_82-kraken2_minikraken-0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13305184.0,12.179780207651165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strain_sample_82-kraken2_minikraken-0.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13305184.0,12.179780207651165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
