Sample name	McIntosh's evenness
JGI_SRR033548-kraken2_refseqV205-0.35	0.5112222966702051
JGI_SRR033548-kraken2_refseqV205-0.50	0.5178800546235419
JGI_SRR033548-kraken2_refseqV205-0.65	0.5322308165219495
JGI_SRR033548-kraken2_refseqV205-0.40	0.5143212771142573
JGI_SRR033548-kraken2_refseqV205-0.20	0.4895790029889648
JGI_SRR033548-kraken2_refseqV205-0.55	0.5237534650315443
JGI_SRR033548-kraken2_refseqV205-0.30	0.4999416835428539
JGI_SRR033548-kraken2_refseqV205-0.25	0.4757393331822575
JGI_SRR033548-kraken2_refseqV205-1.00	0.7287702682360145
JGI_SRR033548-kraken2_refseqV205-0.75	0.5484729218968972
JGI_SRR033548-kraken2_refseqV205-0.95	0.5526832343869252
JGI_SRR033548-kraken2_refseqV205-0.90	0.5286245448503855
JGI_SRR033548-kraken2_refseqV205-0.80	0.565144349191865
JGI_SRR033548-kraken2_refseqV205-0.70	0.5394197876010125
ABRF_MGRG_5ng-kraken2_refseqV205-0.10	0.041110024145468944
JGI_SRR033548-kraken2_refseqV205-0.85	0.557815948017439
ABRF_MGRG_5ng-kraken2_refseqV205-0.05	0.01727369496493049
ABRF_MGRG_5ng-kraken2_refseqV205-0.00	0.005928075115216793
ABRF_MGRG_5ng-kraken2_refseqV205-0.50	0.9128006270015584
ABRF_MGRG_5ng-kraken2_refseqV205-0.20	0.18885296005618038
ABRF_MGRG_5ng-kraken2_refseqV205-0.30	2.1124393641313683
ABRF_MGRG_5ng-kraken2_refseqV205-0.35	3.9538166715610865
ABRF_MGRG_5ng-kraken2_refseqV205-0.40	1.6326340421384857
ABRF_MGRG_5ng-kraken2_refseqV205-0.55	0.836012545263526
ABRF_MGRG_5ng-kraken2_refseqV205-0.25	0.42321248218026875
ABRF_MGRG_5ng-kraken2_refseqV205-0.45	1.0666102793605208
ABRF_MGRG_5ng-kraken2_refseqV205-0.60	0.8004638269875273
ABRF_MGRG_5ng-kraken2_refseqV205-0.15	0.09178694341769059
ABRF_MGRG_5ng-kraken2_refseqV205-1.00	0.6430895876724598
ABRF_MGRG_5ng-kraken2_refseqV205-0.95	0.6526075210660867
ABRF_MGRG_5ng-kraken2_refseqV205-0.70	0.7166125608575712
ABRF_MGRG_5ng-kraken2_refseqV205-0.80	0.6487016369023325
ABRF_MGRG_5ng-kraken2_refseqV205-0.75	0.6768060503826857
ABRF_MGRG_5ng-kraken2_refseqV205-0.65	0.7489745002311963
ABRF_MGRG_5ng-kraken2_refseqV205-0.90	0.6443869049195454
ABRF_MGRG_5ng-kraken2_refseqV205-0.85	0.6488342589165856
ABRF_MGRG_Half-kraken2_refseqV205-0.05	0.019167352901190156
ABRF_MGRG_Half-kraken2_refseqV205-0.00	0.007652128913445147
ABRF_MGRG_Half-kraken2_refseqV205-0.55	1.7799326477677384
ABRF_MGRG_Half-kraken2_refseqV205-0.35	1.3117400388370413
ABRF_MGRG_Half-kraken2_refseqV205-0.30	0.6612460711805048
ABRF_MGRG_Half-kraken2_refseqV205-0.45	5.560713091477582
ABRF_MGRG_Half-kraken2_refseqV205-0.20	0.1572984152731744
ABRF_MGRG_Half-kraken2_refseqV205-0.50	2.742141794952763
ABRF_MGRG_Half-kraken2_refseqV205-0.10	0.04317371968162206
ABRF_MGRG_Half-kraken2_refseqV205-0.25	0.28057888943371373
ABRF_MGRG_Half-kraken2_refseqV205-0.40	1.9610147069309876
ABRF_MGRG_Half-kraken2_refseqV205-0.15	0.08878126373016126
