Sample name	Weighted unifrac distance relative abundance
JGI_SRR033548-kraken2_refseqV205_proportions-0.15	1102.0
JGI_SRR033548-kraken2_refseqV205_proportions-0.05	72.34210526315789
JGI_SRR033548-kraken2_refseqV205_proportions-0.10	1090.5
JGI_SRR033549-kraken2_refseqV205_proportions-0.90	1092.0
JGI_SRR033549-kraken2_refseqV205_proportions-0.80	1084.0
JGI_SRR033549-kraken2_refseqV205_proportions-0.85	1084.0
JGI_SRR033549-kraken2_refseqV205_proportions-0.95	1070.0
JGI_SRR033548-kraken2_refseqV205_proportions-0.30	1090.5
JGI_SRR033548-kraken2_refseqV205_proportions-0.55	1080.5
JGI_SRR033548-kraken2_refseqV205_proportions-0.35	1089.5
JGI_SRR033548-kraken2_refseqV205_proportions-0.50	1082.5
JGI_SRR033548-kraken2_refseqV205_proportions-0.60	1066.0
JGI_SRR033548-kraken2_refseqV205_proportions-0.40	1075.0
JGI_SRR033548-kraken2_refseqV205_proportions-0.45	1073.0
JGI_SRR033548-kraken2_refseqV205_proportions-0.20	1101.0
JGI_SRR033548-kraken2_refseqV205_proportions-0.25	1101.0
JGI_SRR033548-kraken2_refseqV205_proportions-0.65	1076.5
JGI_SRR033548-kraken2_refseqV205_proportions-0.95	1090.5
JGI_SRR033548-kraken2_refseqV205_proportions-0.85	1052.5
JGI_SRR033548-kraken2_refseqV205_proportions-1.00	1089.0
JGI_SRR033548-kraken2_refseqV205_proportions-0.80	1082.0
JGI_SRR033548-kraken2_refseqV205_proportions-0.90	1071.0
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.10	309.5
JGI_SRR033548-kraken2_refseqV205_proportions-0.75	1072.5
JGI_SRR033548-kraken2_refseqV205_proportions-0.70	1063.0
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.05	372.5
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.00	456.0
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.15	333.0
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.30	389.5
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.20	370.5
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.55	373.0
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.40	369.5
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.35	380.5
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.60	336.5
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.50	299.5
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.45	337.5
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.25	381.0
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.65	339.5
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.90	358.5
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.95	341.0
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.75	346.0
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-1.00	318.0
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.85	353.5
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.70	328.0
ABRF_MGRG_5ng-kraken2_refseqV205_proportions-0.80	357.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.05	690.0
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.00	494.0
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.35	508.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.50	499.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.20	450.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.55	485.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.25	468.0
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.30	489.0
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.45	514.0
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.15	412.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.40	515.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.10	371.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.80	390.0
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.75	400.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.95	339.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-1.00	345.0
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.70	410.0
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.90	360.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.85	382.5
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.60	454.0
ABRF_MGRG_Half-kraken2_refseqV205_proportions-0.65	423.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.00	468.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.20	359.0
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.50	395.5
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.30	423.0
ABRF_MGRG_10ng-kraken2_refseqV205_proportions-0.35	425.5
