File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
kraken2_standard_ani100_cHIGH_stTrue_r3.fastq.bowtie2out_0.50,0.05,0.00,0:00.03,7508, 12 ,187%
kraken2_standard_ani99_cHIGH_stFalse_r9.fastq.bowtie2out_0.15,0.02,0.03,0:00.03,7600, 12 ,161%
kraken2_standard_ani99_cHIGH_stTrue_r9.fastq.bowtie2out_0.65,0.05,0.00,0:00.03,7524, 12 ,175%
kraken2_standard_ani97_cLOW_stTrue_r7.fastq.bowtie2out_0.15,0.05,0.00,0:00.03,7524, 12 ,172%
kraken2_standard_ani97_cHIGH_stTrue_r6_0.85,319.65,14.62,0:29.02,53068508, 12 ,1151%
kraken2_standard_ani97_cHIGH_stTrue_r1_0.05,324.97,11.88,0:29.20,53155808, 12 ,1153%
kraken2_standard_ani95_cLOW_stTrue_r3.fastq.bowtie2out_1.00,0.05,0.00,0:00.03,7604, 12 ,155%
kraken2_standard_ABRF_MGRG_Half.fastq.bowtie2out_0.40,0.03,0.00,0:00.03,6792, 12 ,135%
kraken2_standard_ani100_cLOW_stFalse_r0_1.00,328.39,11.64,0:29.46,53061380, 12 ,1153%
kraken2_standard_ani97_cLOW_stFalse_r6_0.45,318.09,12.61,0:28.61,53074028, 12 ,1155%
kraken2_standard_MGRG_nanopore_b9.pass.2d_0.95,0.10,0.00,0:00.04,65988, 12 ,290%
kraken2_standard_ani97_cLOW_stTrue_r4.fastq.bowtie2out_0.55,0.04,0.00,0:00.03,7504, 12 ,163%
kraken2_standard_ani100_cHIGH_stTrue_r5_0.65,353.34,11.67,0:31.45,53138904, 12 ,1160%
kraken2_standard_ani100_cHIGH_stTrue_r0.fastq.bowtie2out_0.10,0.05,0.01,0:00.04,7540, 12 ,173%
kraken2_standard_UnAmbiguouslyMapped_ds.hous2_0.15,7.08,4.39,0:01.85,52648308, 12 ,620%
kraken2_standard_ani99_cLOW_stFalse_r7.fastq.bowtie2out_0.30,0.05,0.00,0:00.03,7612, 12 ,156%
kraken2_standard_ani97_cHIGH_stFalse_r2.fastq.bowtie2out_0.55,0.04,0.01,0:00.03,7536, 12 ,168%
kraken2_standard_ani100_cLOW_stFalse_r2_0.25,308.45,11.85,0:27.74,53026684, 12 ,1154%
kraken2_standard_ani99_cHIGH_stFalse_r0_0.05,352.86,12.75,0:31.76,53185116, 12 ,1150%
kraken2_standard_ani97_cLOW_stTrue_r7_0.95,336.48,11.41,0:30.02,53109960, 12 ,1158%
kraken2_standard_ani97_cLOW_stTrue_r0.fastq.bowtie2out_0.50,0.04,0.01,0:00.03,7520, 12 ,182%
kraken2_standard_ani100_cLOW_stTrue_r1_0.95,336.83,11.66,0:30.12,53047552, 12 ,1156%
kraken2_standard_RM1_S001__insert_5000_0.10,734.61,19.48,1:04.09,53179664, 12 ,1176%
