File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
RefSeqV205_Complete_500GB_ani97_cLOW_stTrue_r3_0.85,262.97,61.11,0:23.70,486527376, 24 ,1367%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r6_0.15,258.86,60.70,0:24.72,481021484, 24 ,1292%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r5_0.30,263.38,60.11,0:23.36,489091164, 24 ,1384%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r7_0.60,245.48,47.48,0:20.76,377794740, 24 ,1410%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r7_0.20,273.02,62.57,0:23.60,489284492, 24 ,1421%
RefSeqV205_Complete_500GB_BioPool_0.45,12.26,20.22,0:05.89,192199204, 24 ,551%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r1_0.95,254.84,60.58,0:25.39,482412096, 24 ,1242%
RefSeqV205_Complete_500GB_ani100_cHIGH_stTrue_r2_0.40,277.20,66.42,0:26.16,489179996, 24 ,1313%
RefSeqV205_Complete_500GB_ani97_cLOW_stTrue_r4_0.05,262.15,60.47,0:24.82,485616320, 24 ,1299%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r5_0.00,260.82,58.22,0:43.21,469231728, 24 ,738%
RefSeqV205_Complete_500GB_NegControl_MH2_0.80,11.11,41.21,0:09.15,345594472, 24 ,571%
RefSeqV205_Complete_500GB_JGI_SRR033549_0.70,17.06,26.39,0:07.24,245561108, 24 ,599%
RefSeqV205_Complete_500GB_ani97_cLOW_stFalse_r1_0.70,256.39,57.36,0:23.01,453078820, 24 ,1363%
RefSeqV205_Complete_500GB_MGRG_nanopore_b8.fail.2d_0.30,1.10,5.42,0:02.66,53534640, 24 ,244%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r6_0.30,269.36,60.58,0:23.50,489344252, 24 ,1403%
RefSeqV205_Complete_500GB_Huttenhower_LC5_0.45,2.75,9.65,0:03.67,94877668, 24 ,337%
RefSeqV205_Complete_500GB_ani100_cHIGH_stFalse_r6_0.65,270.79,60.29,0:24.64,489058372, 24 ,1343%
RefSeqV205_Complete_500GB_ani99_cLOW_stTrue_r5_0.75,257.74,56.49,0:22.42,487914636, 24 ,1401%
RefSeqV205_Complete_500GB_MGRG_nanopore_b1.pass.2d_0.05,0.20,0.17,0:00.17,935080, 24 ,223%
RefSeqV205_Complete_500GB_MGRG_nanopore_b7.pass.2d_0.20,0.48,0.86,0:01.01,8120188, 24 ,132%
RefSeqV205_Complete_500GB_ani100_cHIGH_stTrue_r9_0.55,266.46,58.35,0:23.24,489081264, 24 ,1397%
RefSeqV205_Complete_500GB_UnAmbiguouslyMapped_ds.7_0.70,60.88,46.81,0:13.54,470256224, 24 ,794%
RefSeqV205_Complete_500GB_ani97_cLOW_stTrue_r8_0.90,264.55,60.96,0:22.83,488520140, 24 ,1425%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r9_0.95,260.25,56.65,0:23.27,486326720, 24 ,1361%
RefSeqV205_Complete_500GB_ani100_cLOW_stTrue_r1_0.20,263.73,58.39,0:23.08,481583736, 24 ,1395%
RefSeqV205_Complete_500GB_ani99_cLOW_stFalse_r9_0.60,255.70,54.90,0:22.49,450194688, 24 ,1380%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r9_0.30,268.09,60.33,0:23.28,489350788, 24 ,1410%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r3_0.35,266.94,61.67,0:24.24,489117972, 24 ,1355%
RefSeqV205_Complete_500GB_MGRG_nanopore_b9.fail.2d_0.70,0.28,0.19,0:00.26,1608568, 24 ,180%
RefSeqV205_Complete_500GB_RH_S003__insert_270_0.50,1811.17,107.27,1:31.09,489214316, 24 ,2105%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r5_0.80,263.74,58.90,0:22.89,487665524, 24 ,1409%
RefSeqV205_Complete_500GB_ani100_cHIGH_stTrue_r6_0.55,276.02,60.91,0:24.89,489112940, 24 ,1353%
RefSeqV205_Complete_500GB_ani97_cLOW_stTrue_r0_0.10,262.60,59.13,0:23.69,488552316, 24 ,1357%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r1_0.15,270.68,56.51,0:23.07,474702396, 24 ,1418%
RefSeqV205_Complete_500GB_Carma_eval_carma_0.45,1.16,4.86,0:03.34,48189372, 24 ,180%
RefSeqV205_Complete_500GB_ani100_cHIGH_stFalse_r9_0.65,283.49,61.81,0:24.20,489053488, 24 ,1426%
RefSeqV205_Complete_500GB_ani99_cLOW_stFalse_r6_0.60,256.50,56.25,0:23.43,482036856, 24 ,1334%
RefSeqV205_Complete_500GB_NegControl_MH1_0.15,10.89,39.49,0:09.32,345627224, 24 ,540%
RefSeqV205_Complete_500GB_ani99_cHIGH_stTrue_r1_0.20,271.55,59.92,0:23.57,489387444, 24 ,1406%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r6_0.95,257.67,53.36,0:22.83,474692636, 24 ,1362%
RefSeqV205_Complete_500GB_HMP_even_454_SRR072233_0.95,97.22,48.54,0:14.43,478284096, 24 ,1009%
RefSeqV205_Complete_500GB_ani97_cLOW_stTrue_r7_0.90,257.26,58.24,0:24.14,486721016, 24 ,1306%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r2_0.00,254.38,57.63,0:31.51,481331440, 24 ,990%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r3_1.00,253.06,56.07,0:22.63,488881772, 24 ,1366%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r1_0.25,262.85,57.79,0:22.75,489342280, 24 ,1409%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r3_0.75,252.12,54.45,0:22.40,475414628, 24 ,1368%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r2_0.90,246.97,57.80,0:23.34,485573096, 24 ,1305%
RefSeqV205_Complete_500GB_RM2_S001__insert_270_0.85,1818.51,110.15,1:35.08,489333872, 24 ,2028%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r8_0.95,266.61,61.50,0:24.69,489319260, 24 ,1328%
RefSeqV205_Complete_500GB_NA12878_NegControl_SL126487_0_0.65,635.50,76.32,0:40.35,489093496, 24 ,1764%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r7_0.00,265.50,61.41,0:31.61,489368324, 24 ,1034%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r5_0.50,271.08,61.93,0:23.74,478384276, 24 ,1402%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r6_1.00,260.01,57.54,0:23.46,480635680, 24 ,1353%
RefSeqV205_Complete_500GB_ani99_cLOW_stFalse_r0_0.45,258.64,54.69,0:22.51,444957184, 24 ,1391%
RefSeqV205_Complete_500GB_ani99_cHIGH_stTrue_r7_0.05,257.10,58.94,0:23.31,489371384, 24 ,1355%
RefSeqV205_Complete_500GB_ani100_cLOW_stTrue_r8_0.05,266.62,59.94,0:30.82,486977040, 24 ,1059%
RefSeqV205_Complete_500GB_MGRG_nanopore_b9.pass.2d_0.40,0.17,0.01,0:00.05,35428, 24 ,367%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r4_0.25,253.96,58.72,0:23.62,488201880, 24 ,1323%
RefSeqV205_Complete_500GB_UnAmbiguouslyMapped_ds.hous2_0.65,6.26,13.36,0:05.14,118371620, 24 ,381%
RefSeqV205_Complete_500GB_ani100_cHIGH_stTrue_r0_0.70,274.76,57.49,0:23.58,489065868, 24 ,1408%
RefSeqV205_Complete_500GB_ani97_cLOW_stTrue_r6_0.35,267.95,58.09,0:23.79,487871656, 24 ,1370%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r7_0.30,271.94,59.03,0:24.89,483141088, 24 ,1329%
RefSeqV205_Complete_500GB_ani99_cHIGH_stTrue_r0_0.85,257.05,57.34,0:22.63,488905292, 24 ,1388%
RefSeqV205_Complete_500GB_ZymoMock_0.55,203.34,44.34,0:18.81,347930672, 24 ,1316%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r0_0.80,258.60,57.31,0:22.99,488613744, 24 ,1373%
RefSeqV205_Complete_500GB_NegControl_LM_0.50,11.01,40.17,0:09.24,345608264, 24 ,553%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r5_0.10,270.47,64.34,0:24.41,489219000, 24 ,1371%
RefSeqV205_Complete_500GB_ani97_cLOW_stFalse_r8_0.55,259.58,59.24,0:25.36,469631528, 24 ,1256%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r8_0.00,266.31,61.69,0:33.21,489359796, 24 ,987%
RefSeqV205_Complete_500GB_MGRG_nanopore_R6_2d_pass_0.15,9.82,35.82,0:08.45,332857792, 24 ,540%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r7_0.95,267.81,60.03,0:24.83,489126516, 24 ,1320%
RefSeqV205_Complete_500GB_MGRG_nanopore_b8.pass.2d_0.00,0.41,0.17,0:00.27,1029988, 24 ,209%
RefSeqV205_Complete_500GB_BMI_bmi_reads_0.70,68.73,54.41,0:14.06,487230232, 24 ,875%
RefSeqV205_Complete_500GB_MGRG_nanopore_b7.fail.2d_0.10,1.56,7.60,0:03.16,76884916, 24 ,290%
RefSeqV205_Complete_500GB_ani100_cLOW_stTrue_r7_0.05,260.65,59.33,0:44.86,478878432, 24 ,713%
RefSeqV205_Complete_500GB_ani99_cHIGH_stTrue_r8_0.05,263.17,60.13,0:25.82,489351440, 24 ,1251%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r9_1.00,256.08,57.31,0:23.33,486346416, 24 ,1343%
RefSeqV205_Complete_500GB_MGRG_nanopore_b1.fail.2d_0.35,0.44,0.69,0:00.84,4330456, 24 ,135%
RefSeqV205_Complete_500GB_ani100_cHIGH_stFalse_r0_0.40,262.07,56.48,0:22.70,489285684, 24 ,1402%
RefSeqV205_Complete_500GB_ani99_cLOW_stTrue_r3_0.50,264.78,62.15,0:23.61,488483764, 24 ,1384%
RefSeqV205_Complete_500GB_ani100_cLOW_stTrue_r0_0.85,252.53,54.47,0:21.66,474309924, 24 ,1417%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r8_0.30,267.37,58.11,0:23.31,473383336, 24 ,1396%
RefSeqV205_Complete_500GB_ani97_cLOW_stTrue_r9_0.35,272.70,60.30,0:24.37,488418668, 24 ,1366%
RefSeqV205_Complete_500GB_RH_S004__insert_270_0.00,1827.98,119.30,2:46.82,491376176, 24 ,1167%
RefSeqV205_Complete_500GB_ani97_cLOW_stFalse_r7_0.55,252.54,56.00,0:24.02,476693988, 24 ,1284%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r0_0.15,272.20,60.59,0:24.90,489405576, 24 ,1336%
RefSeqV205_Complete_500GB_Huttenhower_LC3_0.60,2.87,9.30,0:03.64,91726204, 24 ,333%
RefSeqV205_Complete_500GB_Mavromatis_simHC_0.25,14.69,41.78,0:10.00,393931692, 24 ,564%
RefSeqV205_Complete_500GB_ani100_cHIGH_stTrue_r4_0.65,284.04,64.78,0:25.88,489294388, 24 ,1347%
RefSeqV205_Complete_500GB_ani97_cLOW_stTrue_r2_0.20,258.36,57.48,0:22.68,487657000, 24 ,1392%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r3_0.25,267.84,58.57,0:23.84,482325864, 24 ,1368%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r1_1.00,263.47,57.61,0:23.67,474587260, 24 ,1356%
RefSeqV205_Complete_500GB_ani99_cHIGH_stTrue_r4_0.90,267.54,59.76,0:23.00,489050372, 24 ,1422%
RefSeqV205_Complete_500GB_ani99_cLOW_stTrue_r8_0.45,252.36,57.06,0:22.50,486468336, 24 ,1374%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r4_0.95,264.48,57.04,0:22.75,488988464, 24 ,1413%
RefSeqV205_Complete_500GB_Huttenhower_LC8_0.75,2.93,9.46,0:03.65,99118688, 24 ,339%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r1_0.05,262.18,62.31,0:26.82,487832068, 24 ,1209%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r6_0.85,251.45,56.09,0:22.54,487532300, 24 ,1364%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r3_0.15,258.35,57.26,0:23.26,489249560, 24 ,1356%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r1_0.45,262.77,58.00,0:23.46,468943712, 24 ,1367%
RefSeqV205_Complete_500GB_ani99_cLOW_stFalse_r4_0.50,264.76,60.13,0:23.63,485713916, 24 ,1374%
RefSeqV205_Complete_500GB_ani99_cHIGH_stTrue_r3_0.10,265.51,60.30,0:23.02,489354680, 24 ,1415%
RefSeqV205_Complete_500GB_NegControl_MH1_1.00,11.40,38.23,0:08.99,345525084, 24 ,552%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r0_0.30,261.73,60.47,0:23.28,486839012, 24 ,1383%
RefSeqV205_Complete_500GB_ani99_cLOW_stTrue_r7_0.45,266.68,60.33,0:24.41,483994208, 24 ,1339%
RefSeqV205_Complete_500GB_ani100_cHIGH_stFalse_r4_0.55,261.93,54.81,0:23.26,489089128, 24 ,1361%
RefSeqV205_Complete_500GB_ani100_cLOW_stTrue_r4_0.90,264.62,56.29,0:22.87,484363876, 24 ,1402%
RefSeqV205_Complete_500GB_ani97_cLOW_stFalse_r3_0.40,262.65,60.76,0:24.43,478997800, 24 ,1323%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r4_0.00,255.24,59.71,0:33.79,489354312, 24 ,931%
RefSeqV205_Complete_500GB_Huttenhower_LC7_0.75,2.79,8.50,0:03.38,86728544, 24 ,333%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r3_0.80,259.95,59.53,0:23.03,489028796, 24 ,1386%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r9_0.85,265.08,58.92,0:23.70,488946076, 24 ,1367%
RefSeqV205_Complete_500GB_UnAmbiguouslyMapped_ds.cityparks_0.40,14.84,32.49,0:09.27,298512572, 24 ,510%
RefSeqV205_Complete_500GB_ani100_cLOW_stTrue_r3_0.10,262.10,58.62,0:26.02,485740752, 24 ,1232%
RefSeqV205_Complete_500GB_UnAmbiguouslyMapped_ds.gut_0.85,5.60,10.94,0:03.78,99691384, 24 ,437%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r9_0.60,258.46,58.40,0:22.51,486391480, 24 ,1407%
RefSeqV205_Complete_500GB_ani100_cLOW_stTrue_r5_0.40,259.38,57.75,0:23.05,486434700, 24 ,1375%
RefSeqV205_Complete_500GB_ani100_cHIGH_stFalse_r5_0.85,265.39,57.42,0:23.32,489025332, 24 ,1383%
RefSeqV205_Complete_500GB_ani99_cLOW_stTrue_r6_0.95,252.20,57.92,0:22.75,484308188, 24 ,1362%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r8_0.15,245.39,41.44,0:34.84,308255712, 24 ,823%
RefSeqV205_Complete_500GB_ABRF_MGRG_1ng_0.40,61.28,30.70,0:10.14,273497596, 24 ,906%
RefSeqV205_Complete_500GB_ani97_cLOW_stFalse_r2_0.90,257.71,55.16,0:22.67,475014620, 24 ,1379%
RefSeqV205_Complete_500GB_Huttenhower_HC2_0.35,10.80,35.57,0:08.78,305797352, 24 ,527%
RefSeqV205_Complete_500GB_ani97_cLOW_stFalse_r5_0.10,269.87,59.24,0:23.52,484006276, 24 ,1398%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r8_0.55,254.39,56.55,0:22.94,488739480, 24 ,1355%
RefSeqV205_Complete_500GB_Huttenhower_LC3_1.00,3.12,8.63,0:03.56,91622112, 24 ,330%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r2_0.50,273.55,60.14,0:23.35,489111304, 24 ,1428%
RefSeqV205_Complete_500GB_Huttenhower_LC1_0.25,2.92,9.86,0:03.97,97435688, 24 ,322%
RefSeqV205_Complete_500GB_ani100_cHIGH_stFalse_r2_0.05,280.99,61.36,0:25.79,489431500, 24 ,1327%
RefSeqV205_Complete_500GB_ani99_cLOW_stTrue_r1_0.15,253.47,55.12,0:22.87,477047260, 24 ,1349%
RefSeqV205_Complete_500GB_ani99_cLOW_stTrue_r9_0.95,260.45,57.06,0:23.10,487735288, 24 ,1374%
RefSeqV205_Complete_500GB_ani99_cLOW_stFalse_r2_0.00,256.66,57.44,0:34.04,472294472, 24 ,922%
RefSeqV205_Complete_500GB_ABRF_MGRG_10ng_0.15,75.27,35.53,0:12.33,309520596, 24 ,898%
RefSeqV205_Complete_500GB_ani99_cHIGH_stTrue_r5_0.40,254.72,59.13,0:23.07,489154224, 24 ,1360%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r6_0.60,260.56,58.47,0:23.55,480642252, 24 ,1354%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r5_0.45,264.87,59.27,0:24.11,489009900, 24 ,1344%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r7_0.15,247.91,46.33,0:20.98,378098588, 24 ,1402%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r0_0.95,254.73,54.41,0:22.68,478139040, 24 ,1362%
RefSeqV205_Complete_500GB_MGRG_nanopore_b4.pass.2d_0.95,0.18,0.01,0:00.04,41132, 24 ,478%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r7_0.55,264.32,58.20,0:23.90,489044256, 24 ,1349%
RefSeqV205_Complete_500GB_BioPool_0.30,12.02,20.81,0:06.05,192228720, 24 ,542%
RefSeqV205_Complete_500GB_ani100_cHIGH_stTrue_r2_0.35,274.00,62.98,0:23.91,489311212, 24 ,1408%
RefSeqV205_Complete_500GB_ani97_cLOW_stTrue_r4_0.70,262.47,61.80,0:24.20,485296064, 24 ,1339%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r5_0.75,265.67,56.67,0:22.81,468808856, 24 ,1413%
RefSeqV205_Complete_500GB_ani99_cLOW_stFalse_r5_0.80,259.76,57.33,0:22.82,475404488, 24 ,1389%
RefSeqV205_Complete_500GB_JGI_SRR033549_0.05,17.70,25.87,0:07.12,245514580, 24 ,611%
RefSeqV205_Complete_500GB_ani97_cLOW_stFalse_r1_0.05,252.08,54.94,0:29.86,453426872, 24 ,1028%
RefSeqV205_Complete_500GB_HMP_even_illum_SRR172902_0.95,58.20,44.05,0:12.34,395320800, 24 ,828%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r6_0.45,268.73,59.98,0:23.35,489230576, 24 ,1407%
RefSeqV205_Complete_500GB_MGRG_nanopore_b8.fail.2d_0.45,1.18,5.22,0:02.66,53521176, 24 ,240%
RefSeqV205_Complete_500GB_Huttenhower_LC5_0.30,3.13,9.48,0:03.90,94831864, 24 ,323%
RefSeqV205_Complete_500GB_UnAmbiguouslyMapped_ds.buccal_0.80,6.67,6.18,0:02.52,53130160, 24 ,508%
RefSeqV205_Complete_500GB_ani99_cLOW_stTrue_r5_0.00,261.08,62.19,0:41.53,488264936, 24 ,778%
RefSeqV205_Complete_500GB_ani100_cHIGH_stFalse_r6_0.10,278.43,61.23,0:24.04,489473172, 24 ,1412%
RefSeqV205_Complete_500GB_MGRG_nanopore_b1.pass.2d_0.70,0.19,0.19,0:00.17,935156, 24 ,220%
RefSeqV205_Complete_500GB_MGRG_nanopore_b7.pass.2d_0.55,0.42,0.92,0:01.00,8116856, 24 ,133%
RefSeqV205_Complete_500GB_ani100_cHIGH_stTrue_r9_0.20,268.56,59.57,0:23.24,489359112, 24 ,1411%
RefSeqV205_Complete_500GB_UnAmbiguouslyMapped_ds.7_0.05,61.53,46.07,0:13.48,470370736, 24 ,797%
RefSeqV205_Complete_500GB_ani100_cLOW_stTrue_r1_0.55,267.50,58.19,0:23.46,481274148, 24 ,1388%
RefSeqV205_Complete_500GB_ani99_cLOW_stFalse_r9_0.15,260.78,54.96,0:23.10,450628040, 24 ,1366%
RefSeqV205_Complete_500GB_ani99_cLOW_stTrue_r2_0.80,260.27,57.72,0:22.91,471104060, 24 ,1388%
RefSeqV205_Complete_500GB_ani100_cHIGH_stFalse_r1_0.90,282.18,61.31,0:25.26,489126456, 24 ,1359%
RefSeqV205_Complete_500GB_ani97_cLOW_stFalse_r6_0.85,260.38,57.13,0:23.47,482294472, 24 ,1352%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r4_0.80,257.15,57.71,0:22.54,479275432, 24 ,1396%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r9_0.45,256.77,55.74,0:22.71,489214500, 24 ,1375%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r3_0.40,268.67,60.71,0:23.84,488957140, 24 ,1381%
RefSeqV205_Complete_500GB_RH_S003__insert_270_0.25,1829.66,96.81,1:30.87,490111956, 24 ,2119%
RefSeqV205_Complete_500GB_MGRG_nanopore_b9.fail.2d_0.05,0.25,0.24,0:00.28,1608516, 24 ,177%
RefSeqV205_Complete_500GB_ani100_cHIGH_stTrue_r6_0.20,271.28,62.67,0:23.63,489361520, 24 ,1413%
RefSeqV205_Complete_500GB_ani97_cLOW_stTrue_r0_0.65,262.96,59.89,0:23.93,488185864, 24 ,1348%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r1_0.60,263.02,59.02,0:23.17,474604600, 24 ,1389%
RefSeqV205_Complete_500GB_ani99_cLOW_stFalse_r1_0.95,260.12,59.12,0:23.38,478411232, 24 ,1365%
RefSeqV205_Complete_500GB_Carma_eval_carma_0.30,1.20,4.78,0:03.34,48205052, 24 ,178%
RefSeqV205_Complete_500GB_ani100_cHIGH_stFalse_r9_0.10,270.90,59.53,0:23.77,489562648, 24 ,1390%
RefSeqV205_Complete_500GB_ani99_cLOW_stFalse_r6_0.15,259.59,57.63,0:30.24,482463596, 24 ,1048%
RefSeqV205_Complete_500GB_NegControl_MH1_0.60,11.21,35.86,0:08.79,345543796, 24 ,535%
RefSeqV205_Complete_500GB_ani99_cHIGH_stTrue_r1_0.55,266.24,61.57,0:23.96,489077016, 24 ,1368%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r2_0.75,256.17,56.65,0:23.02,480948272, 24 ,1358%
RefSeqV205_Complete_500GB_ani97_cLOW_stFalse_r9_0.85,262.32,57.01,0:23.76,470148016, 24 ,1343%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r1_0.50,265.63,59.86,0:23.26,489102496, 24 ,1398%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r3_0.00,257.71,59.92,0:40.22,475778112, 24 ,789%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r7_1.00,247.50,48.24,0:21.71,377741164, 24 ,1362%
RefSeqV205_Complete_500GB_NA12878_NegControl_SL126487_0_0.10,510.81,73.30,1:08.15,489863208, 24 ,857%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r7_0.75,269.58,62.11,0:23.80,489020236, 24 ,1393%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r5_0.25,266.94,58.06,0:23.37,478726704, 24 ,1390%
RefSeqV205_Complete_500GB_ani99_cLOW_stFalse_r0_0.30,278.42,60.08,0:24.53,445218692, 24 ,1380%
RefSeqV205_Complete_500GB_ani100_cLOW_stTrue_r8_0.70,259.86,55.30,0:22.85,486614640, 24 ,1378%
RefSeqV205_Complete_500GB_ani99_cHIGH_stTrue_r7_0.70,263.39,59.74,0:22.97,489068356, 24 ,1406%
RefSeqV205_Complete_500GB_MGRG_nanopore_b9.pass.2d_0.35,0.28,0.01,0:00.06,35328, 24 ,448%
RefSeqV205_Complete_500GB_ABRF_MGRG_10ng_1.00,66.23,31.77,0:10.85,309459092, 24 ,902%
RefSeqV205_Complete_500GB_ani100_cHIGH_stTrue_r7_0.85,265.47,57.09,0:23.46,489006616, 24 ,1374%
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r4_0.50,253.10,57.85,0:23.10,487848508, 24 ,1345%
RefSeqV205_Complete_500GB_UnAmbiguouslyMapped_ds.hous2_0.10,5.77,13.30,0:04.13,118329308, 24 ,461%
RefSeqV205_Complete_500GB_ani100_cHIGH_stTrue_r0_0.05,274.60,59.87,0:23.95,489407652, 24 ,1396%
RefSeqV205_Complete_500GB_ani97_cLOW_stTrue_r6_0.40,270.03,60.96,0:24.52,487703664, 24 ,1349%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r7_0.45,266.37,57.49,0:23.09,482833556, 24 ,1402%
RefSeqV205_Complete_500GB_ZymoMock_0.20,202.58,42.80,0:18.26,348149616, 24 ,1343%
RefSeqV205_Complete_500GB_NegControl_LM_0.25,11.06,35.34,0:08.76,345449956, 24 ,529%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r5_0.65,263.52,56.70,0:23.38,488942100, 24 ,1369%
RefSeqV205_Complete_500GB_ani97_cLOW_stFalse_r8_0.20,254.86,54.89,0:22.28,469619988, 24 ,1389%
RefSeqV205_Complete_500GB_ani97_cHIGH_stFalse_r8_0.75,271.57,61.39,0:23.93,489039524, 24 ,1391%
