Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Weighted unifrac distance raw,Weighted unifrac distance relative abundance,Unweighted unifrac distance raw,Unweighted unifrac distance relative abundance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Faith's phylogenetic diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean Precision,Mean Recall,Mean F1 score
ani100_cLOW_stTrue_r5-kraken2_refseqV205_500GB-0.85,6.428576020411443e-07,0.0,0.0,0.0,0.0,0.0,0.0,13999999.0,31.43282088332713,0.0,114.90952060627193,1253.1153846153848,0.9739854318418314,0.8717948717948718,1.0,1.0,0.0,0.0,12.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
ani100_cLOW_stTrue_r5-kraken2_refseqV205_500GB-0.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13999990.0,29.37561720187213,0.0,29.891846057210785,3.444929455765259e+21,1.0,0.8210262828535669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ani100_cLOW_stTrue_r5-kraken2_refseqV205_500GB-0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13999990.0,29.37561720187213,0.0,29.891846057210785,3.444929455765259e+21,1.0,0.8210262828535669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ani100_cLOW_stTrue_r5-kraken2_refseqV205_500GB-1.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13999990.0,29.37561720187213,0.0,29.891846057210785,3.444929455765259e+21,1.0,0.8210262828535669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.00,0.9993384284769185,0.8096169493870802,0.0128541448058761,0.8090813298687614,0.5632183908045977,0.8093490510109524,0.0251346499102333,5336460.0,115.32310319651292,6.916373442936791,13.058533190812462,11.96078431372549,0.9719896973599484,0.1294964028776978,0.1906509489890475,0.1904492041903795,0.8378792360409084,3.6667717624516114,7715.0,5133.101694915255,0.4027519356578327,0.3082270768801367,0.001618111581934,3812.0,0.41123554709647814,0.6861498603366796,0.41724185046059287
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.05,0.9989249998464286,0.8264654970472539,0.0831918505942275,0.8255770465110066,0.5632183908045977,0.826021032879606,0.1449704142011834,4868792.0,89.01361313608896,6.513223014752066,13.998763566835098,12.696078431372548,0.818295739348371,0.0763358778625954,0.1739789671203939,0.1736847251560936,0.8318262407403014,3.5592275350646285,1147.0,697.2790697674418,0.4101071834915459,0.3867832690804926,0.0100954683818904,589.0,0.4548286738207407,0.6943977186578021,0.4854957235403947
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.10,0.9980922140131734,0.8261095866549386,0.227906976744186,0.8245335463619352,0.5632183908045977,0.8253208141038271,0.3245033112582782,4886351.0,78.71037465550873,6.567769112594348,14.822807782982114,10.138888888888886,0.6056466302367942,0.1294964028776978,0.174679185896173,0.1741944091286885,0.831730037971805,3.529334553947813,498.0,219.58823529411765,0.4102135007933904,0.4555042217534396,0.0276410758915981,215.0,0.5270082816995623,0.6938759685832665,0.5749120626810527
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.15,0.995790285112898,0.8221851391235474,0.3983739837398374,0.8187239741034249,0.5632183908045977,0.8204509063006199,0.4666666666666667,5016792.0,73.59133359109175,6.587879456950034,14.778029882198975,9.5,0.4354628422425032,0.1294964028776978,0.17954909369938,0.1784927302518091,0.8321601872726455,3.5363008073445714,332.5,124.5,0.4096861607874322,0.5093688755889424,0.0484395279564558,123.0,0.6102795614316924,0.6909711824540112,0.6435587864836433
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.20,0.9871958553136936,0.8204662702575983,0.5697674418604651,0.8099609014229859,0.5632183908045977,0.8151797410981693,0.5664739884393063,5141836.0,67.97979897640303,6.64347710386814,15.103651886405428,9.444444444444445,0.3244929797191888,0.1768707482993197,0.1848202589018307,0.1815672655404119,0.8315371904356924,3.526468610682095,269.5,86.0,0.4104447365183393,0.5487586872454606,0.0690235845336857,86.0,0.6951168560590317,0.6865896461137918,0.6908268647687378
ani100_cLOW_stTrue_r6-kraken2_refseqV205_500GB-0.25,0.9649735664247951,0.8200769110740873,0.7101449275362319,0.7913525416217917,0.5632183908045977,0.8054587147058997,0.6282051282051283,5351758.0,63.35403120964168,6.776204110490465,15.507755506678254,10.138888888888886,0.2478184991273996,0.1768707482993197,0.1945412852941003,0.1854266625155802,0.8311737301248618,3.5284514469553687,234.5,69.0,0.410886808554567,0.5776274568304481,0.0858441854689265,69.0,0.7651109193051596,0.6772854662131946,0.716831921455514
