Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,Mean F1 score,L1 distance,Aitchisons distance,Robust Aitchisons distance,Weighted unifrac distance raw,Weighted unifrac distance relative abundance,Unweighted unifrac distance raw,Unweighted unifrac distance relative abundance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Faith's phylogenetic diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.05,0.813167796,0.535913622,0.001792757,0.435787699,1,0.480692079,0.003579098,0.242135589,2647626,88.91328977,2.584348042,34585681.21,428,0.99466601,0.155844156,0.519307921,0.510038075,0.820470566,3.385401447,6093,3192.636364,0.424226407,0.295783663,0.001997174
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.10,0.801901588,0.543442868,0.00385208,0.435787699,1,0.483697558,0.007674597,0.245686078,2615947,66.58177928,2.584348042,34585635.16,422,0.990324501,0.155844156,0.516302442,0.505964295,0.815396691,3.217657267,3359,1395.570093,0.429902155,0.311122997,0.00417336
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.15,0.794655495,0.548398271,0.007042254,0.435787699,1,0.485650533,0.013986014,0.249818274,2595572,54.61775308,2.584348042,34585600,422,0.98427673,0.155844156,0.514349467,0.50328312,0.812017726,3.107708488,2067,751.1578947,0.433706842,0.328105474,0.007492466
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.20,0.785688832,0.554656858,0.011547344,0.435787699,1,0.48808918,0.02283105,0.255460115,2570359,45.43539728,2.584348042,34585521.81,423.5,0.975746269,0.155844156,0.51191082,0.499896843,0.807720612,3.00087256,1340,455.44,0.438582498,0.342634857,0.012011006
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.25,0.770240339,0.565781454,0.018450185,0.435787699,1,0.492348626,0.036231884,0.264290255,2526920,38.12340007,2.584348042,34585484.52,432.5,0.963276836,0.084507042,0.507651374,0.493877758,0.800168678,2.876977503,885,276.6875,0.447080703,0.355966896,0.018465758
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.30,0.762179838,0.571764927,0.029585799,0.435787699,1,0.49460071,0.057471264,0.276035987,2504255,32.16684425,2.584348042,34585427.33,432.5,0.937977099,0.084507042,0.50539929,0.490640335,0.795959931,2.791533823,524,170.5,0.451743359,0.377189474,0.028999989
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.35,0.760159112,0.573284846,0.040983607,0.435787699,1,0.495168529,0.078740157,0.286954343,2498573,29.40696116,2.584348042,34585403.29,434,0.916237113,0.084507042,0.504831471,0.489817966,0.79487472,2.762788986,388,122.3333333,0.452933225,0.398628436,0.039959586
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.40,0.748867298,0.581929136,0.052083333,0.435787699,1,0.498365656,0.099009901,0.298687779,2466822,26.50171622,2.584348042,34584769.45,423,0.904411765,0.084507042,0.501634344,0.485140879,0.788725938,2.660315,340,96,0.459666321,0.403998504,0.049304049
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.45,0.747679116,0.582853914,0.061728395,0.435787699,1,0.498704476,0.11627907,0.307491773,2463481,25.62981332,2.584348042,34584708.34,423,0.898119122,0.084507042,0.501295524,0.484640517,0.78805461,2.643455722,319,81,0.46039279,0.416958717,0.05824934
ABRF_MGRG_1ng-kraken2_refseqV205-0.00_filtered_0.50,0.746719609,0.58360286,0.072463768,0.435787699,1,0.498978424,0.135135135,0.31705678,2460783,24.83875531,2.584348042,34584650.48,423,0.883928571,0.084507042,0.501021576,0.484235292,0.787509942,2.629430746,280,69,0.460981369,0.430452684,0.068204384
